locus	at	word	gloss	status	row_status
f32v.7	f32v.7:1	ksho	OPEN	OPEN	recorded
f32v.7	f32v.7:2	cphos	zerreibe	HYPOTHESIS	recorded
f32v.7	f32v.7:3	she	lasse stehen	HYPOTHESIS	recorded
f32v.7	f32v.7:4	sheaiin	Standzeit	HYPOTHESIS	recorded
f32v.7	f32v.7:5	otshcho	kühles Inneres	HYPOTHESIS	recorded
f32v.7	f32v.7:6	r	danach	HYPOTHESIS	recorded
f32v.7	f32v.7:7	dain	kleine Dosis	HYPOTHESIS	recorded
f32v.7	f32v.7:8	shckhy	vermische	HYPOTHESIS	recorded
f32v.7	f32v.7:9	s	je	HYPOTHESIS	recorded
f32v.7	f32v.7:10	odan	Rest	HYPOTHESIS	recorded
f32v.8	f32v.8:1	otchol	getrocknetes Gut	HYPOTHESIS	recorded
f32v.8	f32v.8:2	daiin	festgelegte Dosis	HYPOTHESIS	recorded
f32v.8	f32v.8:3	daiin	festgelegte Dosis	HYPOTHESIS	recorded
f32v.8	f32v.8:4	ctho	Pflanzenpulver	HYPOTHESIS	recorded
f32v.8	f32v.8:5	daiin	festgelegte Dosis	HYPOTHESIS	recorded
f32v.8	f32v.8:6	qotaiin	abgeteilte Portion	HYPOTHESIS	recorded
f32v.8	f32v.8:7	otchy	entnimm	HYPOTHESIS	recorded
f32v.8	f32v.8:8	d	OPEN	OPEN	recorded
f32v.8	f32v.8:9	shan	Feinanteil	HYPOTHESIS	recorded
f32v.9	f32v.9:1	qotchy	siebe	HYPOTHESIS	recorded
f32v.9	f32v.9:2	cfhy	Filter	HYPOTHESIS	recorded
f32v.9	f32v.9:3	skey	halte zurück	HYPOTHESIS	recorded
f32v.9	f32v.9:4	chocthy	Pflanzenmark	HYPOTHESIS	recorded
f32v.9	f32v.9:5	daiin	festgelegte Dosis	HYPOTHESIS	recorded
f32v.9	f32v.9:6	cthaiin	Pflanzenportion	HYPOTHESIS	recorded
f32v.9	f32v.9:7	daiin	festgelegte Dosis	HYPOTHESIS	recorded
f32v.10	f32v.10:1	sho	Flüssigkeit	HYPOTHESIS	recorded
f32v.10	f32v.10:2	keol	Öl	HYPOTHESIS	recorded
f32v.10	f32v.10:3	chor	Blüten	HYPOTHESIS	recorded
f32v.10	f32v.10:4	chol	trocken	HYPOTHESIS	recorded
f32v.10	f32v.10:5	daiin	festgelegte Dosis	HYPOTHESIS	recorded
f32v.10	f32v.10:6	cpho	zerstoße	HYPOTHESIS	recorded
f32v.10	f32v.10:7	l	OPEN	OPEN	recorded
f32v.10	f32v.10:8	cthol	trockenes Pflanzengut	HYPOTHESIS	recorded
f32v.10	f32v.10:9	da	OPEN	OPEN	recorded
f32v.10	f32v.10:10	ar	Anteil	HYPOTHESIS	recorded
f32v.11	f32v.11:1	ol	mit	HYPOTHESIS	recorded
f32v.11	f32v.11:2	sho	Flüssigkeit	HYPOTHESIS	recorded
f32v.11	f32v.11:3	chy	verarbeite	HYPOTHESIS	recorded
