word	M	K	status	row_status
ar	Anteil	Anteil	HYPOTHESIS	recorded
cfhy	Filter	Filter	HYPOTHESIS	recorded
chocthy	Pflanzenmark	Pflanzenmark	HYPOTHESIS	recorded
chol	trocken	trocken	HYPOTHESIS	recorded
chor	Blüten	Blüten	HYPOTHESIS	recorded
chy	verarbeite	Verarbeitung	HYPOTHESIS	recorded
cpho	zerstoße	Zerstoßen	HYPOTHESIS	recorded
cphos	zerreibe	Zerreiben	HYPOTHESIS	recorded
cthaiin	Pflanzenportion	Pflanzenportion	HYPOTHESIS	recorded
ctho	Pflanzenpulver	Pflanzenpulver	HYPOTHESIS	recorded
cthol	trockenes Pflanzengut	trockenes Pflanzengut	HYPOTHESIS	recorded
d	OPEN	OPEN	OPEN	recorded
da	OPEN	OPEN	OPEN	recorded
daiin	festgelegte Dosis	festgelegte Dosis	HYPOTHESIS	recorded
dain	kleine Dosis	kleine Dosis	HYPOTHESIS	recorded
keol	Öl	Öl	HYPOTHESIS	recorded
ksho	OPEN	OPEN	OPEN	recorded
l	OPEN	OPEN	OPEN	recorded
odan	Rest	Rest	HYPOTHESIS	recorded
ol	mit	mit	HYPOTHESIS	recorded
otchol	getrocknetes Gut	getrocknetes Gut	HYPOTHESIS	recorded
otchy	entnimm	Entnahme	HYPOTHESIS	recorded
otshcho	kühles Inneres	kühles Inneres	HYPOTHESIS	recorded
qotaiin	abgeteilte Portion	abgeteilte Portion	HYPOTHESIS	recorded
qotchy	siebe	Sieben	HYPOTHESIS	recorded
r	danach	danach	HYPOTHESIS	recorded
s	je	je	HYPOTHESIS	recorded
shan	Feinanteil	Feinanteil	HYPOTHESIS	recorded
shckhy	vermische	Vermischen	HYPOTHESIS	recorded
she	lasse stehen	Stehenlassen	HYPOTHESIS	recorded
sheaiin	Standzeit	Standzeit	HYPOTHESIS	recorded
sho	Flüssigkeit	Flüssigkeit	HYPOTHESIS	recorded
skey	halte zurück	Zurückhalten	HYPOTHESIS	recorded
