locus	at	word	row_status
f32v.7	f32v.7:1	ksho	recorded
f32v.7	f32v.7:2	cphos	recorded
f32v.7	f32v.7:3	she	recorded
f32v.7	f32v.7:4	sheaiin	recorded
f32v.7	f32v.7:5	otshcho	recorded
f32v.7	f32v.7:6	r	recorded
f32v.7	f32v.7:7	dain	recorded
f32v.7	f32v.7:8	shckhy	recorded
f32v.7	f32v.7:9	s	recorded
f32v.7	f32v.7:10	odan	recorded
f32v.8	f32v.8:1	otchol	recorded
f32v.8	f32v.8:2	daiin	recorded
f32v.8	f32v.8:3	daiin	recorded
f32v.8	f32v.8:4	ctho	recorded
f32v.8	f32v.8:5	daiin	recorded
f32v.8	f32v.8:6	qotaiin	recorded
f32v.8	f32v.8:7	otchy	recorded
f32v.8	f32v.8:8	d	recorded
f32v.8	f32v.8:9	shan	recorded
f32v.9	f32v.9:1	qotchy	recorded
f32v.9	f32v.9:2	cfhy	recorded
f32v.9	f32v.9:3	skey	recorded
f32v.9	f32v.9:4	chocthy	recorded
f32v.9	f32v.9:5	daiin	recorded
f32v.9	f32v.9:6	cthaiin	recorded
f32v.9	f32v.9:7	daiin	recorded
f32v.10	f32v.10:1	sho	recorded
f32v.10	f32v.10:2	keol	recorded
f32v.10	f32v.10:3	chor	recorded
f32v.10	f32v.10:4	chol	recorded
f32v.10	f32v.10:5	daiin	recorded
f32v.10	f32v.10:6	cpho	recorded
f32v.10	f32v.10:7	l	recorded
f32v.10	f32v.10:8	cthol	recorded
f32v.10	f32v.10:9	da	recorded
f32v.10	f32v.10:10	ar	recorded
f32v.11	f32v.11:1	ol	recorded
f32v.11	f32v.11:2	sho	recorded
f32v.11	f32v.11:3	chy	recorded
