word	P05_V03	P04	P11	P25	S05	row_status
ar	Anteil	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	recorded
cfhy	Filter	Bindung einer feuchten Masse	Filterstelle	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	recorded
chocthy	Pflanzenmark	Feinpulver A	Pflanzenmark	feine Fraktion	Pflanzenmark	recorded
chol	trocken	ist trocken	OPEN_NOT_ASSIGNED	trocken	OPEN_NOT_ASSIGNED	recorded
chor	Blüten	Blüten	Blüten	Blütenzubereitung	Blütenmaterial	recorded
chy	verarbeite	Wasser	Wasser	OPEN_NOT_ASSIGNED	Wasser	recorded
cpho	zerstoße	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	recorded
cphos	zerreibe	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	recorded
cthaiin	Pflanzenportion	Grobpulver B	Pflanzenportion	grobe Fraktion	Pflanzenportion	recorded
ctho	Pflanzenpulver	Pflanzenpulver	Pflanzenpulver	OPEN_NOT_ASSIGNED	Pflanzenpulver	recorded
cthol	trockenes Pflanzengut	Trockenmaterial	Trockenmaterial	OPEN_NOT_ASSIGNED	Trockenmaterial	recorded
d	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	recorded
da	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	recorded
daiin	festgelegte Dosis	Maß Γ	Maß Γ	III	OPEN_NOT_ASSIGNED	recorded
dain	kleine Dosis	Maß Β	Maß Β	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	recorded
keol	Öl	Öl	Öl	OPEN_NOT_ASSIGNED	Öl	recorded
ksho	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	recorded
l	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	recorded
odan	Rest	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	recorded
ol	mit	auch	auch	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	recorded
otchol	getrocknetes Gut	Trockenmaterial	Trockenmaterial	OPEN_NOT_ASSIGNED	Trockenmaterial	recorded
otchy	entnimm	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	recorded
otshcho	kühles Inneres	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	recorded
qotaiin	abgeteilte Portion	abgeteilte Portion	abgeteilte Portion	OPEN_NOT_ASSIGNED	abgeteilte Portion	recorded
qotchy	siebe	für den Zweck	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	zerkleinere	recorded
r	danach	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	recorded
s	je	und	und	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	recorded
shan	Feinanteil	Feinanteil	Feinanteil	OPEN_NOT_ASSIGNED	Feinanteil	recorded
shckhy	vermische	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	recorded
she	lasse stehen	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	recorded
sheaiin	Standzeit	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	recorded
sho	Flüssigkeit	füge hinzu	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	vermische	recorded
skey	halte zurück	Auswahl-/Listenbedingung	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	OPEN_NOT_ASSIGNED	recorded
