recipe_id	component_recipe	workshop_reading_de	card_a	card_a_surfaces	card_a_events	card_a_hands	card_b	card_b_surfaces	card_b_events	card_b_hands	pair_events	ecology	semantic_relation	copy_relation	primary_mechanism	teaching_tier	semantic_value_changed	variant_choice_source
RCP021	CHD+DY	UMSETZEN · SCHLUSS	PROC076	dchedy,schedy,tchedy	4	HAND_2	PROC094	dchdy	1	HAND_2	5	WITHIN_ONE_HAND_PAIR	SAME_RECIPE_AND_WORKING_READING	KEEP_EXACT_CARD_FROM_MODEL	OP1_CHED_CHD_CONTRACTION	PRODUCTIVE_SURFACE_EDIT	NO	PAGE_MODEL_CUE
RCP022	CHD+Y	UMSETZEN · DIES	PROC042	chdy,chedy	11	HAND_2	PROC133	chedchy	1	HAND_2	12	WITHIN_ONE_HAND_PAIR	SAME_RECIPE_AND_WORKING_READING	KEEP_EXACT_CARD_FROM_MODEL	OP2_Y_CHY_EXPANSION	PRODUCTIVE_SURFACE_EDIT	NO	PAGE_MODEL_CUE
RCP025	CHK+EE+Y	WAERMEN · LANG · DIES	PROC046	cheeky	2	HAND_2	PROC107	chkeey	1	HAND_2	3	WITHIN_ONE_HAND_PAIR	SAME_RECIPE_AND_WORKING_READING	KEEP_EXACT_CARD_FROM_MODEL	MODEL_ONLY_GRADE_ORDER	COPY_WHOLE_VARIANT_FROM_MODEL	NO	PAGE_MODEL_CUE
RCP084	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	PROC082	qokchdy	3	HAND_2	PROC091	okchedy,qokchedy	2	HAND_2	5	WITHIN_ONE_HAND_PAIR	SAME_RECIPE_AND_WORKING_READING	KEEP_EXACT_CARD_FROM_MODEL	OP1_CHED_CHD_CONTRACTION	PRODUCTIVE_SURFACE_EDIT	NO	PAGE_MODEL_CUE
RCP093	OK+OL	ANSETZEN · WEITER	PROC037	okchol	1	HAND_1	PROC160	qokol	1	HAND_2	2	CROSS_HAND_EXCLUSIVE_PAIR	SAME_RECIPE_AND_WORKING_READING	KEEP_EXACT_CARD_FROM_MODEL	OP3_ENTRY_SIDE_TEMPLATE	TWO_FORM_WORKSHOP_TEMPLATE	NO	PAGE_MODEL_CUE
RCP095	OK+Y	ANSETZEN · DIES	PROC008	choky,oky,qoky	10	HAND_1,HAND_2	PROC011	chokchy,okchy,qokchy	3	HAND_1	13	PORTABLE_CARD_PLUS_LOCAL_VARIANT	SAME_RECIPE_AND_WORKING_READING	KEEP_EXACT_CARD_FROM_MODEL	OP2_Y_CHY_EXPANSION	PRODUCTIVE_SURFACE_EDIT	NO	PAGE_MODEL_CUE
RCP097	OL	WEITER	PROC013	cheol,chol,ol,qol,sol,tol	19	HAND_1,HAND_2	PROC115	ls	1	HAND_2	20	PORTABLE_CARD_PLUS_LOCAL_VARIANT	SAME_RECIPE_AND_WORKING_READING	KEEP_EXACT_CARD_FROM_MODEL	MODEL_ONLY_WHOLE_VARIANT	COPY_WHOLE_VARIANT_FROM_MODEL	NO	PAGE_MODEL_CUE
RCP114	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	PROC145	otchedy,qotchedy	2	HAND_2	PROC166	otchdy	1	HAND_2	3	WITHIN_ONE_HAND_PAIR	SAME_RECIPE_AND_WORKING_READING	KEEP_EXACT_CARD_FROM_MODEL	OP1_CHED_CHD_CONTRACTION	PRODUCTIVE_SURFACE_EDIT	NO	PAGE_MODEL_CUE
RCP121	OT+Y	DANACH · DIES	PROC036	qotchy	1	HAND_1	PROC065	otchey	2	HAND_1,HAND_2	3	PORTABLE_CARD_PLUS_LOCAL_VARIANT	SAME_RECIPE_AND_WORKING_READING	KEEP_EXACT_CARD_FROM_MODEL	OP3_ENTRY_SIDE_TEMPLATE	TWO_FORM_WORKSHOP_TEMPLATE	NO	PAGE_MODEL_CUE
RCP142	SH+EE+Y	HALTEN · LANG · DIES	PROC031	cheey,shey	4	HAND_1,HAND_2	PROC157	sheey	1	HAND_2	5	PORTABLE_CARD_PLUS_LOCAL_VARIANT	SAME_RECIPE_AND_WORKING_READING	KEEP_EXACT_CARD_FROM_MODEL	MODEL_ONLY_GRADE_WRAPPER	COPY_WHOLE_VARIANT_FROM_MODEL	NO	PAGE_MODEL_CUE
