transition_no	record_unit_id	page	left_event_id	left_surface	predecessor_event_id	predecessor_surface	predecessor_slot	left_slot	predecessor_to_left_slot_drop	right_event_id	right_surface	same_exact_card	same_owner	same_statement	same_microcycle_across_margin	selected_pass358_decision	strict_predecessor_rule_decision	strict_rule_matches_selected	final_pass374_decision	pass373_rule_status
1	H1	f10r	E010	etyd	E009	daiin	S2_MATERIAL_MASS	S6_BEREIT_ABSCHLUSS	NO	E011	qokchy	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
2	H2	f10r	E023	shy	E022	taiin	S2_MATERIAL_MASS	S1_BEZUG_FOLGE	YES	E024	qotchor	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
3	H2	f10r	E031	dar	E030	daiin	S2_MATERIAL_MASS	S1_BEZUG_FOLGE	YES	E032	oykchor	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
4	H3	f11r	E046	shoyty	E045	tchody	S3_PROZESS_TRANSFER	S1_BEZUG_FOLGE	YES	E047	dchol	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
5	H3	f11r	E051	daiin	E050	dy	S1_BEZUG_FOLGE	S2_MATERIAL_MASS	NO	E052	qotchy	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
6	H4	f55v	E063	talam	E062	chedy	S3_PROZESS_TRANSFER	S6_BEREIT_ABSCHLUSS	NO	E064	ykaiin	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
7	H5	f56r	E077	daiin	E076	chodaly	S5_ZIEL_ANWENDUNG	S2_MATERIAL_MASS	YES	E078	sho	NO	YES	YES	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
8	H5	f56r	E082	dal	E081	choky	S5_ZIEL_ANWENDUNG	S5_ZIEL_ANWENDUNG	NO	E083	schol	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
9	H5	f56r	E086	cheeckhody	E085	choky	S5_ZIEL_ANWENDUNG	S6_BEREIT_ABSCHLUSS	NO	E087	sh	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
10	H5	f56r	E090	qokokchy	E089	kchey	S6_BEREIT_ABSCHLUSS	S5_ZIEL_ANWENDUNG	YES	E091	okchy	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
11	H5	f56r	E093	kchal	E092	chokcheo	S2_MATERIAL_MASS	S5_ZIEL_ANWENDUNG	NO	E094	sho	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
12	H5	f56r	E097	sotodan	E096	kchoar	S1_BEZUG_FOLGE	S5_ZIEL_ANWENDUNG	NO	E098	otchey	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
13	B1	f81v	E112	dl	E111	rol	S1_BEZUG_FOLGE	S2_MATERIAL_MASS	NO	E113	olor	NO	YES	YES	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
14	B1	f81v	E121	qol	E120	schedy	S3_PROZESS_TRANSFER	S1_BEZUG_FOLGE	YES	E122	sshkchdy	NO	YES	YES	YES	CONTINUE_ACROSS_LINE	CONTINUE_ACROSS_LINE	YES	CONTINUE_ACROSS_LINE	NO_EFFECT
15	B1	f81v	E130	ral	E129	dl	S2_MATERIAL_MASS	S5_ZIEL_ANWENDUNG	NO	E131	qokchdy	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
16	B1	f81v	E140	qoky	E139	chckhy	S3_PROZESS_TRANSFER	S5_ZIEL_ANWENDUNG	NO	E141	lsho	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
17	B1	f81v	E149	otar	E148	qol	S1_BEZUG_FOLGE	S1_BEZUG_FOLGE	NO	E150	ytey	NO	YES	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
18	B1	f81v	E159	ly	E158	dchdy	S3_PROZESS_TRANSFER	S3_PROZESS_TRANSFER	NO	E160	dsheol	NO	YES	YES	YES	CONTINUE_ACROSS_LINE	CONTINUE_ACROSS_LINE	YES	CONTINUE_ACROSS_LINE	NO_EFFECT
19	B2	f82r	E174	lched	E173	lcheckhy	S3_PROZESS_TRANSFER	S3_PROZESS_TRANSFER	NO	E175	qokeey	NO	YES	YES	YES	CONTINUE_ACROSS_LINE	CONTINUE_ACROSS_LINE	YES	CONTINUE_ACROSS_LINE	NO_EFFECT
20	B2	f82r	E180	qokaiin	E179	chckhy	S3_PROZESS_TRANSFER	S2_MATERIAL_MASS	YES	E181	qokaiin	YES	YES	YES	YES	READ_ONCE_CARRY	REJECT_AS_RESET_DUPLICATE	NO	READ_ONCE_CARRY	COUNTEREXAMPLE_WITHDRAW_RULE
21	B2	f82r	E188	qoky	E187	sheckhy	S3_PROZESS_TRANSFER	S5_ZIEL_ANWENDUNG	NO	E189	dshedy	NO	NO	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
22	B2	f82r	E197	cheey	E196	ls	S3_PROZESS_TRANSFER	S3_PROZESS_TRANSFER	NO	E198	okain	NO	NO	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
23	B2	f82r	E202	lchy	E201	qokeedy	S4_DAUER_ZUSTAND	S3_PROZESS_TRANSFER	YES	E203	cheey	NO	NO	YES	YES	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
24	B2	f82r	E211	lar	E210	lchedy	S3_PROZESS_TRANSFER	S3_PROZESS_TRANSFER	NO	E212	tshey	NO	NO	NO	NO	REAL_CYCLE_OR_OWNER_RESET	REAL_CYCLE_OR_OWNER_RESET	YES	REAL_CYCLE_OR_OWNER_RESET	NO_EFFECT
