master_card_id	master_form	registered_surfaces	semantic_atoms	current_spoken_default_de	teaching_layer	drawer	event_count	records	previous_default_de	period_revision
MC001	chdal	chdal	CHD+AL	übertragen · Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1	B5	übertragen · Zielstelle	UNCHANGED
MC002	okeey	okeey|qokeey	OK+EE+Y	lange einwirken	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	7	B1|B2|B3|B4	länger einwirken	SHORTENED_ACTIVE_CARD
MC003	sheedy	sheedy	SHED+EE+CLOSE	absetzen · länger; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	1	B3	absetzen · länger; schließen	UNCHANGED
MC004	ldy	ldy	L+CLOSE	abziehen; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	2	B2|B3	abziehen; schließen	SHORTENED_ACTIVE_CARD
MC005	okchedy	okchedy|qokchedy	OK+CHD+CLOSE	einführen; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	2	B1|B3	einsetzen, übertragen; schließen	SHORTENED_ACTIVE_CARD
MC006	chokcheo	chokcheo	OK+CHEO	einsetzen · Auszug	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	1	H5	einsetzen · Auszug	UNCHANGED
MC007	okey	okey|qokey	OK+E+Y	kurz einwirken	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	2	B1|B2	kurz einwirken	UNCHANGED
MC008	lchy	lchy	L+Y	abführen · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1	B2	abführen · Posten	UNCHANGED
MC009	chary	chary	AR+Y	Ausgang · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1	B3	Ausgang · Posten	UNCHANGED
MC010	chodaly	chodaly	HO+AL+Y	Zutat · Zielstelle · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	1	H5	Zutat · Zielstelle · Posten	UNCHANGED
MC011	lchedar	lchedar	L+CHD+AR	abführen · übertragen · Ausgang	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1	B2	abführen · übertragen · Ausgang	UNCHANGED
MC012	dl	dl	LOCAL_WHOLE	Zusatz	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	2	B1	Zusatz	UNCHANGED
MC013	otchor	otchor|qotchor	OT+OR	Folgeansatz	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	2	H2|H5	nächster Arbeitsansatz	SHORTENED_ACTIVE_CARD
