statement_id	record_unit_id	page	visible_surface_sequence	period_sized_card_chain_de	terse_workshop_clause_de	previous_fluent_expansion_de
H1-S001	H1	f10r	dchey cthoor char chty os chair otytchol oky daiin etyd	Wurzel · Posten | bereitstellen · Ansatz | davon | Anteil | Gefäß | Flüssigkeitslauf | danach · Teil · weiter | einsetzen | Sollmaß | kurz · Teil	Wurzel · Posten; bereitstellen · Ansatz; davon; Anteil; Gefäß; Flüssigkeitslauf; danach · Teil · weiter; einsetzen; Sollmaß; kurz · Teil.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
H1-S002	H1	f10r	qokchy qotchol chol cthy	weiterbearbeiten | danach · weiter | weiter | bereit	weiterbearbeiten; danach · weiter; weiter; bereit.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.
H2-S001	H2	f10r	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Posten · Auszug · Ansatz | bereit | Ansatz | bereitstellen · Sollmaß | bereitstellen · weiter · Posten | dies | dies | Sollmaß | dies	Posten · Auszug · Ansatz; bereit; Ansatz; bereitstellen · Sollmaß; bereitstellen · weiter · Posten; dies; dies; Sollmaß; dies.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
H2-S002	H2	f10r	qotchor chor otol chol cholor chol daiin dar	Folgeansatz | Ansatz | danach · weiter | weiter | damit weiter | weiter | Sollmaß | davon	Folgeansatz; Ansatz; danach · weiter; weiter; damit weiter; weiter; Sollmaß; davon.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
H2-S003	H2	f10r	oykchor shor chor chy kaiiin dy chodaiin	Posten · bearbeiten · Ansatz | Ansatz | Ansatz | dies | Arbeitsstufe | dies | Zutat · Sollmaß	Posten · bearbeiten · Ansatz; Ansatz; Ansatz; dies; Arbeitsstufe; dies; Zutat · Sollmaß.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
H3-S001	H3	f11r	tshol schoal cfhy shfydaiin cphy shey tchody	Zutat · abführen | Zutat · Zielstelle | auswringen · Posten | halten · Sollmaß | nachseihen · Posten | Klarauszug | Zutat; schließen	Zutat · abführen; Zutat · Zielstelle; auswringen · Posten; halten · Sollmaß; nachseihen · Posten; Klarauszug; Zutat; schließen.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
H3-S002	H3	f11r	shoyty	Zutat · Posten · Teil	Zutat · Posten · Teil.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.
H3-S003	H3	f11r	dchol chy kchy dy daiin	vom vorigen | dies | bearbeiten · Posten | dies | Sollmaß	vom vorigen; dies; bearbeiten · Posten; dies; Sollmaß.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
H3-S004	H3	f11r	qotchy okchol cthy dy	danach · Posten | einsetzen · weiter | bereit | dies	danach · Posten; einsetzen · weiter; bereit; dies.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.
H4-S001	H4	f55v	qokaiin chaiin ykain ykan ody	bemessen | Sollmaß | Posten · Anteil | Posten · Anteil | kühlen	bemessen; Sollmaß; Posten · Anteil; Posten · Anteil; kühlen.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, stelle den Posten auf Sollmaß und setze ihn in Auszugsflüssigkeit im Gefäß an.
