record_unit_id	page	statement_count	event_count	continuous_period_sized_record_de
H1	f10r	2	14	Wurzel · Posten; bereitstellen · Ansatz; davon; Anteil; Gefäß; Flüssigkeitslauf; danach · Teil · weiter; einsetzen; Sollmaß; kurz · Teil. weiterbearbeiten; danach · weiter; weiter; bereit.
H2	f10r	3	24	Posten · Auszug · Ansatz; bereit; Ansatz; bereitstellen · Sollmaß; bereitstellen · weiter · Posten; dies; dies; Sollmaß; dies. Folgeansatz; Ansatz; danach · weiter; weiter; damit weiter; weiter; Sollmaß; davon. Posten · bearbeiten · Ansatz; Ansatz; Ansatz; dies; Arbeitsstufe; dies; Zutat · Sollmaß.
H3	f11r	4	17	Zutat · abführen; Zutat · Zielstelle; auswringen · Posten; halten · Sollmaß; nachseihen · Posten; Klarauszug; Zutat; schließen. Zutat · Posten · Teil. vom vorigen; dies; bearbeiten · Posten; dies; Sollmaß. danach · Posten; einsetzen · weiter; bereit; dies.
H4	f55v	4	18	bemessen; Sollmaß; Posten · Anteil; Posten · Anteil; kühlen. Sollmaß; überführen; Zielstelle · verwahren. Posten · Sollmaß; Auszug · Ausgang; länger bearbeiten; fertig. Sollmaß; dorthin einsetzen; weiter · bereitstellen · Posten; Ansatz; dies; Ansatz · Anteil.
H5	f56r	6	27	Zutat · Ansatz; weitere Zutat; Zutat · Zielstelle · Posten; Sollmaß; weitere Zutat; bearbeiten · weiter; Folgeansatz; einsetzen; dorthin. vom vorigen; Zutat · Posten; einsetzen; länger · Durchgang · Zutat; schließen. halten; weitere Zutat; bearbeiten · kurz · Posten; einsetzen · einsetzen · Posten. weiterbearbeiten; einsetzen · Auszug; bearbeiten · Zielstelle. weitere Zutat; weiterbearbeiten; Auszug · Ausgang; danach · anwenden. das nächste; kurz · weiter; Sollmaß.
B1	f81v	21	66	kurz einwirken; Schluss. bemessen; Flüssigkeitslauf; dorthin einsetzen; davon; weiter; Anteil; weiter · Anteil; dorthin; weiter; weiter; Zusatz; damit weiter; weiter; Durchgang · kurz · Zielstelle; Sollmaß; einsetzen · länger · Zielstelle; Sollmaß; durchleiten; überführen; Schluss. weiter; halten · bearbeiten · übertragen; schließen. überführen; weiter; kurz absetzen; Schluss. weiterführen; Schluss. Anteil zugeben; durchleiten; Zusatz; Zielstelle. einführen; Schluss. dies; weiter; kurz wärmen; weiter; kurz absetzen; Schluss. kurz einwirken; Schluss. kurz einwirken; Schluss. durchleiten; einsetzen. waschen; kurz einwirken; waschen; schließen. waschen; schließen. überführen; weiter; abführen · übertragen · Zielstelle; weiter; danach · Ausgang. Posten · kurz · Teil; einführen; Schluss. dorthin einsetzen; lange einwirken; weiter; kurz absetzen; Schluss. dorthin; kurz · weiter; übertragen; schließen. abführen · Posten; halten · kurz · weiter; Arbeitsstufe; lange sammeln; Schluss. kurz absetzen; Schluss. kurz wärmen; seihen; Schluss. dorthin.
B2	f82r	22	62	überführen; Schluss. weiterführen; Schluss. Anteil zugeben; dies; lange einwirken; Schluss. dorthin einsetzen; abführen · Durchgang · Posten; abführen · übertragen; lange einwirken; abführen · trennen; schließen. einsetzen · Zielstelle · Posten; auffangen · Sollmaß; durchleiten; bemessen; bemessen; bereitstellen · weiter; wärmen · länger · Posten; abziehen; Schluss. danach · länger · Posten; dorthin einsetzen; Durchgang · kurz · Posten; einsetzen. absetzen · kurz; schließen. Folgemaß; einsetzen · Ausgang; kurz absetzen; Schluss. weiter · absetzen; schließen. lange einwirken; einsetzen; abführen; Klarauszug. Anteil zugeben; davon; Anteil zugeben; lange einwirken; Schluss. abführen · Posten; Klarauszug; bereitstellen · kurz · Posten; lange einwirken; abführen · Klarlauf; Sollmaß; dies; einsetzen · vollständig; schließen. abführen; Schluss. abführen · Ausgang. Klarlauf; lange einwirken; Schluss. dorthin; abführen · übertragen · Ausgang; teilen; Sollmaß; danach · länger · Posten; bemessen; kurz einwirken; zuführen · übertragen; schließen. halten · kurz · Zielstelle; Zielstelle; schließen. lange einwirken; Schluss. waschen; schließen. danach · länger; schließen. lange einwirken; Schluss. abführen · übertragen; schließen.
B3	f83r	34	86	lange sammeln; Schluss. danach dorthin; wärmen · länger; schließen. dies; Sollmaß; dies; abführen; Schluss. bemessen; danach dorthin; davon. überführen; Schluss. übertragen · Posten; dorthin einsetzen; weiterführen; Schluss. bemessen; überführen; lange einwirken; Schluss. abführen; Schluss. einsetzen. zuführen · übertragen · Zielstelle; danach · kurz; schließen. bereitstellen · übertragen · Posten; einsetzen; überführen; Ausgang · Posten. Ansatz; kurz absetzen; Schluss. bemessen; Anteil; bereitstellen · kurz · Posten; kurz einwirken; Schluss. einsetzen · Flüssigkeitslauf; absetzen · länger; schließen. abführen; Schluss. abführen; einführen; Schluss. lange einwirken; Schluss. kurz absetzen; Schluss. einsetzen · absetzen; schließen. dorthin; abführen; Schluss. bemessen; bereit; dorthin; dies; Sollmaß; absetzen · Zielstelle; bereitstellen · kurz · Posten; dies; dorthin; bereit; Zielstelle · übertragen; schließen. danach · übertragen; schließen. abführen; Schluss. überführen; Schluss. einführen; Schluss. übertragen · Ausgang; absetzen · Sollmaß; überführen; Anteil zugeben; bereit; Zielstelle · Ansatz; lange sammeln; Schluss. danach · länger; schließen. lange einwirken; kurz einwirken; Schluss. weiter; vollständig · Teil; kurz einwirken; Schluss. einsetzen; Sollmaß; Flüssigkeitslauf; danach · übertragen; schließen. lange einwirken; Schluss. übertragen · Anteil; überführen; danach · kurz · Sollmaß; Folgemaß; danach · kurz; schließen. abziehen; Schluss. Arbeitsstufe; bereit; Anteil; Folgemaß; Zielstelle · Posten; kurz absetzen; Schluss.
B4	f83r	16	47	lange einwirken; Schluss. weiter · Posten; lange einwirken; kurz einwirken; Schluss. überführen; danach dorthin; das nächste; lange einwirken; einsetzen; weiter; kurz absetzen; Schluss. einsetzen · Posten · festbinden. Tuch; überführen; lange einwirken; Schluss. seihen; Schluss. seihen; Schluss. Sollmaß; länger bearbeiten; halten · länger · Posten; kurz einwirken; Schluss. kurz absetzen; Schluss. fertig. Sollmaß; kurz wärmen; einsetzen · länger · weiter; Anteil zugeben; überführen; weiter; abführen · kurz; schließen. abführen; Schluss. einsetzen · weiter; kurz absetzen; Schluss. Ansatz; dies; einsetzen · Durchgang · kurz · Posten; Flüssigkeitslauf · Posten; schließen. Anteil zugeben; Klarauszug; Anteil; Durchgang · Zielstelle; auffangen · kurz · Posten; abführen; Schluss. weiter · Anteil; dorthin; ausgießen · Ausgang; kurz absetzen; Schluss.
B5	f83r	3	11	danach · übertragen; schließen. einführen; Schluss. absetzen · Zielstelle; dorthin; weiter; abführen · weiter; übertragen · Zielstelle; Sollmaß; weiter; Arbeitsstufe; überführen.
