event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	current_spoken_default_de	teaching_layer	drawer	previous_default_de
1	H1-S001	H1	f10r	dchey	MC071	Wurzel · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	Wurzel · Posten
2	H1-S001	H1	f10r	cthoor	MC158	bereitstellen · Ansatz	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	bereitstellen · Ansatz
3	H1-S001	H1	f10r	char	MC055	davon	REVISED_SHARED_17	ACTIVE_CORE	davon
4	H1-S001	H1	f10r	chty	MC086	Anteil	REVISED_SHARED_17	ACTIVE_CORE	einen Teil abtrennen
5	H1-S001	H1	f10r	os	MC159	Gefäß	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	Gefäß
6	H1-S001	H1	f10r	chair	MC014	Flüssigkeitslauf	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	Flüssigkeitslauf
7	H1-S001	H1	f10r	otytchol	MC069	danach · Teil · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D5_QUANTITY_PART_STAGE	danach · Teil · weiter
8	H1-S001	H1	f10r	oky	MC026	einsetzen	REVISED_SHARED_17	ACTIVE_CORE	diesen Posten einsetzen
9	H1-S001	H1	f10r	daiin	MC039	Sollmaß	REVISED_SHARED_17	ACTIVE_CORE	Sollmaß
10	H1-S001	H1	f10r	etyd	MC108	kurz · Teil	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	kurz · Teil
11	H1-S002	H1	f10r	qokchy	MC103	weiterbearbeiten	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	diesen Posten weiterbearbeiten
12	H1-S002	H1	f10r	qotchol	MC163	danach · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION	danach · weiter
13	H1-S002	H1	f10r	chol	MC153	weiter	REVISED_SHARED_17	ACTIVE_CORE	weiter
14	H1-S002	H1	f10r	cthy	MC161	bereit	REVISED_SHARED_17	ACTIVE_CORE	diesen Posten bereitstellen
15	H2-S001	H2	f10r	ycheor	MC075	Posten · Auszug · Ansatz	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	Posten · Auszug · Ansatz
16	H2-S001	H2	f10r	cthy	MC161	bereit	REVISED_SHARED_17	ACTIVE_CORE	diesen Posten bereitstellen
