value_de	selection_layer	rule	events
Ansatz umsetzen; Schluss	LOCAL_CONTEXT	short QOKCHDY at statement entry; expanded OKCHEDY after prior action	5
danach umsetzen; Schluss	RECORD_RENDERER	short OTCHDY in B5; expanded OTCHEDY in B3	3
dies kurz fuellen	RECORD_RENDERER	ETYD in H1; YTEY in B1	2
dies kurz zuführen	RECORD_RENDERER	KCHEY in H5; QEKY in B6	2
dies länger wärmen	RECORD_RENDERER	CHKEEY in B2; CHEEKY in H4 and B4	3
dies umsetzen	LOCAL_CONTEXT	CHEDCHY before target-setting; otherwise CHDY/CHEDY	12
eine Portion davon zuführen	LOCAL_CONTEXT	contract to YKAN on immediate repetition; otherwise YKAIN	2
fortsetzen	STATEMENT_POSITION	DCHOL/SCHOL for Herbal statement-entry resumption; ordinary OL inside	21
nächster Posten	RECORD_RENDERER	QOTCHY in H3; OTCHEY in H5 and B4	3
umsetzen; Schluss	LOCAL_CONTEXT	short DCHDY after KURZ FORTSETZEN; otherwise expanded DCHEDY	5
weiterfuehren	RECORD_RENDERER	DL in B1; LOL in B5	3
