component_recipe	card_types	card_ids	surfaces	events	invariant_ok_value	composed_reading_de	close_status
OK+AIIN	1	PROC038	okaiin|qokaiin	9	ANSETZEN	ANSETZEN · SOLLMASS	ACTIVE_OR_ARGUMENT_BEARING
OK+AIN	1	PROC080	okain|qokain	7	ANSETZEN	ANSETZEN · PORTION	ACTIVE_OR_ARGUMENT_BEARING
OK+AIR	1	PROC138	okair	1	ANSETZEN	ANSETZEN · FLUESSIGKEITSLAUF	ACTIVE_OR_ARGUMENT_BEARING
OK+AL	1	PROC048	okal|qokal	6	ANSETZEN	ANSETZEN · ZIELSTELLE	ACTIVE_OR_ARGUMENT_BEARING
OK+AL+Y	1	PROC104	qokaly	1	ANSETZEN	ANSETZEN · ZIELSTELLE · ARBEITSPOSTEN	ACTIVE_OR_ARGUMENT_BEARING
OK+AR	1	PROC113	qokar	1	ANSETZEN	ANSETZEN · VORRAT	ACTIVE_OR_ARGUMENT_BEARING
OK+CH+E+O	1	PROC061	chokcheo	1	ANSETZEN	ANSETZEN · ABNEHMEN · KURZ · ARBEITSGANG	ACTIVE_OR_ARGUMENT_BEARING
OK+CHD+DY	2	PROC082|PROC091	okchedy|qokchdy|qokchedy	5	ANSETZEN	ANSETZEN · UMSETZEN; SCHLUSS	CLOSED
OK+E+DY	1	PROC067	qokedy	8	ANSETZEN	ANSETZEN · KURZ; SCHLUSS	CLOSED
OK+E+Y	1	PROC085	okey|qokey	2	ANSETZEN	ANSETZEN · KURZ · ARBEITSPOSTEN	ACTIVE_OR_ARGUMENT_BEARING
OK+EE+AL	1	PROC074	qokeedal	1	ANSETZEN	ANSETZEN · LANG · ZIELSTELLE	ACTIVE_OR_ARGUMENT_BEARING
OK+EE+DY	1	PROC100	qokeedy	10	ANSETZEN	ANSETZEN · LANG; SCHLUSS	CLOSED
OK+EE+OL	1	PROC158	okeeol	1	ANSETZEN	ANSETZEN · LANG · FORTSETZEN	ACTIVE_OR_ARGUMENT_BEARING
OK+EE+Y	1	PROC092	okeey|qokeey	7	ANSETZEN	ANSETZEN · LANG · ARBEITSPOSTEN	ACTIVE_OR_ARGUMENT_BEARING
OK+EEE+DY	1	PROC119	qokeeedy	1	ANSETZEN	ANSETZEN · VOLL; SCHLUSS	CLOSED
OK+OK+Y	1	PROC060	qokokchy	1	ANSETZEN	ANSETZEN · ANSETZEN · ARBEITSPOSTEN	ACTIVE_OR_ARGUMENT_BEARING
OK+OL	2	PROC037|PROC160	okchol|qokol	2	ANSETZEN	ANSETZEN · FORTSETZEN	ACTIVE_OR_ARGUMENT_BEARING
OK+SH+E+DY	1	PROC141	qokshedy	1	ANSETZEN	ANSETZEN · HALTEN · KURZ; SCHLUSS	CLOSED
OK+Y	2	PROC008|PROC011	chokchy|choky|okchy|oky|qokchy|qoky	13	ANSETZEN	ANSETZEN · ARBEITSPOSTEN	ACTIVE_OR_ARGUMENT_BEARING
OK+Y+LD+DY	1	PROC155	qokylddy	1	ANSETZEN	ANSETZEN · ARBEITSPOSTEN · BEFESTIGEN; SCHLUSS	CLOSED
