event_id	page	record	statement_id	card_no	surface	component_recipe	composed_command_de	statement_final	contains_close	ok_value_invariant
E008	f10r	H1	H1-S001	PROC008	oky	OK+Y	ANSETZEN · ARBEITSPOSTEN	NO	NO	YES
E011	f10r	H1	H1-S002	PROC011	qokchy	OK+Y	ANSETZEN · ARBEITSPOSTEN	NO	NO	YES
E053	f11r	H3	H3-S004	PROC037	okchol	OK+OL	ANSETZEN · FORTSETZEN	NO	NO	YES
E056	f55v	H4	H4-S001	PROC038	qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	NO	NO	YES
E069	f55v	H4	H4-S004	PROC048	okal	OK+AL	ANSETZEN · ZIELSTELLE	NO	NO	YES
E081	f56r	H5	H5-S001	PROC008	choky	OK+Y	ANSETZEN · ARBEITSPOSTEN	NO	NO	YES
E085	f56r	H5	H5-S002	PROC008	choky	OK+Y	ANSETZEN · ARBEITSPOSTEN	NO	NO	YES
E090	f56r	H5	H5-S003	PROC060	qokokchy	OK+OK+Y	ANSETZEN · ANSETZEN · ARBEITSPOSTEN	YES	NO	YES
E091	f56r	H5	H5-S004	PROC011	okchy	OK+Y	ANSETZEN · ARBEITSPOSTEN	NO	NO	YES
E092	f56r	H5	H5-S004	PROC061	chokcheo	OK+CH+E+O	ANSETZEN · ABNEHMEN · KURZ · ARBEITSGANG	NO	NO	YES
E095	f56r	H5	H5-S005	PROC011	chokchy	OK+Y	ANSETZEN · ARBEITSPOSTEN	NO	NO	YES
E101	f81v	B1	B1-S001	PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ; SCHLUSS	YES	YES	YES
E102	f81v	B1	B1-S002	PROC038	okaiin	OK+AIIN	ANSETZEN · SOLLMASS	NO	NO	YES
E104	f81v	B1	B1-S002	PROC048	okal	OK+AL	ANSETZEN · ZIELSTELLE	NO	NO	YES
E117	f81v	B1	B1-S002	PROC074	qokeedal	OK+EE+AL	ANSETZEN · LANG · ZIELSTELLE	NO	NO	YES
E127	f81v	B1	B1-S006	PROC080	qokain	OK+AIN	ANSETZEN · PORTION	NO	NO	YES
E131	f81v	B1	B1-S007	PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	YES	YES	YES
E137	f81v	B1	B1-S009	PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ; SCHLUSS	YES	YES	YES
E138	f81v	B1	B1-S010	PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ; SCHLUSS	YES	YES	YES
