record	page	statements	events	specialist_token_uses	minimal_specialist_root_cards	specialist_roots	craft_stations_needed	station_decks	exact_specialist_bearing_cards	physical_deck_rule_de
H1	f10r	2	14	11	5	AIR CH CTH OS T	4	WET_HANDLING|TRANSFER_EDIT|STATE_CONTROL|LOCAL_COMMAND	9	13er Taschenkern tragen; nur diese Spezialwurzelkarten und die belegten Oberflaechen am Arbeitsplatz bereithalten.
H2	f10r	3	24	7	3	CH CTH IIN	2	TRANSFER_EDIT|STATE_CONTROL	7	13er Taschenkern tragen; nur diese Spezialwurzelkarten und die belegten Oberflaechen am Arbeitsplatz bereithalten.
H3	f11r	4	17	13	7	CFH CH CTH P RESUME_CARD SH T	4	WET_HANDLING|TRANSFER_EDIT|STATE_CONTROL|LOCAL_COMMAND	10	13er Taschenkern tragen; nur diese Spezialwurzelkarten und die belegten Oberflaechen am Arbeitsplatz bereithalten.
H4	f55v	4	18	8	7	AIN AN CH CHD CHK T TALAM	4	PREPARATION_INPUT|TRANSFER_EDIT|STATE_CONTROL|LOCAL_COMMAND	8	13er Taschenkern tragen; nur diese Spezialwurzelkarten und die belegten Oberflaechen am Arbeitsplatz bereithalten.
H5	f56r	6	27	16	6	AIN CH CKH HO RESUME_CARD SH	5	PREPARATION_INPUT|WET_HANDLING|TRANSFER_EDIT|STATE_CONTROL|LOCAL_COMMAND	12	13er Taschenkern tragen; nur diese Spezialwurzelkarten und die belegten Oberflaechen am Arbeitsplatz bereithalten.
B1	f81v	21	66	41	13	AIN AIR CHD CHK CKH IIN L LSH R SH SHED SOLK T	4	PREPARATION_INPUT|WET_HANDLING|TRANSFER_EDIT|STATE_CONTROL	31	13er Taschenkern tragen; nur diese Spezialwurzelkarten und die belegten Oberflaechen am Arbeitsplatz bereithalten.
B2	f82r	22	62	44	14	AIN CH CHD CHK CKH CTH EEE L P R S SH SHED SOLK	4	PREPARATION_INPUT|WET_HANDLING|TRANSFER_EDIT|STATE_CONTROL	30	13er Taschenkern tragen; nur diese Spezialwurzelkarten und die belegten Oberflaechen am Arbeitsplatz bereithalten.
B3	f83r	34	86	59	14	AIN AIR CHD CHK CTH EEE IIN L P R SH SHED SOLK T	4	PREPARATION_INPUT|WET_HANDLING|TRANSFER_EDIT|STATE_CONTROL	36	13er Taschenkern tragen; nur diese Spezialwurzelkarten und die belegten Oberflaechen am Arbeitsplatz bereithalten.
B4	f83r	16	47	31	11	AIN AIR CH CHD CHK CKH L LD SH SHED SOLK	5	PREPARATION_INPUT|WET_HANDLING|TRANSFER_EDIT|STATE_CONTROL|LOCAL_COMMAND	20	13er Taschenkern tragen; nur diese Spezialwurzelkarten und die belegten Oberflaechen am Arbeitsplatz bereithalten.
B5	f83r	3	11	8	5	CHD DA IIN L SHED	3	TRANSFER_EDIT|STATE_CONTROL|LOCAL_COMMAND	7	13er Taschenkern tragen; nur diese Spezialwurzelkarten und die belegten Oberflaechen am Arbeitsplatz bereithalten.
B6	f83r	1	9	4	4	AIN L R SOLK	4	PREPARATION_INPUT|WET_HANDLING|TRANSFER_EDIT|STATE_CONTROL	4	13er Taschenkern tragen; nur diese Spezialwurzelkarten und die belegten Oberflaechen am Arbeitsplatz bereithalten.
