record	station	root_cards_needed	components	token_uses
H1	PREPARATION_INPUT	0	NONE	0
H1	WET_HANDLING	1	AIR	1
H1	TRANSFER_EDIT	2	CH T	7
H1	STATE_CONTROL	1	CTH	2
H1	LOCAL_COMMAND	1	OS	1
H2	PREPARATION_INPUT	0	NONE	0
H2	WET_HANDLING	0	NONE	0
H2	TRANSFER_EDIT	1	CH	3
H2	STATE_CONTROL	2	CTH IIN	4
H2	LOCAL_COMMAND	0	NONE	0
H3	PREPARATION_INPUT	0	NONE	0
H3	WET_HANDLING	2	CFH P	2
H3	TRANSFER_EDIT	2	CH T	4
H3	STATE_CONTROL	2	CTH SH	6
H3	LOCAL_COMMAND	1	RESUME_CARD	1
H4	PREPARATION_INPUT	2	AIN AN	3
H4	WET_HANDLING	0	NONE	0
H4	TRANSFER_EDIT	3	CH CHD T	3
H4	STATE_CONTROL	1	CHK	1
H4	LOCAL_COMMAND	1	TALAM	1
H5	PREPARATION_INPUT	2	AIN HO	9
H5	WET_HANDLING	1	CKH	1
H5	TRANSFER_EDIT	1	CH	4
H5	STATE_CONTROL	1	SH	1
H5	LOCAL_COMMAND	1	RESUME_CARD	1
B1	PREPARATION_INPUT	1	AIN	3
B1	WET_HANDLING	4	AIR CKH LSH SOLK	11
B1	TRANSFER_EDIT	3	CHD L T	14
B1	STATE_CONTROL	5	CHK IIN R SH SHED	13
B1	LOCAL_COMMAND	0	NONE	0
B2	PREPARATION_INPUT	2	AIN S	4
B2	WET_HANDLING	3	CKH P SOLK	6
B2	TRANSFER_EDIT	3	CH CHD L	19
B2	STATE_CONTROL	6	CHK CTH EEE R SH SHED	15
B2	LOCAL_COMMAND	0	NONE	0
B3	PREPARATION_INPUT	1	AIN	3
B3	WET_HANDLING	3	AIR P SOLK	5
B3	TRANSFER_EDIT	3	CHD L T	32
B3	STATE_CONTROL	7	CHK CTH EEE IIN R SH SHED	19
B3	LOCAL_COMMAND	0	NONE	0
B4	PREPARATION_INPUT	1	AIN	5
B4	WET_HANDLING	3	AIR CKH SOLK	6
B4	TRANSFER_EDIT	3	CH CHD L	9
B4	STATE_CONTROL	3	CHK SH SHED	10
B4	LOCAL_COMMAND	1	LD	1
B5	PREPARATION_INPUT	0	NONE	0
B5	WET_HANDLING	0	NONE	0
B5	TRANSFER_EDIT	2	CHD L	5
B5	STATE_CONTROL	2	IIN SHED	2
B5	LOCAL_COMMAND	1	DA	1
B6	PREPARATION_INPUT	1	AIN	1
B6	WET_HANDLING	1	SOLK	1
B6	TRANSFER_EDIT	1	L	1
B6	STATE_CONTROL	1	R	1
B6	LOCAL_COMMAND	0	NONE	0
