station	component	compact_value_de	token_uses	statements	records	station_rule_de	physical_storage_de
TRANSFER_EDIT	CHD	UMSETZEN	48	41	H4|B1|B2|B3|B4|B5	Posten abnehmen eintragen umsetzen oder weiterleiten.	eigene beschriftete Musterkarte im Stationskasten
TRANSFER_EDIT	L	WEITERLEITEN	27	24	B1|B2|B3|B4|B5|B6	Posten abnehmen eintragen umsetzen oder weiterleiten.	eigene beschriftete Musterkarte im Stationskasten
STATE_CONTROL	SH	HALTEN	25	22	H3|H5|B1|B2|B3|B4	Halten Absetzen Bereitschaft Waerme Kuehlung Stufe und Vollgrad ueberwachen.	eigene beschriftete Musterkarte im Stationskasten
PREPARATION_INPUT	AIN	PORTION	18	15	H4|H5|B1|B2|B3|B4|B6	Portion Zutat Nachgabe und Teilung vor dem Hauptgang bereitstellen.	eigene beschriftete Musterkarte im Stationskasten
TRANSFER_EDIT	CH	ABNEHMEN	16	13	H1|H2|H3|H4|H5|B2|B4	Posten abnehmen eintragen umsetzen oder weiterleiten.	eigene beschriftete Musterkarte im Stationskasten
STATE_CONTROL	CTH	BEREIT	15	11	H1|H2|H3|B2|B3	Halten Absetzen Bereitschaft Waerme Kuehlung Stufe und Vollgrad ueberwachen.	eigene beschriftete Musterkarte im Stationskasten
STATE_CONTROL	SHED	ABSETZEN	15	15	B1|B2|B3|B4|B5	Halten Absetzen Bereitschaft Waerme Kuehlung Stufe und Vollgrad ueberwachen.	eigene beschriftete Musterkarte im Stationskasten
WET_HANDLING	CKH	DURCHLASS	14	12	H5|B1|B2|B4	Durchlass Lauf Waschen Einfuellen Auswringen und Auffangen am Nassplatz ausfuehren.	eigene beschriftete Musterkarte im Stationskasten
TRANSFER_EDIT	T	EINTRAGEN	10	7	H1|H3|H4|B1|B3	Posten abnehmen eintragen umsetzen oder weiterleiten.	eigene beschriftete Musterkarte im Stationskasten
PREPARATION_INPUT	HO	ZUTAT	8	4	H5	Portion Zutat Nachgabe und Teilung vor dem Hauptgang bereitstellen.	eigene beschriftete Musterkarte im Stationskasten
STATE_CONTROL	CHK	WAERMEN	7	7	H4|B1|B2|B3|B4	Halten Absetzen Bereitschaft Waerme Kuehlung Stufe und Vollgrad ueberwachen.	eigene beschriftete Musterkarte im Stationskasten
WET_HANDLING	SOLK	AUFFANGEN	7	7	B1|B2|B3|B4|B6	Durchlass Lauf Waschen Einfuellen Auswringen und Auffangen am Nassplatz ausfuehren.	eigene beschriftete Musterkarte im Stationskasten
STATE_CONTROL	R	KUEHLEN	6	6	B1|B2|B3|B6	Halten Absetzen Bereitschaft Waerme Kuehlung Stufe und Vollgrad ueberwachen.	eigene beschriftete Musterkarte im Stationskasten
WET_HANDLING	AIR	LAUF	5	5	H1|B1|B3|B4	Durchlass Lauf Waschen Einfuellen Auswringen und Auffangen am Nassplatz ausfuehren.	eigene beschriftete Musterkarte im Stationskasten
STATE_CONTROL	IIN	STUFE	4	4	H2|B1|B3|B5	Halten Absetzen Bereitschaft Waerme Kuehlung Stufe und Vollgrad ueberwachen.	eigene beschriftete Musterkarte im Stationskasten
WET_HANDLING	LSH	WASCHEN	3	2	B1	Durchlass Lauf Waschen Einfuellen Auswringen und Auffangen am Nassplatz ausfuehren.	eigene beschriftete Musterkarte im Stationskasten
WET_HANDLING	P	EINFUELLEN	3	3	H3|B2|B3	Durchlass Lauf Waschen Einfuellen Auswringen und Auffangen am Nassplatz ausfuehren.	eigene beschriftete Musterkarte im Stationskasten
STATE_CONTROL	EEE	VOLL	2	2	B2|B3	Halten Absetzen Bereitschaft Waerme Kuehlung Stufe und Vollgrad ueberwachen.	eigene beschriftete Musterkarte im Stationskasten
LOCAL_COMMAND	RESUME_CARD	WIEDERAUFNEHMEN	2	2	H3|H5	Seltene Recordbefehle als ganze lokale Karten lernen.	eigene beschriftete Musterkarte im Stationskasten
PREPARATION_INPUT	AN	NACHGABE	1	1	H4	Portion Zutat Nachgabe und Teilung vor dem Hauptgang bereitstellen.	eigene beschriftete Musterkarte im Stationskasten
WET_HANDLING	CFH	AUSWRINGEN	1	1	H3	Durchlass Lauf Waschen Einfuellen Auswringen und Auffangen am Nassplatz ausfuehren.	eigene beschriftete Musterkarte im Stationskasten
LOCAL_COMMAND	DA	ZWEIT	1	1	B5	Seltene Recordbefehle als ganze lokale Karten lernen.	eigene beschriftete Musterkarte im Stationskasten
LOCAL_COMMAND	LD	BEFESTIGEN	1	1	B4	Seltene Recordbefehle als ganze lokale Karten lernen.	eigene beschriftete Musterkarte im Stationskasten
LOCAL_COMMAND	OS	FACH	1	1	H1	Seltene Recordbefehle als ganze lokale Karten lernen.	eigene beschriftete Musterkarte im Stationskasten
PREPARATION_INPUT	S	TEILEN	1	1	B2	Portion Zutat Nachgabe und Teilung vor dem Hauptgang bereitstellen.	eigene beschriftete Musterkarte im Stationskasten
LOCAL_COMMAND	TALAM	VERWAHREN	1	1	H4	Seltene Recordbefehle als ganze lokale Karten lernen.	eigene beschriftete Musterkarte im Stationskasten
