component	selected_value_de	event_id	page	statement_id	owner_de	surface	component_recipe	endpoint_class	full_statement_de
SH	HALTEN	E039	f11r	H3-S001	abgebildete dicht blau blühende Kronenpflanze	tshol	T+SH+OL	OPEN_STEP	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle bearbeiten und weiter halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einbringen, laenger halten, bearbeiten, entnehmen und den Schritt schliessen.
SH	HALTEN	E040	f11r	H3-S001	abgebildete dicht blau blühende Kronenpflanze	schoal	SH+O+AL	OPEN_STEP	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle bearbeiten und weiter halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einbringen, laenger halten, bearbeiten, entnehmen und den Schritt schliessen.
SH	HALTEN	E042	f11r	H3-S001	abgebildete dicht blau blühende Kronenpflanze	shfydaiin	SH+Y+AIIN	OPEN_STEP	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle bearbeiten und weiter halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einbringen, laenger halten, bearbeiten, entnehmen und den Schritt schliessen.
SH	HALTEN	E044	f11r	H3-S001	abgebildete dicht blau blühende Kronenpflanze	shey	SH+EE+Y	OPEN_STEP	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle bearbeiten und weiter halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einbringen, laenger halten, bearbeiten, entnehmen und den Schritt schliessen.
SH	HALTEN	E046	f11r	H3-S002	abgebildete dicht blau blühende Kronenpflanze	shoyty	SH+O+Y+T+Y	OPEN_STEP	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und bearbeiten.
SH	HALTEN	E087	f56r	H5-S003	abgebildete mehrköpfige stachelige Pflanze	sh	SH	OPEN_STEP	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zugeben und ihn zweimal ansetzen.
SH	HALTEN	E115	f81v	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	sheckhal	SH+E+CKH+AL	OPEN_STEP	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
SH	HALTEN	E122	f81v	B1-S003	gemeinsame zweireihige Figuren-/Beckenstation	sshkchdy	SH+K+CHD+DY	CLOSED_STEP	Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen.
SHED	STEHENLASSEN	E125	f81v	B1-S004	gemeinsame zweireihige Figuren-/Beckenstation	shedy	SHED+DY	CLOSED_STEP	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.
SHED	STEHENLASSEN	E136	f81v	B1-S008	gemeinsame zweireihige Figuren-/Beckenstation	shedy	SHED+DY	CLOSED_STEP	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und weiterarbeiten, kurz erwaermen, weiterfuehren, stehen lassen und den Schritt schliessen.
SHED	STEHENLASSEN	E155	f81v	B1-S016	gemeinsame zweireihige Figuren-/Beckenstation	cheedy	SHED+DY	CLOSED_STEP	Am gemeinsamen zweireihigen Becken: Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.
SH	HALTEN	E160	f81v	B1-S018	gemeinsame zweireihige Figuren-/Beckenstation	dsheol	SH+E+OL	OPEN_STEP	Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Stufe; dann laenger an der Sammelstelle halten; den Schritt schliessen.
SHED	STEHENLASSEN	E163	f81v	B1-S019	gemeinsame zweireihige Figuren-/Beckenstation	tedy	SHED+DY	CLOSED_STEP	Am gemeinsamen zweireihigen Becken: Stehen lassen; den Schritt schliessen.
SH	HALTEN	E165	f81v	B1-S020	gemeinsame zweireihige Figuren-/Beckenstation	shckhedy	SH+CKH+E+DY	CLOSED_STEP	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.
SH	HALTEN	E187	f82r	B2-S006	oberes Beckenpaar mit Zylinder	sheckhy	SH+E+CKH+Y	OPEN_STEP	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.
SH	HALTEN	E189	f82r	B2-S007	mittleres linkes Handgerät mit Inline-Knoten	dshedy	SH+E+DY	CLOSED_STEP	An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen.
SHED	STEHENLASSEN	E192	f82r	B2-S008	mittleres linkes Handgerät mit Inline-Knoten	shedy	SHED+DY	CLOSED_STEP	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann stehen lassen; den Schritt schliessen.
SH	HALTEN	E193	f82r	B2-S009	mittleres linkes Handgerät mit Inline-Knoten	solshedy	OL+SH+E+DY	CLOSED_STEP	An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen.
SH	HALTEN	E197	f82r	B2-S010	mittleres linkes Handgerät mit Inline-Knoten	cheey	SH+EE+Y	OPEN_STEP	An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann weiterarbeiten; dann ihn laenger halten.
SH	HALTEN	E203	f82r	B2-S012	unteres grünes Mehrfigurenbecken	cheey	SH+EE+Y	OPEN_STEP	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten leiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger leiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen.
SH	HALTEN	E212	f82r	B2-S015	kleine Randstationen des unteren Beckens	tshey	SH+E+Y	OPEN_STEP	An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen.
SH	HALTEN	E222	f82r	B2-S017	kleine Randstationen des unteren Beckens	rsheal	R+SH+E+AL	OPEN_STEP	An den Randstationen des unteren Beckens: An der Zielstelle kurz kuehlen und halten, dann den Schritt an der Zielstelle schliessen.
SHED	STEHENLASSEN	E225	f82r	B2-S019	kleine Randstationen des unteren Beckens	rshedy	R+SHED+DY	CLOSED_STEP	An den Randstationen des unteren Beckens: Kuehlen und stehen lassen; den Schritt schliessen.
SH	HALTEN	E250	f83r	B3-S011	untere Randfigur im korbartigen Gefäß	shecthedchy	SH+E+CTH+CHD+Y	OPEN_STEP	Am unteren Korbgefaess: Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus der Quelle.
SHED	STEHENLASSEN	E255	f83r	B3-S012	untere Randfigur im korbartigen Gefäß	shedy	SHED+DY	CLOSED_STEP	Am unteren Korbgefaess: Den Ansatz stehen lassen und den Schritt schliessen.
SH	HALTEN	E261	f83r	B3-S014	untere Randfigur im korbartigen Gefäß	sheedy	SH+EE+DY	CLOSED_STEP	Am unteren Korbgefaess: Die laufende Fluessigkeit ansetzen; dann laenger halten; den Schritt schliessen.
SHED	STEHENLASSEN	E266	f83r	B3-S018	unverbundener Zwischenbereich	shedy	SHED+DY	CLOSED_STEP	Im bildlich unverbundenen Zwischenabschnitt: Stehen lassen; den Schritt schliessen.
SH	HALTEN	E267	f83r	B3-S019	unverbundener Zwischenbereich	qokshedy	OK+SH+E+DY	CLOSED_STEP	Im bildlich unverbundenen Zwischenabschnitt: Kurz ansetzen und halten; den Schritt schliessen.
SHED	STEHENLASSEN	E275	f83r	B3-S021	unverbundener Zwischenbereich	shedal	SHED+AL	OPEN_STEP	Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass stehen lassen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.
SH	HALTEN	E276	f83r	B3-S021	unverbundener Zwischenbereich	shecthy	SH+E+CTH+Y	OPEN_STEP	Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass stehen lassen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.
SHED	STEHENLASSEN	E314	f83r	B3-S034	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	shedy	SHED+DY	CLOSED_STEP	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Stufe fuehren; den Posten bereitet halten und bearbeiten; danach nach Sollmass an der Zielstelle weiterfuehren, stehen lassen und schliessen.
SHED	STEHENLASSEN	E325	f83r	B4-S003	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	shedy	SHED+DY	CLOSED_STEP	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, weiterarbeiten, stehen lassen und schliessen.
SH	HALTEN	E330	f83r	B4-S006	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	shckhedy	SH+CKH+E+DY	CLOSED_STEP	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.
SH	HALTEN	E331	f83r	B4-S007	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	shckhedy	SH+CKH+E+DY	CLOSED_STEP	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.
SH	HALTEN	E334	f83r	B4-S008	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	sheey	SH+EE+Y	OPEN_STEP	Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Sollmass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.
SHED	STEHENLASSEN	E336	f83r	B4-S009	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	shedy	SHED+DY	CLOSED_STEP	Am zweiten durch den Bogen verbundenen Hauptpaar: Stehen lassen; den Schritt schliessen.
SHED	STEHENLASSEN	E347	f83r	B4-S013	linke Hauptstation mit offenem Fransenlauf	shedy	SHED+DY	CLOSED_STEP	An der linken offenen Randstation: Weiter ansetzen; dann stehen lassen; den Schritt schliessen.
SH	HALTEN	E353	f83r	B4-S015	linke Hauptstation mit offenem Fransenlauf	shey	SH+EE+Y	OPEN_STEP	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz an der Sammelstelle halten, leiten, umsetzen und schliessen.
SHED	STEHENLASSEN	E361	f83r	B4-S016	rechte Hauptstation mit S-Lauf und Mehrarmknoten	shedy	SHED+DY	CLOSED_STEP	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, an der Zielstelle aus der Quelle nachzugeben, stehen lassen und schliessen.
SHED	STEHENLASSEN	E364	f83r	B5-S003	linke Fransenstation im B5-Nachtrag	shedal	SHED+AL	OPEN_STEP	An der linken offenen Nebenstation: An der Zielstelle stehen lassen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, bis zur zweiten Stufe fuehren und den Posten umsetzen.
