unified_serial	dossier_id	case_phase	register	page	locus	semantic_or_operational_input_de	encoder_mode	encoder_rule_id	component_or_nomenclator_formula	selected_surface	renderer_or_address_choice	source_status
U001	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.2	Wurzel	COPY_WHOLE_CARD	NONE	MEMORIZED_WHOLE_CARD	dchey	FIXED_SURFACE	OBSERVED_GROUP_REENCODING
U002	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.2	Ansatz bereit	COMPOSE_FROM_COMPONENTS	NONE	CTH_READY+OR_BATCH	cthoor	FIXED_SURFACE	OBSERVED_GROUP_REENCODING
U003	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.2	daraus	PARADIGM_RULE	P07	AR_FROM	char	REGISTERED_LOCAL_ALLOGRAPH	OBSERVED_GROUP_REENCODING
U004	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.2	Teil abtrennen	COMPOSE_FROM_COMPONENTS	NONE	CH_PARTITION+TY_PART	chty	REGISTERED_LOCAL_ALLOGRAPH	OBSERVED_GROUP_REENCODING
U005	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.2	Gefaess	COPY_WHOLE_CARD	NONE	MEMORIZED_VESSEL_CARD	os	FIXED_SURFACE	OBSERVED_GROUP_REENCODING
U006	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.2	Wasserzulauf	COMPOSE_FROM_COMPONENTS	NONE	CH_INLET+AIR_WATER	chair	FIXED_SURFACE	OBSERVED_GROUP_REENCODING
U007	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.2	naechsten Teilposten weiterfuehren	COMPOSE_FROM_COMPONENTS	NONE	OT_FOLLOW+TY_PART+OL_CONTINUE	otytchol	FIXED_SURFACE	OBSERVED_GROUP_REENCODING
U008	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.2	Posten ansetzen	PARADIGM_RULE	P10	OK_SET+Y_OPEN	oky	REGISTERED_LOCAL_ALLOGRAPH	OBSERVED_GROUP_REENCODING
U009	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.2	Sollmaß	PARADIGM_RULE	P03	AIIN_TARGET_MEASURE	daiin	REGISTERED_LOCAL_ALLOGRAPH	OBSERVED_GROUP_REENCODING
U010	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.2	kleiner Restteil	COMPOSE_FROM_COMPONENTS	NONE	E_SHORT+TY_PART+D_LOCAL	etyd	FIXED_SURFACE	OBSERVED_GROUP_REENCODING
U011	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.5	Posten ansetzen	COMPOSE_FROM_COMPONENTS	NONE	OK_SET+CH_WRAPPER+Y_OPEN	qokchy	REGISTERED_LOCAL_ALLOGRAPH	OBSERVED_GROUP_REENCODING
U012	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.5	danach weiterfuehren	COMPOSE_FROM_COMPONENTS	NONE	OT_FOLLOW+OL_CONTINUE	qotchol	FIXED_SURFACE	OBSERVED_GROUP_REENCODING
U013	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.5	fortsetzen	PARADIGM_RULE	P02	OL_CONTINUE	chol	REGISTERED_LOCAL_ALLOGRAPH	OBSERVED_GROUP_REENCODING
U014	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.5	bereit	PARADIGM_RULE	P36	CTH_READY+Y_CURRENT	cthy	REGISTERED_LOCAL_ALLOGRAPH	OBSERVED_GROUP_REENCODING
U015	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.6	Auszugsansatz	COMPOSE_FROM_COMPONENTS	NONE	Y_ITEM+CHEO_EXTRACT+OR_BATCH	ycheor	FIXED_SURFACE	OBSERVED_GROUP_REENCODING
U016	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.6	bereit	PARADIGM_RULE	P36	CTH_READY+Y_CURRENT	cthy	REGISTERED_LOCAL_ALLOGRAPH	OBSERVED_GROUP_REENCODING
U017	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.6	Ansatz	PARADIGM_RULE	P08	OR_BATCH	chor	REGISTERED_LOCAL_ALLOGRAPH	OBSERVED_GROUP_REENCODING
U018	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.6	Fertigmaß	COMPOSE_FROM_COMPONENTS	NONE	CTH_READY+AIIN_MEASURE	cthaiin	FIXED_SURFACE	OBSERVED_GROUP_REENCODING
U019	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.6	bereiten Posten weiterfuehren	COMPOSE_FROM_COMPONENTS	NONE	CTH_READY+OL_CONTINUE+Y_CURRENT	qoctholy	FIXED_SURFACE	OBSERVED_GROUP_REENCODING
U020	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.6	dieser Posten	PARADIGM_RULE	P01	Y_CURRENT_ITEM_CARD	dy	REGISTERED_LOCAL_ALLOGRAPH	OBSERVED_GROUP_REENCODING
U021	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.6	dieser Posten	PARADIGM_RULE	P01	Y_CURRENT_ITEM_CARD	chy	REGISTERED_LOCAL_ALLOGRAPH	OBSERVED_GROUP_REENCODING
U022	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	PROSE_WORKSHOP	f10r	f10r.6	Sollmaß	PARADIGM_RULE	P03	AIIN_TARGET_MEASURE	taiin	REGISTERED_LOCAL_ALLOGRAPH	OBSERVED_GROUP_REENCODING
