exercise_id	dossier_id	master_dictation_de	semantic_card_trace_de	component_formula_trace	encoder_rule_trace	generated_surface_sequence	sequence_status	use_status
X01	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelansatz bereitstellen und auf Sollmaß einstellen	Wurzel -> Ansatz bereit -> auf Sollmaß einstellen	MEMORIZED_WHOLE_CARD | CTH_READY+OR_BATCH | OK_SET+AIIN_TARGET_MEASURE	COMPOSE_OR_COPY | COMPOSE_OR_COPY | P11	dchey cthoor qokaiin	NEW_SEQUENCE_FROM_OBSERVED_CARDS	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X02	D1_ROOT_BATH_RIGHT_WHEEL	Aus demselben Ansatz weiterarbeiten	daraus -> Ansatz -> fortsetzen	AR_FROM | OR_BATCH | OL_CONTINUE	P07 | P08 | P02	char chor chol	NEW_SEQUENCE_FROM_OBSERVED_CARDS	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X03	D1_ROOT_BATH_RIGHT_WHEEL	Eine Portion zugeben und kurz geschlossen ansetzen	eine Portion zugeben -> kurz ansetzen; Schluss	OK+AIN_PORTION | OK_SET+GRADE_1+DY_CLOSE	P12 | P16	qokain qokedy	NEW_SEQUENCE_FROM_OBSERVED_CARDS	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X04	D1_ROOT_BATH_RIGHT_WHEEL	Beckenwasser durchleiten und abführen	Beckenwasser -> durchleiten -> abführen; Schluss	K_BASIN+AIR_WATER | CKH_THROUGH+Y_ITEM | L_OUT+CHED_TRANSFER+TERMINAL	COMPOSE_OR_COPY | P30 | P21	kair chckhy lchedy	NEW_SEQUENCE_FROM_OBSERVED_CARDS	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X05	D2_CLEAR_EXTRACT_STAR_ATLAS	Auswringen, bis zum Standmaß stehen lassen, nachseihen und Klarlauf kühlen	auswringen -> Standmaß -> nachseihen -> Klarlauf -> kühlen	MEMORIZED_WHOLE_CARD | SHFY_STAND+AIIN_MEASURE | MEMORIZED_WHOLE_CARD | SHEY_CLEAR_LIQUID_WHOLE | ODY_COOL+TERMINAL_CLOSE	COMPOSE_OR_COPY | COMPOSE_OR_COPY | COMPOSE_OR_COPY | P37 | COMPOSE_OR_COPY	cfhy shfydaiin cphy cheey ody	NEW_SEQUENCE_FROM_OBSERVED_CARDS	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X06	D2_CLEAR_EXTRACT_STAR_ATLAS	Klarlauf durch die Stelle führen und schließen	Klarlauf -> zur Zielstelle durchleiten -> umsetzen; Schluss	SHEY_CLEAR_LIQUID_WHOLE | CKH_THROUGH+AL_TO | CHED_TRANSFER+TERMINAL	P37 | COMPOSE_OR_COPY | P20	cheey chckhal dchedy	NEW_SEQUENCE_FROM_OBSERVED_CARDS	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X07	D2_CLEAR_EXTRACT_STAR_ATLAS	Vom Auszugsansatz eine Portion entnehmen und länger ansetzen	Auszugsansatz -> Auszug entnehmen -> eine Portion zugeben -> länger ansetzen; Schluss	Y_ITEM+CHEO_EXTRACT+OR_BATCH | CHEO_EXTRACT+AR_SOURCE | OK+AIN_PORTION | OK_SET+GRADE_2+DY_CLOSE	COMPOSE_OR_COPY | COMPOSE_OR_COPY | P12 | P17	ycheor cheoar qokain qokeedy	NEW_SEQUENCE_FROM_OBSERVED_CARDS	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X08	D2_CLEAR_EXTRACT_STAR_ATLAS	Bereiten Posten fortsetzen und auf Sollmaß bringen	bereit -> fortsetzen -> auf Sollmaß einstellen	CTH_READY+Y_CURRENT | OL_CONTINUE | OK_SET+AIIN_TARGET_MEASURE	P36 | P02 | P11	cthy ol qokaiin	NEW_SEQUENCE_FROM_OBSERVED_CARDS	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X09	D3_STORED_APPLICATION_THREE_WHEELS	Tuch an die Zielstelle bringen, länger halten und befestigen	Tuch -> dorthin -> länger ansetzen -> befestigen	DAIN_CLOTH_WHOLE | AL_TO | OK_SET+GRADE_2+Y_OPEN | OK+Y_ITEM+LDDY_FASTEN_CLOSE	COMPOSE_OR_COPY | P06 | P15 | COMPOSE_OR_COPY	dain dal qokeey qokylddy	NEW_SEQUENCE_FROM_OBSERVED_CARDS	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X10	D3_STORED_APPLICATION_THREE_WHEELS	Klarlauf abführen und danach nachwaschen	Klarlauf -> abführen; Schluss -> nachwaschen	SHEY_CLEAR_LIQUID_WHOLE | L_OUT+CHED_TRANSFER+TERMINAL | LKEDY_REWASH_WHOLE+CLOSE	P37 | P21 | COMPOSE_OR_COPY	cheey lchedy lkedy	NEW_SEQUENCE_FROM_OBSERVED_CARDS	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X11	D3_STORED_APPLICATION_THREE_WHEELS	Vom vorigen Ansatz dort länger arbeiten	Voriges -> daraus -> dort ansetzen -> länger ansetzen; Schluss	DCHOL_SCHOL_PREVIOUS_ITEM_WHOLE | AR_FROM | OK_SET+AL_TO | OK_SET+GRADE_2+DY_CLOSE	COMPOSE_OR_COPY | P07 | P13 | P17	dchol char qokal qokeedy	NEW_SEQUENCE_FROM_OBSERVED_CARDS	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X12	D3_STORED_APPLICATION_THREE_WHEELS	Ansatz am Ziel verwahren und den Folgeposten messen	Ansatz -> am Ziel verwahren -> Folgeposten -> auf Sollmaß einstellen	OR_BATCH | T_STORE_FRAME+AL_TO+AM_STORE | OT_FOLLOW+Y_CURRENT_ITEM | OK_SET+AIIN_TARGET_MEASURE	P08 | COMPOSE_OR_COPY | COMPOSE_OR_COPY | P11	chor talam otchey qokaiin	NEW_SEQUENCE_FROM_OBSERVED_CARDS	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X13	D4_FRESH_PLANT_LEFT_WHEEL	Zutat zum Ziel bringen, Portion zugeben und umsetzen	Zutat -> Zutat dorthin -> eine Portion zugeben -> umsetzen; Schluss	HO_INGREDIENT | HO_INGREDIENT+AL_TO+Y_ITEM | OK+AIN_PORTION | OK+CHD_TRANSFER+CLOSE	P09 | COMPOSE_OR_COPY | P12 | COMPOSE_OR_COPY	cho chodaly qokain qokchdy	NEW_SEQUENCE_FROM_OBSERVED_CARDS	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
