rank	page	physical_folio	locus	section	eva_clean	parsed_token_fraction	median_lr_order_gain_bits_per_char	all_six_consensus_fraction	majority_consensus_fraction	all_restarts_identical	decoded_s11_r0	decoded_s11_r1	decoded_s29_r0	decoded_s29_r1	decoded_s47_r0	decoded_s47_r1
1	f45v	f45	f45v.8	H	yksheor odal sho dy pchom otor oaiir	0.8571428571428571	2.097135301546092	0.0	0.38888888888888884	0	<?>ncuuensgeinl	<?>eluiniranieb	<?>egesenomereb	<?>ubetsiiletuc	<?>smernuaginsd	<?>ubeternhenug
2	f103r	f103	f103r.50	S	ssheey l shey qol cheey chey qokeey okeey qokain cheey qotain	0.8181818181818182	1.9284272627034607	0.0	0.43518518518518506	0	<?><?>uuneninunenenenier	<?><?>uiereueiererereune	<?><?>ernserernieinderen	<?><?>eniuerenirurinerei	<?><?>ersienersisisteniu	<?><?>eneuesenesuseresim
3	f114v	f114	f114v.16	S	ytchedy qool chey ol aiin chedar chdaiin chdal qokaiin choky chol dam	1.0	1.8939932791892142	0.0	0.47916666666666674	0	unnununetencnancnindnuer	sseieierndedeselereheinu	iunneresteebedegndegenes	neitenuuuuedesebinemetse	itsrersineezetemstelerne	aeenenuueredeiebenegenet
4	f103r	f103	f103r.17	S	sar shey qokey keedy qokeey chckhy qokal oty or aiin	1.0	1.8023487636185604	0.0	0.41666666666666663	0	eiuuiueinenandennete	teuieinuerenennieund	ineririunieindeneite	stensnssireriseiuuuu	neererinsierstiusine	aneninisesesezeruuer
5	f108r	f108	f108r.7	S	okchey okedy qokchedy chedy qokedy okar chdy okar char chkaiin chsy	1.0	1.7709848187656143	0.0	0.49242424242424243	0	inndinnundneninenininp	useneseienenereneeerep	iueuiuernueieseienedea	ieunseerinuueruuetenev	issietensisteisteeetev	asurieereruueruuenenea
6	f85r1	f85	f85r1.33	T	raraiiin shey osaiin otar ytar otedy or aiin otar olar olkeedy	0.9090909090909091	1.742500314727117	0.0	0.42499999999999993	0	<?>uunqeiuieuneteeinind	<?>uiefnesenieundneeeer	<?>erefeninereiteenunuu	<?>enufetnteruuuueteten	<?>ersoieieinsineieseso	<?>enuoenaneruuereniniz
7	f1r	f1	f1r.23	T	ydoin chol dain cthal dar shear kaiin dar shey cthar	0.9	1.7409788221765745	0.0	0.4074074074074074	0	<?>nuerureiniereiuuui	<?>eineseneieneneuise	<?>enenarensnineneran	<?>etsisistitststenst	<?>ernuiuneeeieneerie	<?>enematensninenenan
8	f81r	f81	f81r.22	B	qotal chedy qol ol daiin ol chedar ol oly	1.0	1.726005612601411	0.0	0.4259259259259258	0	ernuneneernencnenn	neeiererneerederei	erernsesenesebesun	eieriuuustuueduuei	iuensisinesiezsisu	itereuuuenuueduuir
9	f108r	f108	f108r.16	S	say olkaiin chckhy daiin dal daiin	1.0	1.7139212753510271	0.0	0.40277777777777773	0	exninaererer	tqerennenene	ipudeieneren	syenerstsist	nfsternenune	axineseneten
10	f116r	f116	f116r.38	S	daiin qokeey lshey qokaiin chkar shey okaiin chedy qokeedy raiin shy	1.0	1.7061383958607599	0.0	0.41666666666666663	0	erneusnineuuninundirun	neereterenuiereierteui	enninendeieredernuunen	stirieineuenunerinstei	nesiemsteterstensoteeu	enesimeneuenunerezaner
11	f103v	f103	f103v.2	S	daiin shey qokal shedy qokeedy qoteor shey qoty chckhy qotain chalr	0.9090909090909091	1.6980084306388723	0.0	0.45	0	eruunduundetuuennaer<?>	neuienuiernuuinienne<?>	enerndernuetereneien<?>	steniserineteneierei<?>	neerstensoineriueriu<?>	enenezereziteniresim<?>
12	f103v	f103	f103v.17	S	qokeedy chedy qoteey oteedy lkedy shedy qokal ol char otal opchedy	1.0	1.6971166170182248	0.0	0.4393939393939394	0	ndnueieiuduundnenierin	ereinunuenuienereeners	nuerereunuerndeseneruu	inereresinerisuueteire	soeninineienstsieeiunt	ezerisesirerezuuenette
13	f103r	f103	f103r.53	S	sshey qokedy qokaiin shdy qokeey chedy qokeey qokeey lchedy loty	1.0	1.6808540324224055	0.0	0.3999999999999999	0	esndniuinenuneneunxo	ttenerurereiererespl	ienundesniernininupo	seininerireriririepg	nmsisteisiensisietbh	amerenereseresesiepi
14	f85r2	f85	f85r2.22	C	los ar shedy qokshey qosey or aiin og	0.875	1.6785959767561507	0.0	0.46428571428571425	0	uoteuuis<?>netenp	elnuuiet<?>eundev	nltierie<?>eiteeo	iluuerse<?>uuuuuv	elnienem<?>sinesv	ileuerim<?>uueruo
15	f28r	f28	f28r.4	H	choty chtol otol chotchy cthol otol choky qoty	1.0	1.6642722240132204	0.0	0.41666666666666663	0	inbueuinuueunden	diminidesiniehni	anpnenasanenegen	rittetrestetemei	tugrirteirireliu	trcnentuanenegir
16	f108r	f108	f108r.32	S	ykedar chedy qokey lkeedy otedy okedy otedy otal shol alodar or alold	1.0	1.647080951517916	0.0	0.4513888888888889	0	rcnuiuudeundeueruurfnerf	rdeieierniennineuisgeusy	uberirnuereuererenufeiux	rdersninerunereietaguuay	azenereoinsiiniuernbsinv	nderinizerureretenofuuoy
17	f89v1	f89	f89v1.18	P	qokol sheol qokol dal chol dam qoeey saiin ols chokaiin	1.0	1.6337194752699535	0.0	0.39999999999999986	0	iuusiuernuerniernosi	eiuneineeinueuteezar	inetinerenesnrinustd	sterstsietseirstezun	erenernuernesnnesast	inesinetenetesaniuun
18	f1r	f1	f1r.20	T	shok chor chey dain ckhey	1.0	1.630222159444979	0.0	0.4666666666666666	0	lcninueruu	ameieinesi	lcererenar	azetensiun	roenernuur	loeneneman
19	f115r	f115	f115r.7	S	dar chedy qotchy chedy chedar shey otain chorar	1.0	1.6194328895136492	0.0	0.5208333333333334	0	einuennuncuuerdi	neeineeieduinehe	eneresereberenfn	stereeeredeneift	neenieenezeriube	eneriueredenemgn
20	f88r	f88	f88r.27	P	qokol chol qokol qokol chol cheey or aiin oldal	1.0	1.6163280152303858	0.0	0.4629629629629629	0	iunuiuiununinetenc	eieieieieieueundel	inenininenereiteug	stetststeteruuuueb	erererererensinesm	inenininenesuuerib
