rank	page	physical_folio	locus	section	eva_clean	parsed_token_fraction	median_lr_order_gain_bits_per_char	all_six_consensus_fraction	majority_consensus_fraction	all_restarts_identical	decoded_s11_r0	decoded_s11_r1	decoded_s29_r0	decoded_s29_r1	decoded_s47_r0	decoded_s47_r1
1	f85r2	f85	f85r2.15	C	ypshedy dar chedy or am	1.0	2.523988316225305	0.0	0.4833333333333333	0	mdesariitu	ntstiterec	mdereriisu	nrtisiisib	dmitaresex	mditerisex
2	f89v1	f89	f89v1.11	P	osheokaiin s ain ol shodain qokar ain chekal daiin dar	0.8	2.164295945459685	0.0	0.44791666666666663	0	<?><?>tuiiafiituineres	<?><?>exesigerexessist	<?><?>suitebissuanerer	<?><?>idistfinidestiti	<?><?>exeraginexamitit	<?><?>exinexisexinitit
3	f81r	f81	f81r.25	B	sar shedy qol otain okair okal chedy dy	1.0	2.046353227622017	0.0	0.5	0	esariieraninaret	stitesieiuesitsi	areritesiminerer	sitiistuarissiti	ataririnanemarit	aterinemaninerit
4	f111r	f111	f111r.4	S	saiin oteedy qokeey daiin okedal chedy qokedy l shedy chchy okeey lor ar am	0.9285714285714286	2.013492673158114	0.0	0.48717948717948717	0	eretiierabarin<?>arariiittitu	siitessiiciter<?>itieeseierec	aremineriverin<?>eresinitsisu	sitiittialsiis<?>tisaitaeisib	atiminitabaris<?>araienetesex	ateminitaxeris<?>ereminesesex
5	f111r	f111	f111r.15	S	sheeodar aiin sheey shey oteody oteedy chey daiin oteol otedar tar pchdam	1.0	2.004800074577292	0.0	0.42361111111111116	0	aftuaratemetatereteeestu	ahemitisisitissiinilstac	oxsueretecemetereselarue	ehintitetatisetitetosirc	overamaticimatitimiletoa	oferererecemeriterelatoo
6	f108r	f108	f108r.36	S	okechy okeol okeedy cheedar okedy qotal chdy chedal chedy	1.0	1.9856723423184928	0.0	0.4166666666666666	0	oratisieineramabar	aeinereleriiinicit	tsisitalineresever	saaeineoistususlsi	uiamenalesisarabar	tmarisilisatemexer
7	f103v	f103	f103v.2	S	daiin shey qokal shedy qokeedy qoteor shey qoty chckhy qotain chalr	0.9090909090909091	1.9773658131130996	0.0	0.41666666666666663	0	eratinarisematetader<?>	siisesiterinisiiinie<?>	eretineriteieteremes<?>	titeistiintutetisttu<?>	itatimarinidatitarin<?>	iterinerisareratemam<?>
8	f108v	f108	f108v.32	S	dain shedain qokedar olkeedy qokeedy shedy chedar chedy oteedy qokam	1.0	1.9284778547452857	0.0	0.4833333333333333	0	erapieisisaraearetic	seamilereritilititiu	esovilatitereleremic	tuemaoinintisositiaa	inovileninaralarimie	imopelisisereleremei
9	f108r	f108	f108r.47	S	yched chockhey dain sheol okedy lkeedy oteedy qokeedy ched al keam	1.0	1.9196108590122396	0.0	0.4242424242424242	0	shtderatinisetisaetioc	avadseinereriteripesmu	igovesesinitemiteistmc	igedtuteisantiinsrisra	eoovinameseniminaperme	ihocimerisesemiseienti
10	f114r	f114	f114r.37	S	odar or aiin otshedy okaiin yky ols ol kaiin chees air qotaiin chedaiiin	0.9230769230769231	1.9054150048847283	0.0	0.451388888888889	0	ieiituediisniaiieramtier<?>	eceremiterasedessiinarii<?>	iaiisuedininaeitereosier<?>	itisintrisisidissismosti<?>	eceserimeseseleritacosit<?>	ipisereditinipinateposat<?>
11	f116r	f116	f116r.42	S	qo qokain sheckhy qokain shekain shkain shedy shey qokan cham	1.0	1.8985354418597593	0.0	0.5	0	ocisadisasasaratipac	tueranerariritisiuiu	osinominoneneretipec	reinetinentntiteapsa	orisorisosasaratipae	ssinominonenerereaei
12	f47v	f47	f47v.11	H	oteey cho chdy chy key chyky dchy daiin chy	1.0	1.8950558962464172	0.0	0.3703703703703703	0	eracamatetagererat	itiuiniissiqsesiii	ereseseretexeserer	tisesusisesqtatisi	imararatitahiiitat	eresemetarevimitet
13	f111v	f111	f111v.39	S	dsheey qokal chedy chcthy qokain chedy lkeey shey qokain chedy lchdy	1.0	1.8930737160507283	0.0	0.5227272727272727	0	nrinaradisariiatisaris	ltesitineritesiseritee	nrineredinerinetinerim	miissisainsiatteinsiat	nmimaradisarenatisarei	crineredinerenerinered
14	f114v	f114	f114v.16	S	ytchedy qool chey ol aiin chedar chdaiin chdal qokaiin choky chol dam	1.0	1.8849785306672837	0.0	0.451388888888889	0	asitatiituaeaiaviiabatec	steiisesemilimiveripiisu	amitetitsueleieoineletec	ttieseisinsosnspisspseta	uiitatereralamavisabatie	umiterinereledelitevetii
