rank	page	physical_folio	locus	section	eva_clean	parsed_token_fraction	median_lr_order_gain_bits_per_char	all_six_consensus_fraction	majority_consensus_fraction	all_restarts_identical	decoded_s11_r0	decoded_s11_r1	decoded_s29_r0	decoded_s29_r1	decoded_s47_r0	decoded_s47_r1
1	f18v	f18	f18v.9	H	okchor qotchy qokchy ytol doky dy	1.0	2.787632153675272	0.0	0.4305555555555555	0	iieriselavam	imeretamacas	edematelicim	atontienodon	erianierrvre	atestialeven
2	f103v	f103	f103v.2	S	daiin shey qokal shedy qokeedy qoteor shey qoty chckhy qotain chalr	0.9090909090909091	2.5251375755605237	0.0	0.4416666666666667	0	aralimaliseralemalem<?>	alesedeseneresesemel<?>	isaranaranemarememes<?>	onestaestaotesoneson<?>	raarnoalnoimariealia<?>	eraltealtaetalenares<?>
3	f18r	f18	f18r.10	H	dar shor qokchol ol ydaiin	1.0	2.4600808413439683	0.0	0.4833333333333333	0	alanitimen	alemotisot	isaledisit	oselamirto	realetinne	elalemteri
4	f85r2	f85	f85r2.19	C	qokshedy qodain chckhy ykeedy chedy	1.0	2.414425013302118	0.0	0.35	0	ididalesal	onetemones	ecapeminer	altoestaes	eanealnoal	estiarraal
5	f81r	f81	f81r.25	B	sar shedy qol otain okair okal chedy dy	1.0	2.4049491518910244	0.0	0.43749999999999994	0	alalimeminimalam	elesesalididesas	isaraseseainerim	osestrenamiaeson	realnniaedioalre	alalteesartealen
6	f30v	f30	f30v.2	H	qotchor chy she kchor chory keor ol chy daiin ctholdy	1.0	2.391269990194279	0.0	0.4833333333333333	0	eiamagaiaparimamaroc	emesepamegarisesalic	edemapadefamisemisai	otenepotepotirenonoc	iraeaperaveminaeraad	etanagetapetteaneroc
7	f47r	f47	f47r.10	H	shy otcho keey tor chey otchy tchol dain dam	1.0	2.383696563674391	0.0	0.4907407407407407	0	ametalanaleratamae	esataromesarotalai	amedalaleremadisie	enecosolesenomonoi	aeitelelariaetrari	anedenalalesamesei
8	f47r	f47	f47r.3	H	dor chol chy chaiin ckhey chol dain okaiin	1.0	2.3583310285866395	0.0	0.46874999999999994	0	analamarolalamis	amemeselisemalid	ilelemesorelisin	olenenenisenonio	rlaraeaaorarraio	elalanarolaleste
9	f81v	f81	f81v.18	B	qokchdy chey ol cheky ol shedy qokedy qokedy chckhy qoky	1.0	2.3262098816696932	0.0	0.4333333333333333	0	italimemimalididalim	onesisalisesemememel	emerisasisaratatemas	alesirerirestataestr	erarinieinalnonoalne	enalteoetealtataarte
10	f47r	f47	f47r.9	H	qoko kor chaiin okal chol daiin okcho kchorsy	0.875	2.3250476772922273	0.0	0.44047619047619035	0	inanarimalarit<?>	omamelidemalit<?>	elalesinelised<?>	aioleniaenonac<?>	erelaaioarraet<?>	etelartealerad<?>
11	f81r	f81	f81r.20	B	qopchedy qol chedy qokeey odaiin rain daly	1.0	2.301445746606824	0.0	0.41666666666666663	0	trimalisinomac	unesesesitolav	ulaseranitosid	ultrestaioinor	tannalnoietarn	untealtotieses
12	f85r2	f85	f85r2.15	C	ypshedy dar chedy or am	1.0	2.2616528554194266	0.0	0.4166666666666667	0	tdalalioic	gnalesisip	nciseriese	llosesiatu	tarealisav	uselaltoio
13	f115r	f115	f115r.39	S	y chey keey qodain cheody qokor	1.0	2.2433409974842755	0.09090909090909091	0.4848484848484848	0	ialalidaein	iesareterom	ieralaperel	iesostoelal	iarelneamel	ialentianel
14	f111r	f111	f111r.4	S	saiin oteedy qokeey daiin okedal chedy qokedy l shedy chchy okeey lor ar am	0.9285714285714286	2.2228608452476326	0.0	0.4358974358974359	0	aresisarivalid<?>alarisonioic	elaresaliaesem<?>eserisomisip	iseranisegerat<?>areminolsese	onestaonabesta<?>eseniailtatu	rainnoraebalno<?>alaaioilasav	arestoeravalta<?>alastoilioio
15	f108r	f108	f108r.36	S	okechy okeol okeedy cheedar okedy qotal chdy chedal chedy	1.0	2.200518416946017	0.0	0.4722222222222222	0	urimiseeiderataval	tririnapimeleneaes	umerinaiiteseneger	unaliaediaonerebes	naenioimioieanabal	usaltaomtaerataval
16	f45v	f45	f45v.2	H	okol chor daiin cthy okchol chom okolor dy okchol s	0.9	2.1812557596112274	0.0	0.4259259259259259	0	ilanaromitapizamit<?>	imemalisiteiibasit<?>	elelisamedepezimed<?>	anelononamepagonam<?>	eralraaeetatevreet<?>	alaleronamapagenam<?>
17	f103r	f103	f103r.27	S	qokechy okeey qokeey lkeeody sheey qokeey lkeol tchey qokeey okeey qokaly	1.0	2.17176109839685	0.0	0.41666666666666663	0	rrisisdealisdlarisisic	trisesprerespmonesisov	lminangralanglalanined	nniatamlestamnortaiaar	naionopmalnopreanoioen	ustotomnantomlantotoes
18	f103r	f103	f103r.20	S	ychain shckhy qokaiin shey qokaiin shedy olor	1.0	2.1692673984984996	0.0	0.48809523809523814	0	hmalisalisalin	vlemedesedesem	zsamanaranarol	hnestoestoesil	haalnoarnoalil	hsartealtealil
19	f111v	f111	f111v.3	S	dain chedy shedal otedy oteey chedy qokeey dain chcthar otar qotain otaim	1.0	2.1654505713218395	0.0	0.486111111111111	0	amalavelelalisamplelemeu	aleseaasaresesalglalelaq	iseragereleranisbseseseq	onesebesesestaonpsesonev	raalabililalnorageieiaiq	esalavelenaltoespleleseb
20	f103r	f103	f103r.39	S	ykeedy qokeey lsheey qotal shedy oteey	1.0	2.1573894880021665	0.0	0.4305555555555555	0	esisbleralel	onessselesar	inantresarel	tatassoneses	nonobriealil	ratocleralen
