position	event_id	surface	exact_card_id	component_recipe	literal_card_meaning_de	semantic_atom_count	latin_like_source_phrase	mixed_workshop_shorthand	fluent_fragment_de	picture_owner_inherited	same_card_meaning
1	E001	dchey	PROC001	CH+E+Y	ENTNEHMEN · KURZ · POSTEN	3	partem cito sume	part. cito / sume	den laufenden Posten kurz entnehmen	YES	YES
2	E002	cthoor	PROC002	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	3	preparationem in opere fac	prep. / in op. / fac	den Ansatz im Arbeitsgang bereiten	YES	YES
3	E003	char	PROC003	AR	QUELLE	1	ex fonte	ex fonte	aus der Quelle	YES	YES
4	E004	chty	PROC004	T+Y	BEARBEITEN · POSTEN	2	rem opera	opera	den Posten bearbeiten	YES	YES
5	E005	os	PROC005	OS	DAZU	1	adde	adde	dazu	YES	YES
6	E006	chair	PROC006	CH+AIR	ENTNEHMEN · WASSER	2	aquam sume	R. aq.	Wasser entnehmen	YES	YES
7	E007	otytchol	PROC007	OT+Y+T+CH+OL	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · WEITER	5	deinde rem opera, sume et continua	deinde / opera / sume / cont.	danach den Posten bearbeiten, entnehmen und weiterführen	YES	YES
8	E008	oky	PROC008	OK+Y	ANSETZEN · POSTEN	2	rem pone	pone	den Posten ansetzen	YES	YES
9	E009	daiin	PROC009	AIIN	SOLLMASS	1	ad mensuram	ad mens.	nach Sollmaß	YES	YES
10	E010	etyd	PROC010	E+T+Y	KURZ · BEARBEITEN · POSTEN	3	cito rem opera	cito / opera	den Posten kurz bearbeiten	YES	YES
