whole	model	meaning	confidence	origin_or_evidence	unresolved_cost
otchol	SHARED	dieses?	C0_UNCONFIRMED	GDT813 fixed deictic candidate retained	No deictic referent decoded; independent repetitions remain
cthar	SHARED	Wurzel?	C0_UNCONFIRMED	GDT813 fixed root candidate retained	No independent complete label or root identity found here
chol	SHARED	trocken?	C0_UNCONFIRMED	GDT813 fixed quality candidate retained	Neither physical dryness nor humoral frame identified
dan	SHARED	sehr wenig?	C0_UNCONFIRMED	GDT812 scalar family A retained	Not a decoded number or identified intensity operator
dain	SHARED	wenig?	C0_UNCONFIRMED	GDT812 scalar family A retained	Comparison and degree rivals remain
daiin	SHARED	viel?	C0_UNCONFIRMED	GDT812 scalar family A retained	Quantity versus intensity unresolved; not odaiin
daiiin	SHARED	sehr viel?	C0_UNCONFIRMED	GDT812 scalar family A retained	No Latin degree III or IV value established
okaiin	N	Pulver?	C0_UNCONFIRMED	GDT813 substance/form candidate retained	No powder observed; astral relation missing
okaiin	G	ist?	C0_UNCONFIRMED	GDT813 copula candidate retained; f88r.22 locally compatible	Solitary inscription requires special syntax or ellipsis
okaiin	Q	warm?	C0_UNCONFIRMED	GDT814 fixed scalable property; genuine historical material and astral use	Cold and nonthermal properties not distinguished; owner and frame unknown
okaiin	R	dessen?	C0_UNCONFIRMED	GDT814 possessive genitive; GDT815 explicit okol and otedy owner candidates	Antecedents and heads unproved; no partitive substitution
okaiin	K	kalt?	C0_UNCONFIRMED	GDT814 countervalue made explicit; historical cold/moist Cancer complexion	No fixed Voynich complexion frame or thermal polarity identified
okaiin	B	bitter?	C0_UNCONFIRMED	1499 GENCIANA root and graded bitterness; Latin9333 separates taste and complexion	Local rival only; no automatic bitter star or medicinal correspondence
