group_serial	page	locus	visible_owner	namespace_id	visible_surface	quantity_ending	component_parse	composed_short_value_de	composition_status	quantity_contribution_de	existing_diagram_reading_de
31	f67r2	f67r2.13	A1_RIGHT_RING_BAND_01	F67_RIGHT_WHEEL_NS	ain	AIN	AIN	Portion oder Teilwert	FULL_40_COMPONENT_PARSE	PORTION_TEILWERT	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: gezaehlter Teil oder Unterabschnitt.
39	f67r2	f67r2.16	A1_LEFT_LOCAL_FIELD_16	F67_LEFT_WHEEL_NS	oekain	AIN	O_WITHDRAW+E_SHORT+K_BINDER+AIN	kurz gebundene Rücknahmeportion	FULL_40_COMPONENT_PARSE	PORTION_TEILWERT	Sternplatz A1_LEFT_LOCAL_FIELD_16: gezaehlter Teil oder Unterabschnitt; lokaler Namensrest oek.
48	f67r2	f67r2.19	A1_LEFT_LOCAL_FIELD_19	F67_LEFT_WHEEL_NS	ain	AIN	AIN	Portion oder Teilwert	FULL_40_COMPONENT_PARSE	PORTION_TEILWERT	Sternplatz A1_LEFT_LOCAL_FIELD_19: gezaehlter Teil oder Unterabschnitt.
53	f67r2	f67r2.21	A1_LEFT_LOCAL_FIELD_21	F67_LEFT_WHEEL_NS	sain	AIN	S_FRAME+AIN	Portion oder Teilwert	FULL_40_COMPONENT_PARSE	PORTION_TEILWERT	Sternplatz A1_LEFT_LOCAL_FIELD_21: gezaehlter Teil oder Unterabschnitt; lokaler Namensrest s.
58	f67r2	f67r2.23	A1_LEFT_LOCAL_FIELD_23	F67_LEFT_WHEEL_NS	salsain	AIN	S_FRAME+AL+S_FRAME+AIN	Zielportion oder Ziel-Teilwert	FULL_40_COMPONENT_PARSE	PORTION_TEILWERT	Sternplatz A1_LEFT_LOCAL_FIELD_23: Zielsektor, Zielstern oder Zielfeld + gezaehlter Teil oder Unterabschnitt; lokaler Namensrest s/s.
81	f67r2	f67r2.33	A1_LEFT_LOCAL_FIELD_33	F67_LEFT_WHEEL_NS	dokan	AN	D_PREVIOUS+OK+AN	zweite oder alternative Portion einsetzen	FULL_40_COMPONENT_PARSE	ZWEITE_ODER_ALTERNATIVE_PORTION	Sternplatz A1_LEFT_LOCAL_FIELD_33: Diagrammposten setzen oder aktivieren; lokaler Namensrest d/an.
85	f67r2	f67r2.34	A1_LEFT_LOCAL_FIELD_34	F67_LEFT_WHEEL_NS	oeoldan	AN	O_WITHDRAW+E_SHORT+OL+D_PREVIOUS+AN	mit der zweiten Einstellung weiter	FULL_40_COMPONENT_PARSE	ZWEITE_ODER_ALTERNATIVE_PORTION	Sternplatz A1_LEFT_LOCAL_FIELD_34: im selben Ring, Band oder Satz fortsetzen + Bedingung oder Tabellenwert anwenden; lokaler Namensrest oe.
118	f67r2	f67r2.47	A1_LEFT_LOCAL_FIELD_47	F67_LEFT_WHEEL_NS	yfain	AIN	Y+LOCAL_F+AIN	Portion des lokalen YF-Postens	LOCAL_CORE_PLUS_AIN	PORTION_TEILWERT	Sternplatz A1_LEFT_LOCAL_FIELD_47: gezaehlter Teil oder Unterabschnitt; lokaler Namensrest yf.
154	f67r2	f67r2.71	A1_RIGHT_PHASE_STATION_08	F67_RIGHT_WHEEL_NS	oran	AN	OR+AN	alternativer Ansatz	FULL_40_COMPONENT_PARSE	ZWEITE_ODER_ALTERNATIVE_PORTION	Radstelle A1_RIGHT_PHASE_STATION_08: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest an.
187	f67r2	f67r2.74	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	F67_PAIRED_LEGEND_QUARANTINE_NS	odain	AIN	O_WITHDRAW+D_PREVIOUS+AIN	Portion vom vorigen Rücknahmeposten	FULL_40_COMPONENT_PARSE	PORTION_TEILWERT	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: gezaehlter Teil oder Unterabschnitt; lokaler Namensrest od.
