group_serial	page	locus	page_role	visible_owner	namespace_id	visible_surface	exact_prose_card_id	portable_prose_value_de	curriculum_layer	concrete_diagram_reading_de	apprentice_action	portable_card_core_de	portable_card_role	revision_266	revision_267
1	f67r2	f67r2.1	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_01	F67_RIGHT_WHEEL_NS	ykshy	NONE	NONE	ASTRO_LOCAL_LABEL_SIGN	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Position oder Bedingung halten; lokaler Namensrest yk/y.	copy the local label from the diagram exemplar	LOCAL_LABEL	ASTRO_NAMESPACE_LABEL	UNCHANGED	UNCHANGED
2	f67r2	f67r2.1	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_01	F67_RIGHT_WHEEL_NS	s	NONE	NONE	ASTRO_LOCAL_LABEL_SIGN	A1_RIGHT_SECTOR_SLOT_01: Nebenwert.	copy the local label from the diagram exemplar	LOCAL_LABEL	ASTRO_NAMESPACE_LABEL	UNCHANGED	UNCHANGED
3	f67r2	f67r2.1	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_01	F67_RIGHT_WHEEL_NS	aram	NONE	NONE	ASTRO_LOCAL_LABEL_SIGN	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest am.	copy the local label from the diagram exemplar	LOCAL_LABEL	ASTRO_NAMESPACE_LABEL	UNCHANGED	UNCHANGED
4	f67r2	f67r2.2	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_02	F67_RIGHT_WHEEL_NS	ykecho	NONE	NONE	ASTRO_LOCAL_LABEL_SIGN	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ykec.	copy the local label from the diagram exemplar	LOCAL_LABEL	ASTRO_NAMESPACE_LABEL	UNCHANGED	UNCHANGED
5	f67r2	f67r2.2	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_02	F67_RIGHT_WHEEL_NS	ols	NONE	NONE	ASTRO_LOCAL_LABEL_SIGN	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest s.	copy the local label from the diagram exemplar	LOCAL_LABEL	ASTRO_NAMESPACE_LABEL	UNCHANGED	UNCHANGED
6	f67r2	f67r2.2	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_02	F67_RIGHT_WHEEL_NS	eesydy	NONE	NONE	ASTRO_LOCAL_LABEL_SIGN	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: lange oder volle Diagrammstufe; lokaler Namensrest sydy.	copy the local label from the diagram exemplar	LOCAL_LABEL	ASTRO_NAMESPACE_LABEL	UNCHANGED	UNCHANGED
7	f67r2	f67r2.3	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_03	F67_RIGHT_WHEEL_NS	ey	NONE	NONE	ASTRO_LOCAL_LABEL_SIGN	A1_RIGHT_SECTOR_SLOT_03: aktueller Auswahlwert.	copy the local label from the diagram exemplar	LOCAL_LABEL	ASTRO_NAMESPACE_LABEL	UNCHANGED	UNCHANGED
8	f67r2	f67r2.3	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_03	F67_RIGHT_WHEEL_NS	shs	NONE	NONE	ASTRO_LOCAL_LABEL_SIGN	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Position oder Bedingung halten; lokaler Namensrest s.	copy the local label from the diagram exemplar	LOCAL_LABEL	ASTRO_NAMESPACE_LABEL	UNCHANGED	UNCHANGED
9	f67r2	f67r2.3	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_03	F67_RIGHT_WHEEL_NS	okar	NONE	NONE	ASTRO_LOCAL_LABEL_SIGN	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.	copy the local label from the diagram exemplar	LOCAL_LABEL	ASTRO_NAMESPACE_LABEL	UNCHANGED	UNCHANGED
10	f67r2	f67r2.4	ZWEI_GETRENNTE_HIMMELSRAEDER_MIT_LOKALEN_RING_UND_FELDPLAETZEN	A1_RIGHT_SECTOR_SLOT_04	F67_RIGHT_WHEEL_NS	shekchy	NONE	NONE	ASTRO_LOCAL_LABEL_SIGN	Sektorplatz A1_RIGHT_SECTOR_SLOT_04: Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest e/y.	copy the local label from the diagram exemplar	LOCAL_LABEL	ASTRO_NAMESPACE_LABEL	UNCHANGED	UNCHANGED
