event_id	record_id	locus	surface	component_recipe	visual_role	local_nomenclator_default_de	address_reading_de
P912-E2362	F88-A	f88r.1	otorchety	OT+OR+CH+E+T+Y	PREPARATION_HEADING	OBERES GEFÄSS UND ZUBEREITUNG A	nächster Bildplatz; Eintragsklasse; Klasse oder Figur kennzeichnen; erster Grad; Platz oder Wert einstellen; dieser Bildplatz
P912-E2363	F88-A	f88r.2	osal	O+S+AL	INGREDIENT	SCHMALES WURZELBÜNDEL A1	Reihe aufrufen; Bildklasse auswählen; Zielplatz
P912-E2364	F88-A	f88r.3	orald	OR+AL+D_ADDR	INGREDIENT	DUNKLE SPINDELWURZEL A2	Eintragsklasse; Zielplatz; Unterplatz
P912-E2365	F88-A	f88r.4	oldar	OL+DA+R	INGREDIENT	GEBUNDENES HELLWURZELBÜNDEL A3	dieselbe Reihe fortführen; zweite Bildstufe; Zustandsmarke
P912-E2366	F88-A	f88r.5	otoky	OT+OK+Y	INGREDIENT	DICKE VERZWEIGTE WURZEL A4	nächster Bildplatz; Bildplatz aktivieren; dieser Bildplatz
P912-E2367	F88-A	f88r.6	otaly	OT+AL+Y	INGREDIENT	HELLE SCHLINGWURZEL A5	nächster Bildplatz; Zielplatz; dieser Bildplatz
P912-E2415	F88-B	f88r.12	otaldy	OT+AL+DY	PREPARATION_HEADING	MITTLERES GEFÄSS UND ZUBEREITUNG B	nächster Bildplatz; Zielplatz; Bildeintrag schließen
P912-E2416	F88-B	f88r.13	oram	OR+A_ADDR+AM_ADDR	INGREDIENT	ORANGE VERZWEIGTE WURZEL B1	Eintragsklasse; lokale Bildadresse; Innenplatz
P912-E2417	F88-B	f88r.14	dary	DA+R+Y	INGREDIENT	DUNKLE HÄNGEWURZEL B2	zweite Bildstufe; Zustandsmarke; dieser Bildplatz
P912-E2418	F88-B	f88r.15	okol	OK+OL	INGREDIENT	GEFASSTE FASERWURZEL B3	Bildplatz aktivieren; dieselbe Reihe fortführen
P912-E2419	F88-B	f88r.16	sorory	S+OR+OR+Y	INGREDIENT	GRÜNES BLATT- ODER FRONDBÜNDEL B4	Bildklasse auswählen; Eintragsklasse; Eintragsklasse; dieser Bildplatz
P912-E2420	F88-B	f88r.17	otyda	OT+Y+DA	INGREDIENT	GEFLECKTE KNOLLE MIT BLATTZWEIG B5	nächster Bildplatz; dieser Bildplatz; zweite Bildstufe
P912-E2460	F88-C	f88r.23	ofyskydal	O+LOCAL_CHAR_F+Y+S+K+Y+DA+L	PREPARATION_HEADING	UNTERES GEFÄSS UND ZUBEREITUNG C	Reihe aufrufen; Nebenreihe oder Seitenzweig; dieser Bildplatz; Bildklasse auswählen; Wert zuordnen; dieser Bildplatz; zweite Bildstufe; Bildverbindung
P912-E2461	F88-C	f88r.24	otor	OT+OR	INGREDIENT	LANGBLÄTTRIGE WURZEL C1	nächster Bildplatz; Eintragsklasse
P912-E2462	F88-C	f88r.24	am	AM_ADDR	INGREDIENT	ZWEITER INNERER POSTEN C2	Innenplatz
P912-E2463	F88-C	f88r.25	ofaldo	O+LOCAL_CHAR_F+AL+D_ADDR+O	INGREDIENT	RANKENDE WURZEL MIT RUNDBLÄTTERN C3	Reihe aufrufen; Nebenreihe oder Seitenzweig; Zielplatz; Unterplatz; Reihe aufrufen
