classification	surface_types	visible_groups	prose_groups	astro_groups	examples
PRODUCTIVE_BREVIGRAPH	86	167	136	31	aiin|al|chair|char|chary|chealror|cheeety|cheol
PRODUCTIVE_CORE_PLUS_EDGE	98	167	160	7	chckhal|chckhy|chdal|chdy|checthy|chedain|chedchy|chedy
LOCAL_NOMENCLATOR_WITH_CORE_HINT	123	143	0	143	airchy|aldy|alys|aram|chda|chear|chekody|cheody
RENDERER_ALLOGRAPH_OF_PRODUCTIVE	19	93	51	42	chaiin|chal|cheal|chol|chy|daiin|dal|dar
LOCAL_ASTRO_NOMENCLATOR	74	84	0	84	a|am|amy|ay|ch|chees|cheeteey|cheteeser
NOMENCLATOR_WHOLE_SIGN	14	29	20	9	cheey|ches|cho|dain|dchol|dl|lsho|ody
LOCAL_NOMENCLATOR_WITH_COMPONENT_HINT	28	28	0	28	cheokorchey|chkchdar|chkchykoly|choaiin|choctheeey|chokal|dchdar|dolchedy
PRODUCTIVE_ASTRO_COMPOSITION	13	20	0	20	alaiin|aldaiin|chedaiin|okar|okodar|okol|olar|otoar
PRODUCTIVE_CORE_SIGN	5	17	0	17	ain|air|ar|cheo|ot
BOUND_MODIFIER_COMPOSITION	12	12	0	12	okardy|okeal|okear|okeeodal|okeodal|okoaly|okodaly|okoldy
LEXICAL_BODY_PLUS_PRODUCTIVE_EDGE	6	7	7	0	chety|chty|lcheey|lshedy|rshedy|tshol
PRODUCTIVE_FRAME_PLUS_NOMENCLATOR_BODY	7	7	7	0	cfhy|cphy|dchey|qokylddy|skar|sotodan|talam
UNPROMOTED_MULTI_CORE_HINT	2	2	0	2	olol|saldal
