visible_surface	register_status	learning_mode	visible_groups	short_spoken_value_de	component_hint
cheey	PROSE_AND_ASTRO	NOMENCLATOR_WHOLE_SIGN	4	klarer Auszug	CHEEY
cho	PROSE_AND_ASTRO	NOMENCLATOR_WHOLE_SIGN	4	Zutat	HO
okeod	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	4	Diagrammposten setzen oder aktivieren	OK
s	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	4	Nebenwert	NONE
am	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	3	Aspektwert	NONE
dain	PROSE_AND_ASTRO	NOMENCLATOR_WHOLE_SIGN	3	Tuch	DAIN
dair	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	3	Himmels-, Ring- oder Zeigerlauf	AIR
ockhy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	3	durch Sektor, Ring oder Pruefweg fuehren	CKH
os	PROSE_AND_ASTRO	NOMENCLATOR_WHOLE_SIGN	3	Mischgefäß	OS
shey	PROSE_AND_ASTRO	NOMENCLATOR_WHOLE_SIGN	3	klarer Auszug	CHEEY
ykar	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	3	Ausgangssektor, Ursprung oder Bezugswert	AR
ay	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	2	aktueller Hauptwert	NONE
cheor	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	2	Bedingungs-, Tabellen- oder Wahlansatz	CHEO
chocfhy	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	2	Himmelsobjekt oder Eingangsbedingung	HO
chos	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	2	Himmelsobjekt oder Eingangsbedingung	HO
dchor	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	2	Bedingungs-, Tabellen- oder Wahlansatz	HO
dl	PROSE_ONLY	NOMENCLATOR_WHOLE_SIGN	2	Zusatz	LOCAL_WHOLE
lshedy	PROSE_ONLY	LEXICAL_BODY_PLUS_PRODUCTIVE_EDGE	2	waschen; Schluss	WASH+CLOSE
o	ASTRO_ONLY	LOCAL_ASTRO_NOMENCLATOR	2	Grundwert	NONE
ody	PROSE_AND_ASTRO	NOMENCLATOR_WHOLE_SIGN	2	kühlen	ODY
ofar	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	2	Ausgangssektor, Ursprung oder Bezugswert	AR
okeeody	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	2	Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe	OK
okeo	ASTRO_ONLY	LOCAL_NOMENCLATOR_WITH_CORE_HINT	2	Diagrammposten setzen oder aktivieren	OK
