unit_id	section	page	visible_groups	common_portable	local_with_common_axis	prose_extension	local_prose_whole_or_core	astro_homograph	astro_local_exemplar	layer_profile
H1	HERBAL	f10r	14	4	5	3	2	0	0	COMMON_PORTABLE_CARD:4|LOCAL_CARD_WITH_COMMON_AXIS:5|LOCAL_WHOLE_CARD:2|PROSE_COMPONENT_CARD:3
H2	HERBAL	f10r	24	15	7	1	1	0	0	COMMON_PORTABLE_CARD:15|LOCAL_CARD_WITH_COMMON_AXIS:7|LOCAL_WHOLE_CARD:1|PROSE_COMPONENT_CARD:1
H3	HERBAL	f11r	17	5	7	1	4	0	0	COMMON_PORTABLE_CARD:5|LOCAL_CARD_WITH_COMMON_AXIS:7|LOCAL_WHOLE_CARD:4|PROSE_COMPONENT_CARD:1
H4	HERBAL	f55v	18	8	9	0	1	0	0	COMMON_PORTABLE_CARD:8|LOCAL_CARD_WITH_COMMON_AXIS:9|LOCAL_WHOLE_CARD:1
H5	HERBAL	f56r	27	6	14	4	3	0	0	COMMON_PORTABLE_CARD:6|LOCAL_CARD_WITH_COMMON_AXIS:14|LOCAL_WHOLE_CARD:3|PROSE_COMPONENT_CARD:4
B1	BIOLOGICAL	f81v	66	22	32	7	5	0	0	COMMON_PORTABLE_CARD:22|LOCAL_CARD_WITH_COMMON_AXIS:32|LOCAL_WHOLE_CARD:5|PROSE_COMPONENT_CARD:7
B2	BIOLOGICAL	f82r	62	12	40	6	4	0	0	COMMON_PORTABLE_CARD:12|LOCAL_CARD_WITH_COMMON_AXIS:40|LOCAL_PRODUCTIVE_CARD_CORE:1|LOCAL_WHOLE_CARD:3|PROSE_COMPONENT_CARD:6
B3	BIOLOGICAL	f83r	86	21	56	9	0	0	0	COMMON_PORTABLE_CARD:21|LOCAL_CARD_WITH_COMMON_AXIS:56|PROSE_COMPONENT_CARD:9
B4	BIOLOGICAL	f83r	47	14	25	5	3	0	0	COMMON_PORTABLE_CARD:14|LOCAL_CARD_WITH_COMMON_AXIS:25|LOCAL_WHOLE_CARD:3|PROSE_COMPONENT_CARD:5
B5	BIOLOGICAL	f83r	11	5	5	1	0	0	0	COMMON_PORTABLE_CARD:5|LOCAL_CARD_WITH_COMMON_AXIS:5|PROSE_COMPONENT_CARD:1
B6	BIOLOGICAL	f83r	9	4	3	0	2	0	0	COMMON_PORTABLE_CARD:4|LOCAL_CARD_WITH_COMMON_AXIS:3|LOCAL_WHOLE_CARD:2
A1	ASTRO	f67r2	190	29	0	0	0	10	151	ASTRO_LOCAL_EXEMPLAR:151|ASTRO_LOCAL_LABEL_WITH_PROSE_HOMOGRAPH:10|COMMON_PORTABLE_SURFACE:29
A2	ASTRO	f68r1	65	4	0	0	0	4	57	ASTRO_LOCAL_EXEMPLAR:57|ASTRO_LOCAL_LABEL_WITH_PROSE_HOMOGRAPH:4|COMMON_PORTABLE_SURFACE:4
A3	ASTRO	f69v	140	33	0	0	0	9	98	ASTRO_LOCAL_EXEMPLAR:98|ASTRO_LOCAL_LABEL_WITH_PROSE_HOMOGRAPH:9|COMMON_PORTABLE_SURFACE:33
