surface_card	V43_default	proposed_factorization	stem_level_default	context_supplies	decision
aiin|chaiin|daiin|saiin|taiin	Ein vorgeschriebenes Maß	WRAPPER + AIIN	vorgeschriebene Quantität	Stoff und Einheit	KEEP_BROADENED
okaiin|qokaiin	beginne den nächsten abgemessenen Posten	OK + AIIN	aktiviere einen quantifizierten Posten	nächster und konkrete Einheit	KEEP_COMPOSITIONAL
okain|qokain	gib einen abgemessenen Anteil in das Gefäß	OK + AIN	führe eine quantifizierte Zugabe/Handhabung aus	zugeben und Gefäß	KEEP_COMPOSITIONAL
chkain|kain	ein abgemessener Anteil	WRAPPER + K? + AIN	quantifizierte Einheit	Stoff	KEEP_QUANTITY_CORE
otaiin|sotaiin	für dieselbe Dauer wie zuvor	WRAPPER + OT + AIIN	kontrastierter/voriger Quantitätswert	Zeitdimension und derselbe Wert	KEEP_COMPOSITIONAL
dain	durch ein Tuch	D + AIN oder unteilbare Karte	keine belastbare AIN-Lesung	Filtermaterial	EXCEPTION_DO_NOT_FORCE
chey|chy|dy|shy|sy|y	Diese aktive Portion	WRAPPER + Y	aktueller Arbeitsgegenstand	Portion	KEEP_BROADENED
choky|oky|qoky	Die aktive Portion verwenden	WRAPPER + OK + Y	aktuellen Arbeitsgegenstand operativ behandeln	verwenden	KEEP_COMPOSITIONAL
cheey|shey	Bis die Flüssigkeit klar abläuft	WRAPPER + EY	bis zum geforderten Prüfzustand	Flüssigkeit; klar; ablaufen	BROADEN_STRONGLY
okeey|qokeey	temperiere die Arbeitsflüssigkeit und halte sie lauwarm	WRAPPER + opaque OKE/EY-like card	Temperatur-/Bereitschaftszustand	Flüssigkeit; lauwarm; halten	DO_NOT_DERIVE_FROM_EY_PAGE_HOST
okey|qokey	warmes Wasser	WRAPPER + opaque OK card	bereitgestelltes warmes Medium	Wasser	DO_NOT_DERIVE_FROM_EY_PAGE_HOST
oteey	das bereitete Öl	OT + opaque EEY card	bereitetes Medium	Öl	DO_NOT_DERIVE_FROM_EY_PAGE_HOST
