rank	candidate_form	candidate_kind	proposed_minimal_value_German	strongest_V43_cards	mechanism_c1420	executable_word_building_rule	main_rival	confidence
1	AIIN / AIN	QUANTITY_SLOT	vorgeschriebene Einheit; Portion; Dauerwert	aiin/chaiin/daiin/saiin/taiin = vorgeschriebenes Maß (20); okaiin = nächster abgemessener Posten (9); okain = abgemessenen Anteil zugeben (7); kain = abgemessener Anteil (3); otaiin = gleiche Dauer wie zuvor (3)	Fachliches Maßsigel, dessen konkrete Dimension aus dem Rezeptslot ergänzt wird; vergleichbar mit kontextabhängigen Gewichts- und Mengenabkürzungen, nicht zwingend mit einem gesprochenen Wort	AIIN(X) := lies eine kontextuell vorgeschriebene Quantität X; OK+AIIN := eröffne/aktiviere den nächsten quantifizierten Posten; OT+AIIN := übernimm den vorigen Vergleichswert	AIN und AIIN könnten zwei verschiedene Quantitätsklassen sein; dain = durch ein Tuch ist wahrscheinlich falsch segmentiert oder eine Ausnahme	0.78
2	Y (freistehender Host)	DEICTIC_WORK_ITEM	dieser gegenwärtige Posten / das aktuell Behandelte	chey/chy/dy/shy/sy/y = diese aktive Portion (18); choky/oky/qoky = aktive Portion verwenden (10)	Extrem häufiges deiktisches Kürzungszeichen für ein aus Bild, Überschrift oder vorausgehendem Arbeitsschritt ergänztes Argument	Y := aktueller Arbeitsgegenstand; OK+Y := führe die lizenzierte Anwendung am aktuellen Gegenstand aus; Wrapper verändern Eintritt/Schreibform, nicht den Referenten	Y am Wortende ist oft DY-/B3-/Rendererbestandteil und darf nicht automatisch dieselbe Bedeutung tragen	0.74
3	DY (Schlussrealisation)	COMMIT_CLOSURE	führe den genannten Schritt einmal vollständig aus und schließe die lokale Zelle	chedy = rühren bis gleichmäßig (11); cheedy/shedy/tedy = bis bereit stehen lassen (12); qokedy = spülen und schließen (8); lchedy = ablaufen lassen und schließen (8); zahlreiche seltene Xdy-Karten	Formularartige Schlussbrevigrafie oder Werkstatt-Kürzung: der Aktionskopf bleibt variabel, der Schluss markiert Vollzug/Abschluss; historisch eher Rezeptformel als Flexionssuffix	ACTION+DY := ACTION bis zum lokal erwarteten Endpunkt ausführen; danach nächstes Feld/Teilproblem; DY liefert niemals die konkrete Aktion	DY könnte graphischer Grenz-/Konstruktionszustand ohne aussprechbare Expansion sein; die Schlusslesung ist teilweise durch die V41-Feldanalyse vorgegeben	0.72
4	OL	BACK_REFERENCE_SOURCE	voriger, bereits bereiteter oder bildlich gegebener Stoff/Ansatz	cheol/chol/ol/qol/sol/tol = mit voriger Zubereitung weiter (19); cholor/olor = aus vorigem Ansatz entnehmen (2); dchol/schol = von diesem abgebildeten Simplex (2)	Deiktische Rezeptkürzung ersetzt wiederholte Stoffnamen; Objekt wird aus Bild oder vorherigem Satz übernommen	OL := nimm den salientesten schon eingeführten Stoff/Ansatz als Quelle; OL+OR := entnimm sein bereitetes Produkt; D/S/CH/Q/T sind Realisierungs- oder Eintrittsvarianten soweit dieselbe Joint-Karte belegt ist	OL könnte bloß ein Fortsetzungs-/Anschlussoperator ohne Stoffidentität sein; otol = Handvoll gehört nicht automatisch hierher	0.69
5	OR	PREPARED_OUTPUT	bereitetes Produkt / gebrauchsfertiges Medium	chor/or/shor/sor = bereitete Arbeitsflüssigkeit (7); orain = fertige Flüssigkeit frisch gebrauchen (1); cholor/olor = aus vorigem Ansatz entnehmen (2)	Nominale Fachkürzung für das Resultat einer vorhergehenden Zubereitung; der Stofftyp wird ausgelassen	OR := Produkt des aktiven Ansatzes; OR+AIN := Produkt im frischen/aktuellen Quantitäts- oder Gebrauchszustand; OL+OR := Produkt des referenzierten Voransatzes	Der konkrete Wert könnte enger Flüssigkeit/Sud oder breiter Ergebnis/Ertrag sein; V43 kann Flüssigkeit überinterpretiert haben	0.65
6	OK	OPERATIVE_ENGAGEMENT	setze/führe den folgenden spezifizierten Arbeitsposten aus	okaiin = nächsten Maßposten beginnen (9); okain = Anteil zugeben (7); okal = beide Anteile mischen (6); okey/okeey = Wärme/Temperierung (9); oky = aktive Portion verwenden (10)	Hochfrequenter Aktions- oder Aktivierungsstamm, dessen Ergänzung Maß, Ziel, Zustand oder Referent festlegt; ähnliche Kompression entsteht in Rezepten durch wiederkehrende Imperative	OK+X := aktiviere/handhabe X gemäß seinem Slot; OK+AIIN = quantifizierten Posten eröffnen; OK+AL = zwei referierte Einheiten zusammenführen; OK+Y = aktuellen Gegenstand anwenden	OK könnte nur eine Konstruktionsklasse sein; die vielen konkreten Aktionen sind nicht auf einen einzigen gesprochenen Verbstamm reduzierbar	0.59
7	L (initial/intern)	DOWNSTREAM_WITHDRAWAL_POINTER	unterer, nachgeordneter oder abzuführender Weg	lchedy = verbrauchte Flüssigkeit unten ablaufen lassen (8); ldy/pchedy/otchdy = abziehen (4); lcheckhy = zweite Öffnung (1); lchedal/olkain = unteres Becken (3); lched = nächstes Becken (1)	Lokales Richtungs-/Apparatussigel; in technischen Notizen können Lage und Operation in einem Kurzzeichen verschmelzen	L+X := X auf den nachgeordneten/unteren/abführenden Pfad beziehen; L+ACTION+DY := Handlung am Abfluss ausführen und Zelle schließen	Die Lesung kann durch die Gefäßbilder der Biological-Seiten erzeugt sein; außerhalb dieser Seiten könnte L lediglich Sequenz/zweite Instanz bedeuten	0.56
8	EY (PAGE_HOST ey, nicht jede sichtbare -ey-Folge)	STATE_CRITERION_GATE	bis der verlangte prüfbare Zustand erreicht ist	cheey/sheey = bis Flüssigkeit klar abläuft (4 lokale Vorkommen; dieselbe formale Karte ist manuscriptweit stark wiederkehrend)	Formelhafte Kürzung einer donec-/bis-Klausel oder eines Prüfpunkts; das konkrete Kriterium wird aus dem laufenden Prozess ergänzt	WRAPPER+EY := den aktuellen Prozess bis zu seinem sichtbaren/fühlbaren Sollzustand fortsetzen; im Sieb-/Abflusskontext lokal: bis klar/frei laufend	Kann ein Gegenstands-/Zustandslabel statt einer Gate-Klausel sein; okey, oteey, sheey(Öffnung) besitzen andere PAGE_HOSTs und sind keine Gegenbelege oder Belege für EY	0.48
9	OT	INDEXED_COUNTERPART_POINTER	der andere, vorige, nächste oder untere Vergleichsposten	otaiin = gleiche Dauer wie zuvor (3); otal = zum unteren Ablauf (3); otar = unteren Ablauf danach benutzen (1); otchey = bezeichneten Anteil nehmen (2)	Ordinal-/Demonstrativkürzung; konkrete Relation wird vom Feldtyp geliefert statt im Sigel ausbuchstabiert	OT+X := wähle den kontextuell kontrastierten/referenzierten X-Slot; bei Zeit = voriger Wert, bei Apparat = unterer/zweiter Weg	Könnte mehrere homographe Kürzungen statt eines Stamms enthalten; Richtung und Rückverweis sind nicht dieselbe Bedeutung	0.43
10	CHY	TRANSFER_OR_APPLICATION_HEAD	bereiteten Stoff auf/in ein Ziel übertragen	chedchy = erwärmtes Wasser eingießen (1); qotchy = aus Blättern warmen Umschlag bereiten (1); chokchy/okchy/qokchy = frisch bereitete Arznei gebrauchen (3; formal anderer Host möglich)	Kurzes Operationssigel mit kontextuell ausgelassenem Objekt und Ziel	CHY(X) := bereiteten X in die aktuelle Anwendung überführen; Temperatur und Körperstelle stammen aus Nachbarkarten/Bild	Nur zwei sichere PAGE_HOST-CHY-Karten; könnte bloß zufällige Oberflächenähnlichkeit oder technische Koordinate sein	0.31
