page_host	host_inventory_occurrences	host_inventory_folios	v43_joint_tuple_cards	v43_fixed_events	distinct_source_classes	source_class_entropy_bits	modal_source_class	modal_class_fraction	surface_examples	v43_meanings	host_semantic_status
y	499	78	3	30	3	1.584963	MIXING_ACTION	0.333333	chdy|chedy || chey|chy|dy|shy|sy|y || choy	rühre, bis alles gleichmäßig vermischt ist || Diese aktive Portion || die auf feuchter schattiger Heide wächst	UNASSIGNED_MULTI_CARD_CONTAINER
l	489	82	5	26	4	1.921928	COMMITTED_TECHNICAL_INSTRUCTION	0.400000	ldy || dl || oldy || lar || cheol|chol|ol|qol|sol|tol	ziehe es ab und beende den Schritt || das bereitete Öl || koche sanft und beende diesen Arbeitsschritt || schließe den unteren Ablauf || Mit der vorigen Zubereitung weiter	UNASSIGNED_MULTI_CARD_CONTAINER
ok	437	58	5	24	5	2.321928	MEASURED_ADDITION	0.200000	okain|qokain || okal|qokal || qokar || okair || okaiin|qokaiin	gib einen abgemessenen Anteil in das Gefäß || mische beide Anteile zusammen || über der örtlich bezeichneten Stelle || öffne danach den oberen Lauf || beginne den nächsten abgemessenen Posten	UNASSIGNED_MULTI_CARD_CONTAINER
aiin	436	84	1	20	1	-0.000000	MEASURE_REFERENCE	1.000000	aiin|chaiin|daiin|saiin|taiin	Ein vorgeschriebenes Maß	ONE_CARD_ONLY_IN_FIXED_PANEL
e	234	42	2	14	2	1.000000	SETTLE_READY_CLOSE	0.500000	cheedy|shedy|tedy || otedy	lasse es bis zur Bereitschaft stehen und beende den Schritt || lasse es bis zur Klarheit ziehen und beende den Schritt	UNASSIGNED_MULTI_CARD_CONTAINER
al	157	52	2	11	2	1.000000	COMMITTED_TECHNICAL_INSTRUCTION	0.500000	daldy || al|chal|cheal|dal|sal|tal	wiederhole es an der zweiten Öffnung und beende den Schritt || An die bezeichnete Zielstelle führen	UNASSIGNED_MULTI_CARD_CONTAINER
okee	126	25	1	10	1	-0.000000	TEMPERED_IMMERSION_CLOSE	1.000000	qokeedy	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt	ONE_CARD_ONLY_IN_FIXED_PANEL
oky	85	52	1	10	1	-0.000000	APPLICATION_ACTION	1.000000	choky|oky|qoky	Die aktive Portion verwenden	ONE_CARD_ONLY_IN_FIXED_PANEL
or	275	78	2	8	2	1.000000	CLAUSE_CLOSURE	0.500000	orain || chor|or|shor|sor	gebrauche die fertige Flüssigkeit frisch || Die bereitete Arbeitsflüssigkeit	UNASSIGNED_MULTI_CARD_CONTAINER
lche	42	18	1	8	1	-0.000000	DRAIN_TO_LOWER_RECEIVER_CLOSE	1.000000	lchedy	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt	ONE_CARD_ONLY_IN_FIXED_PANEL
