rank	priority_tier	candidate_page_host	exact_card_types	events_on_ten_pages	surface_cards_and_tuple_ids	current_V43_defaults	shared_semantic_intersection	formal_coordinates_per_card	proposed_form_rule	counterevidence_or_exception	confidence	status
1	1	aiin	1	20	aiin|chaiin|daiin|saiin|taiin [2f1c5e56e8f0ff459065]	Ein vorgeschriebenes Maß	VORGESCHRIEBENE MASS-/STANDARDANGABE	2f1c5e56e8f0ff459065:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=d	aiin als PAGE_HOST bleibt unter ch/d/s/t-Wrappern identisch; rechtsfamilienlos.	Als sichtbare RIGHT_FAMILY in okaiin/otaiin/cthaiin kann aiin eine andere formale Funktion haben; nicht blind zusammenwerfen.	.82	STRONG_MEASURE_STANDARD_CANDIDATE
2	1	al	2	11	al|chal|cheal|dal|sal|tal [dd0ecaf5e27d81befffc] || daldy [78b3b3140714da19090d]	An die bezeichnete Zielstelle führen || wiederhole es an der zweiten Öffnung und beende den Schritt	ZIEL/WEITERLEITUNG: DORTHIN	dd0ecaf5e27d81befffc:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=d || 78b3b3140714da19090d:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=d	al ohne rechte Familie ist Zielkarte; DY erzeugt eine geschlossene Wiederholungs-/Zweitstellenkarte; Wrapper variieren.	Die Bedeutung 'zweite Oeffnung' in daldy kann teilweise aus DY/Feldschluss stammen.	.76	STRONG_DIRECTIONAL_STEM_CANDIDATE
3	1	ar	1	5	char|dar|sar [4d4559019a961b834aa1]	Daraus, aus demselben Ansatz	QUELLE/HERKUNFT: DARAUS, AUS DEMSELBEN	4d4559019a961b834aa1:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=ch	ar steht hier ohne rechte Familie; ch/d/s sind austauschbare Renderer derselben exakten Karte.	Nur eine Joint-Tuple-Karte; sichtbares -ar tritt andernorts als RIGHT_FAMILY auf und darf nicht automatisch gleichgesetzt werden.	.73	STRONG_SINGLE_CARD_RELATION_CANDIDATE
4	1	ok	5	24	okaiin|qokaiin [b5fcea1eaed06b2f2291] || okain|qokain [1645e612504fcef59ced] || okal|qokal [308e8ea2d5d190c498e8] || qokar [3ae9a121ba0045b913e8] || okair [7d2404c835b10a2c06af]	beginne den nächsten abgemessenen Posten || gib einen abgemessenen Anteil in das Gefäß || mische beide Anteile zusammen || über der örtlich bezeichneten Stelle || öffne danach den oberen Lauf	AKTIVEN POSTEN ZUWEISEN/IN EINE TECHNISCHE RELATION SETZEN	b5fcea1eaed06b2f2291:FRAME=NONE;INNER_D=0;RIGHT=aiin;DY=0;B3=0;WRAPPER_EXAMPLE=q || 1645e612504fcef59ced:FRAME=NONE;INNER_D=0;RIGHT=ain;DY=0;B3=0;WRAPPER_EXAMPLE=q || 308e8ea2d5d190c498e8:FRAME=NONE;INNER_D=0;RIGHT=al;DY=0;B3=0;WRAPPER_EXAMPLE=NONE || 3ae9a121ba0045b913e8:FRAME=NONE;INNER_D=0;RIGHT=ar;DY=0;B3=0;WRAPPER_EXAMPLE=q || 7d2404c835b10a2c06af:FRAME=NONE;INNER_D=0;RIGHT=air;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	ok bleibt Basis; rechte Familie aiin/ain/al/ar/air spezifiziert Mass, Eintrag, Vereinigung oder Zielbezug; q ist Renderer/Eintritt.	Die lokalen Ziel- und Lauflesungen sind stark kontextabhaengig; kein einheitliches deutsches Verb deckt alle Karten.	.72	STRONG_PRODUCTIVE_FORM_FAMILY
5	1	or	2	8	chor|or|shor|sor [7a4bb8136330ee4e6e56] || orain [6afeb5c9ab9f6cbdea0d]	Die bereitete Arbeitsflüssigkeit || gebrauche die fertige Flüssigkeit frisch	BEREITETE/VERFUEGBARE ARBEITSMATERIE	7a4bb8136330ee4e6e56:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=ch || 6afeb5c9ab9f6cbdea0d:FRAME=NONE;INNER_D=0;RIGHT=ain;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	or ohne rechte Familie bezeichnet den bereiteten Arbeitsstoff; +ain macht daraus eine gebrauchsfertige Verwendungskarte; ch/s sind Wrapper.	Auf zehn Seiten fast nur Fluessigkeitskontexte; koennte breiter 'bereiteter Posten' sein.	.71	STRONG_SEMANTIC_CORE_CANDIDATE
6	2	ey	1	4	cheey|shey [b5df9126607030b95175]	Bis die Flüssigkeit klar abläuft	ERREICHTER/GEFORDERTER ENDZUSTAND	b5df9126607030b95175:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=sh	Wrapper wechselt (shey/cheey), PAGE_HOST und Joint-Tuple bleiben gleich; die konkrete Klarheitslesung kommt aus dem Nasskontext.	Nur eine exakte Karte; 'Fluessigkeit' und 'Ablaufen' sind nicht im Kern belegt.	.66	STRONGEST_SINGLE_CARD_STEM_CANDIDATE
7	2	y	3	30	chey|chy|dy|shy|sy|y [b921a237be883a820352] || chdy|chedy [6f7ff8287eddf4da9fdb] || choy [c10aec6d4dd877ec8bd8]	Diese aktive Portion || rühre, bis alles gleichmäßig vermischt ist || die auf feuchter schattiger Heide wächst	AKTUELLER/DEIKTISCHER ARBEITSPOSTEN	b921a237be883a820352:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=d || 6f7ff8287eddf4da9fdb:FRAME=NONE;INNER_D=1;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=che || c10aec6d4dd877ec8bd8:FRAME=O;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=ch	y ohne frame/inner-D ist die hochrecurrente aktuelle-Portion-Karte; inner-D/O-frame erzeugen andere Konstruktionskarten.	Mischhandlung und Standortbeschreibung zeigen, dass PAGE_HOST allein nicht die gesamte Bedeutung traegt.	.63	STRONG_CORE_WITH_COORDINATE_DEPENDENCE
8	2	e	2	14	cheedy|shedy|tedy [bc4f1f5c006c74a4d26d] || otedy [c45ebac60774620561e2]	lasse es bis zur Bereitschaft stehen und beende den Schritt || lasse es bis zur Klarheit ziehen und beende den Schritt	WARTEN BIS ZUSTAND/REIFE	bc4f1f5c006c74a4d26d:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=sh || c45ebac60774620561e2:FRAME=OT;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=NONE	e tritt in DY-geschlossenen Zustandskarten auf; OT-frame verschiebt Bereitschaft zu Klarheit.	Gemeinsamer Gehalt kann aus DY plus Recordkontext statt e stammen.	.61	MEDIUM_STATE_GATE_NUCLEUS
9	2	chey	2	3	otchey [faf321940aed922846a9] || dchey [65f320e75510b2f38182]	Nimm den bezeichneten Anteil || Nimm die faserige untere Wurzel	BEZEICHNETEN STOFFTEIL AUSWAEHLEN/NEHMEN	faf321940aed922846a9:FRAME=OT;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE || 65f320e75510b2f38182:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=d	chey ist PAGE_HOST; d-Wrapper und OT-frame spezialisieren Wurzel gegen bezeichneten Anteil.	Pflanzenteil ist lokal; der abstrakte Kern duerfte nur Auswahl/Entnahme tragen.	.60	MEDIUM_SELECTION_STEM_CANDIDATE
10	2	l	5	26	cheol|chol|ol|qol|sol|tol [dcda95c81a5460feb191] || ldy [04a3877f0fc81b7597c9] || dl [0f18de177ed7c878bf95] || oldy [1b1ffdd869fb1429ad03] || lar [29e0eb222ef2fb99523a]	Mit der vorigen Zubereitung weiter || ziehe es ab und beende den Schritt || das bereitete Öl || koche sanft und beende diesen Arbeitsschritt || schließe den unteren Ablauf	FORTSETZUNG/KANAL AUS DEM VORIGEN ARBEITSSCHRITT	dcda95c81a5460feb191:FRAME=O;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=ch || 04a3877f0fc81b7597c9:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=NONE || 0f18de177ed7c878bf95:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=d || 1b1ffdd869fb1429ad03:FRAME=O;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=NONE || 29e0eb222ef2fb99523a:FRAME=NONE;INNER_D=0;RIGHT=ar;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	l mit O-frame ergibt die offene Fortsetzungskarte; DY schliesst lokale Varianten; ar kann einen Laufabschluss spezifizieren.	dl='Oel' und oldy='sanft kochen' sind semantische Ausreisser der erzwungenen V43-Lokallesung.	.52	MEDIUM_CONTINUATION_STEM_CANDIDATE
