rank	candidate	local_events	local_exact_tuples	global_host_occurrences	operational_rule	meaning_intersection	decision	strongest_counterexample	working_value
1	aiin	20	1	182	Keep PAGE_HOST aiin fixed; allow NONE/ch/d/s/t entry renderers; no right-family completion in the observed card.	prescribed or standardized measure	NATURAL_STEM	One fewer i gives PAGE_HOST ain = through a cloth, so aiin/ain cannot be treated as automatic inflection.	MEASURE_STANDARD
2	or	8	2	504	Bare host or with entry renderer NONE/ch/s/sh denotes the base card; right-family ain creates a related completed-use card.	prepared usable medium, locally expanded as working liquid	NATURAL_STEM	Only one locally observed derived cell or+ain carries the related meaning; broad manuscript use could exceed liquids.	PREPARED_MEDIUM
3	ey	4	1	195	Keep host ey fixed and select che/sh entry renderer from placement; treat the complete cell as an endpoint card.	required visible or operational endpoint	CODE_AXIS	Surface chey belongs to PAGE_HOST y and means current portion, while cheey belongs to ey; raw suffix ey is therefore not a reliable stem.	ACCEPTANCE_GATE_CARD
4	ok	24	5	839	Use ok as a left carrier and select a licensed right-family cell: aiin=start measured item; ain=add measured share; al=combine shares; ar/air=spatial or conduit instruction.	activate, allocate, or route a bounded work item	CODE_AXIS	ok+ar means above the marked place and ok+air opens an upper conduit; neither preserves a narrow measure meaning.	OPERAND_OR_ROUTE_CARRIER
5	y	30	3	55	Base cell y under NONE/ch/che/d/s/sh renderer = current active item; inner-D and O-frame cells are separate learned cards.	very weak current-item/state carrier	CODE_AXIS	inner-D chedy = stir to uniformity; O-frame choy = wet shaded habitat. Host identity alone does not preserve the V43 meaning.	CURRENT_STATE_CARRIER
6	ot	7	3	431	Treat ot as a relational carrier whose licensed right family selects aiin=prior duration, al=lower outlet direction, ar=subsequent lower-outlet action.	prior/subsequent or directed relation	CODE_AXIS	Duration and lower conduit are not one lexical referent; only abstract relational orientation survives.	RELATION_DIRECTION_CARRIER
7	l	26	5	NOT_IN_GDT162_2_3_GLYPH_CENSUS	O-frame l with variable entry renderer = prior-preparation card; bare, right-family, and DY cells must be separately memorized.	no stable host-wide content; possible continuation/drain state carrier	CODE_AXIS	Bare d+l = prepared oil, l+DY = drain and close, O+l+DY = cook and close, l+ar = close lower outlet.	LOW_CONTENT_STATE_CARRIER
8	che	6	2	84	DY closure is constant; NONE versus OT local frame separates apparatus wash-through from equal-parts mixing.	bounded operation ending the local step	CODE_AXIS	The common closure is already encoded by DY; the remaining wash/mix content does not establish a unique che meaning.	CLOSED_OPERATION_CARRIER
9	chy	2	2	100	Keep the two coordinate cells separate: q+OT+chy and inner-D che+chy.	warm application or liquid placement, weak	UNRESOLVED	One cell is a leaf compress and the other pours heated water; two singleton cells cannot establish shared stem content.	APPLICATION_FAMILY_LEAD
10	ain	2	1	182	Standalone PAGE_HOST ain with d renderer is one cloth-mediated card; do not transfer this value to right-family ain.	passage through cloth, locally	UNRESOLVED	Right-family ain in okain and orain participates in measured addition and fresh use, not cloth.	CLOTH_PATH_CARD
11	cth	1	1	33	Observed only as cth+right-family aiin; retain the complete cell.	addition of expressed material, locally	UNRESOLVED	No second coordinate cell in the ten-page prose supports a cth-wide intersection.	EXPRESSED_ADDITION_CARD
12	ol	1	1	71	Observed host ol only inside the OT-frame surface otol; retain it as one learned card.	handful measure, locally	UNRESOLVED	The visible form overlaps O-frame+l and ot carrier forms but neither comparison preserves the meaning.	HANDFUL_CARD
13	os	1	1	47	Retain exact bare os card.	coarse crushing or powdering, locally	UNRESOLVED	One occurrence and no coordinate contrast.	CRUSH_COARSE_CARD
14	op	0	0	24	No V43 prose assignment.	none	UNRESOLVED	Absent from the ten-page prose dictionary despite 24 occurrences in the global two-/three-glyph host census.	UNASSIGNED
