case_id	case_event_index	event_id	page	record	statement_id	surface	semantic_component_parse	standard_command_de	selector_state_before	selector_signal_if_deciding	selector_state_after	own_branch_marker_hits	foreign_branch_marker_hits	branch_switch
C1	1	E001	f10r	H1	H1-S001	dchey	CH+E+Y	ABNEHMEN · KURZ · ARBEITSPOSTEN	UNRESOLVED	NONE	UNRESOLVED	NONE	NONE	NO
C1	2	E002	f10r	H1	H1-S001	cthoor	CTH+O+OR	BEREIT · ARBEITSGANG · ANSATZ	UNRESOLVED	NONE	UNRESOLVED	NONE	NONE	NO
C1	3	E003	f10r	H1	H1-S001	char	AR	VORRAT	UNRESOLVED	NONE	UNRESOLVED	NONE	NONE	NO
C1	4	E004	f10r	H1	H1-S001	chty	T+Y	EINTRAGEN · ARBEITSPOSTEN	UNRESOLVED	NONE	UNRESOLVED	NONE	NONE	NO
C1	5	E005	f10r	H1	H1-S001	os	OS	ARBEITSFACH	UNRESOLVED	OS=ARBEITSFACH	C1	OS	NONE	NO
C1	6	E006	f10r	H1	H1-S001	chair	CH+AIR	ABNEHMEN · FLUESSIGKEITSLAUF	C1	NONE	C1	NONE	NONE	NO
C1	7	E007	f10r	H1	H1-S001	otytchol	OT+Y+T+CH+OL	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN	C1	NONE	C1	NONE	NONE	NO
C1	8	E008	f10r	H1	H1-S001	oky	OK+Y	ANSETZEN · ARBEITSPOSTEN	C1	NONE	C1	NONE	NONE	NO
C1	9	E009	f10r	H1	H1-S001	daiin	AIIN	SOLLMASS	C1	NONE	C1	NONE	NONE	NO
C1	10	E010	f10r	H1	H1-S001	etyd	E+T+Y	KURZ · EINTRAGEN · ARBEITSPOSTEN	C1	NONE	C1	NONE	NONE	NO
C1	11	E011	f10r	H1	H1-S002	qokchy	OK+Y	ANSETZEN · ARBEITSPOSTEN	C1	NONE	C1	NONE	NONE	NO
C1	12	E012	f10r	H1	H1-S002	qotchol	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	C1	NONE	C1	NONE	NONE	NO
C1	13	E013	f10r	H1	H1-S002	chol	OL	FORTSETZEN	C1	NONE	C1	NONE	NONE	NO
C1	14	E014	f10r	H1	H1-S002	cthy	CTH+Y	BEREIT · ARBEITSPOSTEN	C1	NONE	C1	NONE	NONE	NO
C1	15	E101	f81v	B1	B1-S001	qokedy	OK+E+DY	ANSETZEN · KURZ; SCHLUSS	C1	NONE	C1	NONE	NONE	NO
C1	16	E102	f81v	B1	B1-S002	okaiin	OK+AIIN	ANSETZEN · SOLLMASS	C1	NONE	C1	NONE	NONE	NO
C1	17	E103	f81v	B1	B1-S002	kair	K+AIR	ZUDOSIEREN · FLUESSIGKEITSLAUF	C1	NONE	C1	NONE	NONE	NO
C1	18	E104	f81v	B1	B1-S002	okal	OK+AL	ANSETZEN · ZIELSTELLE	C1	NONE	C1	NONE	NONE	NO
C1	19	E105	f81v	B1	B1-S002	sar	AR	VORRAT	C1	NONE	C1	NONE	NONE	NO
