body	starts_o	h3_forms	h4_forms	h3_edges	h4_edges	h3_right_types	h4_right_types	h3_cosine_to_target	h4_cosine_to_target	strict_shared_cells	body_equalization_weight	semantic_identity_credit	component_export_credit
aiin	0	raiin	laiin	33	3	33	3	0.147767106	0.309529293	2	0.055555556	0	0
ain	0	rain	lain	8	4	7	4	0.056512059	0.156368468	1	0.055555556	0	0
air	0	rair	lair	2	1	2	1	0.157956006	0.000000000	0	0.055555556	0	0
al	0	ral	lal	8	1	7	1	0.141280147	0.000000000	1	0.055555556	0	0
ar	0	rar	lar	9	1	8	1	0.228999069	0.044676705	0	0.055555556	0	0
chedy	0	rchedy	lchedy	4	51	4	41	0.022338353	0.234203621	3	0.055555556	0	0
cheey	0	rcheey	lcheey	2	7	2	7	0.000000000	0.016886207	0	0.055555556	0	0
chey	0	rchey	lchey	3	25	3	23	0.000000000	0.124443838	2	0.055555556	0	0
chy	0	rchy	lchy	1	2	1	2	0.134030115	0.000000000	0	0.055555556	0	0
keey	0	rkeey	lkeey	1	25	1	24	0.044676705	0.171960718	1	0.055555556	0	0
ky	0	rky	lky	1	9	1	9	0.223383526	0.059568940	1	0.055555556	0	0
o	1	ro	lo	2	4	2	4	0.031591201	0.000000000	0	0.055555556	0	0
ody	1	rody	lody	2	2	2	2	0.031591201	0.000000000	0	0.055555556	0	0
ol	1	rol	lol	6	6	6	6	0.182391885	0.164152697	1	0.055555556	0	0
or	1	ror	lor	4	21	4	17	0.223383526	0.430449265	1	0.055555556	0	0
shedy	0	rshedy	lshedy	1	17	1	16	0.000000000	0.092245852	0	0.055555556	0	0
sheedy	0	rsheedy	lsheedy	1	3	1	3	0.000000000	0.000000000	0	0.055555556	0	0
shey	0	rshey	lshey	1	5	1	5	0.044676705	0.000000000	0	0.055555556	0	0
