surface	target_occurrences	target_pages	target_physical_folios	target_registers	h3_right_count	h4_right_count	h3_right_share	h4_right_share	h4_minus_h3_share	h3_raw_rank	h4_raw_rank	h3_surface_equalized_mass	h4_surface_equalized_mass	h3_standardized_mass	h4_standardized_mass	contact_profile	h3_active_predecessor_forms_with_same_body	h4_active_predecessor_forms_with_same_body	semantic_family	candidate_whole_de	field_renderer_de	candidate_confidence	positive_evidence	counterevidence	candidate_source	expected_source_default_de	gdt734_expected_card_default_de	gdt734_same_surface_card_count	gdt734_same_surface_defaults	expected_source_default_matches_gdt734	existing_gdt775_selected	consume_right_token	scope_status	historical_field_type	default_is_translation	confirmed_lexeme	confirmed_plaintext	component_export_credit
aiin	8	8	7	B|B|2|S|B|3|T|B|2	3	10	0.029411765	0.028571429	-0.000840336	2	1	0.017025090	0.026592534	1.857142857	2.473191297	H3_ENRICHED	raiin	laiin	VALUE_AMOUNT	Mengenwert III	Menge: Stufe III	C2	GDT734 exact whole plus GDT736/GDT737 value ladder and eight medial targets	amount versus dose versus ordinal class remains open	GDT734+GDT736	Menge III	Menge III	1	Menge III	1	1	1	EXACT_MEDIAL_OL_SPAN	AMOUNT_OR_DEGREE	0	0	0	0
chedy	7	7	6	B|B|2|H|B|2|S|B|3	0	7	0.000000000	0.020000000	0.020000000	0	4	0	0.007530797	0	0.667122788	H4_ENRICHED	rchedy	lchedy	DRY_RESULT	getrocknetes Ergebnis, Form I	Zustand: getrocknetes Ergebnis, Form I	C2	GDT734 exact whole plus GDT736 dry-result body and seven medial targets	state versus completed process remains open	GDT734+GDT736	mittlere Trockenstufe erreicht	mittlere Trockenstufe erreicht	1	mittlere Trockenstufe erreicht	1	1	1	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_FORM	0	0	0	0
ol	7	5	4	B|B|2|H|A|1|P|A|1	1	3	0.009803922	0.008571429	-0.001232493	17	18	0.032258065	0.001907660	3.666666667	3.053571429	H3_ENRICHED	rol	lol	NESTED_FIELD	weiteres Ansatzfeld	Unterfeld: weiterer Ansatz	C1	GDT736 whole-body role plus seven medial ol-ol chains	adjacent identical form creates overlap and identifies no substance; material or preparation carrier remains a rival	GDT734+GDT736	Ansatz	Ansatz	2	Ansatz || Stoffkopf	1	0	0	EXACT_MEDIAL_OL_CHAIN	NESTED_RECORD_FIELD	0	0	0	0
sheey	6	6	5	B|B|2|H|A|1	3	1	0.029411765	0.002857143	-0.026554622	2	61	0.036819811	0.000700280	2.082142857	0.172413793	H3_ENRICHED	NONE	lsheey	MOIST_STATE	feuchte Form II	Zustand: feuchte Form II	C2	GDT734 exact whole plus GDT737 moist-state body and six medial targets	moist versus soaked remains unresolved	GDT734+GDT737	feucht, Endstufe	feucht, Endstufe	1	feucht, Endstufe	1	1	1	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_FORM	0	0	0	0
cheey	5	4	3	B|B|2|S|B|3	2	3	0.019607843	0.008571429	-0.011036415	4	18	0.008064516	0.015962567	3.916666667	1.730158730	H3_ENRICHED	rcheey	lcheey	DRY_STATE	trockene Form II	Zustand: trockene Form II	C2	GDT734 exact whole plus GDT736 dry-form body and five medial targets	grade index versus form index remains open	GDT734+GDT736	trocken am Ende des Grades	trocken am Ende des Grades	1	trocken am Ende des Grades	1	1	1	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_FORM	0	0	0	0
chey	5	4	4	B|B|2|P|A|1|S|B|3	2	10	0.019607843	0.028571429	0.008963585	4	1	0.033235582	0.035297329	1.100000000	2.635054788	H4_ENRICHED	rchey	lchey	DRY_STATE	trockene Form I	Zustand: trockene Form I	C2	GDT734 exact whole plus GDT736 dry-form body and five medial targets	grade index versus form index remains open	GDT734+GDT736	trocken in der Mitte des Grades	trocken in der Mitte des Grades	1	trocken in der Mitte des Grades	1	1	1	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_FORM	0	0	0	0
kaiin	5	5	5	B|B|2|S|B|3|T|B|2	0	1	0.000000000	0.002857143	0.002857143	0	61	0	0.002450980	0	0.172413793	H4_ENRICHED	NONE	lkaiin	HEAT_VALUE	heiße Form, Stufe III	Wärmezustand: heiß, Stufe III	C2	GDT734 exact whole plus GDT737 heat-value body and five medial targets	state versus process and dimension remain open	GDT734+GDT737	heiß, Grad III	heiß, Grad III	1	heiß, Grad III	1	1	1	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_DEGREE	0	0	0	0
shedy	5	4	4	B|B|2|S|B|3	1	4	0.009803922	0.011428571	0.001624650	17	13	0.016129032	0.016599822	0.250000000	0.434318555	H4_ENRICHED	rshedy	lshedy	MOIST_RESULT	feuchtes Ergebnis, Form I	Zustand: feuchtes Ergebnis, Form I	C2	GDT734 exact whole plus GDT736/GDT737 moist-result family and five medial targets	moist versus soaked and state versus process remain open	GDT734+GDT736	mittlere Feuchtstufe erreicht	mittlere Feuchtstufe erreicht	1	mittlere Feuchtstufe erreicht	1	1	1	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_FORM	0	0	0	0
daiin	4	4	4	H|A|1|P|A|1|S|B|3|T|B|5	0	4	0.000000000	0.011428571	0.011428571	0	13	0	0.037352941	0	2.402661064	H4_ENRICHED	NONE	NONE	VALUE_AMOUNT	Wertslot III	Wert: Stufe III	C1	GDT734 exact whole plus GDT737 dose/value ladder and four medial targets	new context exceeds the old named-field scope; dose versus value open	GDT734+GDT737	Wert III	Wert III	1	Wert III	1	1	1	EXACT_MEDIAL_OL_SPAN_EXTRAPOLATION	AMOUNT_OR_DEGREE	0	0	0	0
okaiin	4	4	3	B|B|2|S|B|3	0	3	0.000000000	0.008571429	0.008571429	0	18	0	0.006905998	0	0.315270936	H4_ENRICHED	NONE	lokaiin	HEATED_PREPARATION	heiße Zubereitung, Stufe III	Zubereitungsform: heiß, Stufe III	C2	GDT734 exact whole plus GDT737 heated-preparation body and four medial targets	grade versus class and hot state versus heating process remain open	GDT734+GDT737	heißer Ansatz, Grad III	heißer Ansatz, Grad III	1	heißer Ansatz, Grad III	1	1	1	EXACT_MEDIAL_OL_SPAN	PREPARATION_FORM	0	0	0	0
