control_edge_id	control_cohort	page	physical_folio	locus	section	language	hand	register_id	predecessor_ordinal	right_ordinal	predecessor_surface	right_surface	predecessor_reader_exact	right_reader_exact	predecessor_line_position	head_id	body	registry_source	record_role	body_role_de	medial_predecessor	selection_rule	written_line_eva	score_eligible	component_export_credit
G776-C0001	H3_MEDIAL_EXACT_OUTGOING	f100r	f100	f100r.14	P	A	1	P|A|1	8	9	raiin	otal	1	1	MIDDLE	H3	aiin	GDT736_TRAINING	LATE_REFERENCE_OR_ITEM_CLOSE	Ordinalstufe III	1	REGISTERED_H3_OR_H4_AND_BOTH_TOKENS_EXACT_AND_ORDINAL_GT_1_AND_NOT_LINE_FINAL	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykeeeo	0	0
G776-C0002	H4_MEDIAL_EXACT_OUTGOING	f100v	f100	f100v.21	P	A	1	P|A|1	5	6	ly	araroy	1	1	MIDDLE	H4	y	GDT736_TRAINING	INTERNAL_BOUND_FIELD_OPERATOR	unmarkierte Grund- oder Schlussform	1	REGISTERED_H3_OR_H4_AND_BOTH_TOKENS_EXACT_AND_ORDINAL_GT_1_AND_NOT_LINE_FINAL	soral okor ol choy ly araroy okar cheeeal cheokeol orey	0	0
G776-C0003	H4_MEDIAL_EXACT_OUTGOING	f102r1	f102	f102r1.3	P	A	1	P|A|1	4	5	loiiin	oteeor	1	1	MIDDLE	H4	oiiin	GDT737_HELD	INTERNAL_BOUND_FIELD_OPERATOR	Zubereitungsform: Index IV	1	REGISTERED_H3_OR_H4_AND_BOTH_TOKENS_EXACT_AND_ORDINAL_GT_1_AND_NOT_LINE_FINAL	polaiin shocthy qoteol loiiin oteeor cpheodar sholdaiin	0	0
G776-C0004	H4_MEDIAL_EXACT_OUTGOING	f103r	f103	f103r.14	S	B	3	S|B|3	7	8	lol	s	1	1	MIDDLE	H4	ol	GDT736_TRAINING	INTERNAL_BOUND_FIELD_OPERATOR	Stoff- oder Materialträger	1	REGISTERED_H3_OR_H4_AND_BOTH_TOKENS_EXACT_AND_ORDINAL_GT_1_AND_NOT_LINE_FINAL	okain shekain chedy qokeechy qoky shey lol s aiin chey eekain chcthy qoky	0	0
G776-C0005	H3_MEDIAL_EXACT_OUTGOING	f103r	f103	f103r.16	S	B	3	S|B|3	5	6	rar	okeey	1	1	MIDDLE	H3	ar	GDT736_TRAINING	LATE_REFERENCE_OR_ITEM_CLOSE	Teil- oder Fraktionsstufe I	1	REGISTERED_H3_OR_H4_AND_BOTH_TOKENS_EXACT_AND_ORDINAL_GT_1_AND_NOT_LINE_FINAL	dshol sholkar shdaiin cheey rar okeey shcfhedy opcheol oteedy tchey shky	0	0
G776-C0006	H4_MEDIAL_EXACT_OUTGOING	f103r	f103	f103r.2	S	B	3	S|B|3	11	12	lkeey	sar	1	1	MIDDLE	H4	keey	GDT737_HELD	INTERNAL_BOUND_FIELD_OPERATOR	erhitzte Form II	1	REGISTERED_H3_OR_H4_AND_BOTH_TOKENS_EXACT_AND_ORDINAL_GT_1_AND_NOT_LINE_FINAL	dain shek chdy daloky opchedy peshol chep ar otchy sal lkeey sar ain ok chedy	0	0
G776-C0007	H4_MEDIAL_EXACT_OUTGOING	f103r	f103	f103r.23	S	B	3	S|B|3	3	4	lchedy	chckhy	1	1	MIDDLE	H4	chedy	GDT736_TRAINING	INTERNAL_BOUND_FIELD_OPERATOR	getrocknetes Ergebnis, Form I	1	REGISTERED_H3_OR_H4_AND_BOTH_TOKENS_EXACT_AND_ORDINAL_GT_1_AND_NOT_LINE_FINAL	daiin sheckhy lchedy chckhy shol	0	0
G776-C0008	H4_MEDIAL_EXACT_OUTGOING	f103r	f103	f103r.38	S	B	3	S|B|3	7	8	lokain	shedy	1	1	MIDDLE	H4	okain	GDT737_HELD	INTERNAL_BOUND_FIELD_OPERATOR	erhitzte Zubereitung: Index II	1	REGISTERED_H3_OR_H4_AND_BOTH_TOKENS_EXACT_AND_ORDINAL_GT_1_AND_NOT_LINE_FINAL	otechedy qokain shcthy chckhy lokeedy checkhy lokain shedy okeey	0	0
G776-C0009	H4_MEDIAL_EXACT_OUTGOING	f103r	f103	f103r.39	S	B	3	S|B|3	3	4	lsheey	qotal	1	1	MIDDLE	H4	sheey	GDT737_HELD	INTERNAL_BOUND_FIELD_OPERATOR	feuchte oder angeweichte Form II	1	REGISTERED_H3_OR_H4_AND_BOTH_TOKENS_EXACT_AND_ORDINAL_GT_1_AND_NOT_LINE_FINAL	ykeedy qokeey lsheey qotal shedy oteey	0	0
G776-C0010	H4_MEDIAL_EXACT_OUTGOING	f103r	f103	f103r.47	S	B	3	S|B|3	4	5	lchey	qokaly	1	1	MIDDLE	H4	chey	GDT736_TRAINING	INTERNAL_BOUND_FIELD_OPERATOR	trockene Form I	1	REGISTERED_H3_OR_H4_AND_BOTH_TOKENS_EXACT_AND_ORDINAL_GT_1_AND_NOT_LINE_FINAL	ssheey okeeo l lchey qokaly lcheedy oloraiin	0	0
