entry	entry_scope	selected_default_de	candidate_whole_de	semantic_family	confidence	occurrences	pages	physical_folios	positive_evidence	counterevidence	candidate_source	scope_status	historical_field_type	h3_right_count	h4_right_count	existing_gdt775_selected	consumes_right_token	default_is_translation	confirmed_lexeme	confirmed_plaintext	component_export_credit
ol	EXACT_WHOLE_CONTEXTUAL_RECORD_FIELD_HEAD	Binnenfeldanschluss; vor lizenziertem Ganzwort: inhaltsbestimmtes Feld	interner oder später Feldanschluss	RECORD_FIELD_HEAD	C2_STRUCTURAL_C0_LEXEME	376	98	61	183 mediale exakte Zielkanten; pooled H4-H3 delta=0.160992; 25 wiederkehrende rechte Ganzwörter	shared-body equalization reverses to H3; strict matched lead is small; exact lexeme and substance remain open	GDT775+GDT736+GDT737	CONTEXTUAL_EXACT_WHOLE_ONLY	INTERNAL_OR_LATE_RECORD_FIELD	NA	NA	NA	0	0	0	0	0
ol aiin	EXACT_MEDIAL_TWO_WHOLE_SPAN	Menge: Stufe III	Mengenwert III	VALUE_AMOUNT	C2	8	8	7	GDT734 exact whole plus GDT736/GDT737 value ladder and eight medial targets	amount versus dose versus ordinal class remains open	GDT734+GDT736	EXACT_MEDIAL_OL_SPAN	AMOUNT_OR_DEGREE	3	10	1	1	0	0	0	0
ol chedy	EXACT_MEDIAL_TWO_WHOLE_SPAN	Zustand: getrocknetes Ergebnis, Form I	getrocknetes Ergebnis, Form I	DRY_RESULT	C2	7	7	6	GDT734 exact whole plus GDT736 dry-result body and seven medial targets	state versus completed process remains open	GDT734+GDT736	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_FORM	0	7	1	1	0	0	0	0
ol ol	EXACT_MEDIAL_OL_CHAIN	Unterfeld: weiterer Ansatz	weiteres Ansatzfeld	NESTED_FIELD	C1	7	5	4	GDT736 whole-body role plus seven medial ol-ol chains	adjacent identical form creates overlap and identifies no substance; material or preparation carrier remains a rival	GDT734+GDT736	EXACT_MEDIAL_OL_CHAIN	NESTED_RECORD_FIELD	1	3	0	0	0	0	0	0
ol sheey	EXACT_MEDIAL_TWO_WHOLE_SPAN	Zustand: feuchte Form II	feuchte Form II	MOIST_STATE	C2	6	6	5	GDT734 exact whole plus GDT737 moist-state body and six medial targets	moist versus soaked remains unresolved	GDT734+GDT737	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_FORM	3	1	1	1	0	0	0	0
ol cheey	EXACT_MEDIAL_TWO_WHOLE_SPAN	Zustand: trockene Form II	trockene Form II	DRY_STATE	C2	5	4	3	GDT734 exact whole plus GDT736 dry-form body and five medial targets	grade index versus form index remains open	GDT734+GDT736	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_FORM	2	3	1	1	0	0	0	0
ol chey	EXACT_MEDIAL_TWO_WHOLE_SPAN	Zustand: trockene Form I	trockene Form I	DRY_STATE	C2	5	4	4	GDT734 exact whole plus GDT736 dry-form body and five medial targets	grade index versus form index remains open	GDT734+GDT736	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_FORM	2	10	1	1	0	0	0	0
ol kaiin	EXACT_MEDIAL_TWO_WHOLE_SPAN	Wärmezustand: heiß, Stufe III	heiße Form, Stufe III	HEAT_VALUE	C2	5	5	5	GDT734 exact whole plus GDT737 heat-value body and five medial targets	state versus process and dimension remain open	GDT734+GDT737	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_DEGREE	0	1	1	1	0	0	0	0
ol shedy	EXACT_MEDIAL_TWO_WHOLE_SPAN	Zustand: feuchtes Ergebnis, Form I	feuchtes Ergebnis, Form I	MOIST_RESULT	C2	5	4	4	GDT734 exact whole plus GDT736/GDT737 moist-result family and five medial targets	moist versus soaked and state versus process remain open	GDT734+GDT736	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_FORM	1	4	1	1	0	0	0	0
ol daiin	EXACT_MEDIAL_TWO_WHOLE_SPAN	Wert: Stufe III	Wertslot III	VALUE_AMOUNT	C1	4	4	4	GDT734 exact whole plus GDT737 dose/value ladder and four medial targets	new context exceeds the old named-field scope; dose versus value open	GDT734+GDT737	EXACT_MEDIAL_OL_SPAN_EXTRAPOLATION	AMOUNT_OR_DEGREE	0	4	1	1	0	0	0	0
ol okaiin	EXACT_MEDIAL_TWO_WHOLE_SPAN	Zubereitungsform: heiß, Stufe III	heiße Zubereitung, Stufe III	HEATED_PREPARATION	C2	4	4	3	GDT734 exact whole plus GDT737 heated-preparation body and four medial targets	grade versus class and hot state versus heating process remain open	GDT734+GDT737	EXACT_MEDIAL_OL_SPAN	PREPARATION_FORM	0	3	1	1	0	0	0	0
ol olaiin	EXACT_MEDIAL_TWO_WHOLE_SPAN	Materialangabe: Stoff, Wert III	Stoff, Wert III	MATERIAL_VALUE	C1	4	4	4	GDT737 later candidate repairs the inherited absolute three-portion reading; four medial targets	amount versus class remains open and old absolute number is unsupported	GDT737	EXACT_MEDIAL_OL_SPAN_REVISED	MATERIAL_AND_VALUE	0	0	1	1	0	0	0	0
ol r	EXACT_MEDIAL_TWO_WHOLE_SPAN	Spätbezug: folgendes Wertfeld	Spätbezugsfeld	LATE_REFERENCE	C0	3	3	3	three medial targets plus GDT737 nested-H3 body candidate and H3 position role; two are followed by ain or aiin and have fused rain or raiin comparators	single-glyph segmentation open; reference versus close remains unresolved; no root or material semantics	GDT737	EXACT_MEDIAL_OL_SPAN_EXPLORATORY	REFERENCE_OR_CLOSE	1	1	0	1	0	0	0	0
ol al	EXACT_MEDIAL_TWO_WHOLE_SPAN	Materialangabe: Rohstoffstufe I	Rohstoffstufe I	MATERIAL_VALUE	C1	2	2	2	GDT734 exact whole plus GDT736 material-stage body and two medial targets	material versus grade dimension remains open	GDT734+GDT736	EXACT_MEDIAL_OL_SPAN	MATERIAL_OR_DEGREE	1	6	1	1	0	0	0	0
ol chdy	EXACT_MEDIAL_TWO_WHOLE_SPAN	Zustand: trockenes Ergebnis, Grundform	trockenes Ergebnis, Grundform	DRY_RESULT	C2	2	2	2	GDT734 exact whole plus GDT736 dry-result body and two medial targets	state versus completed process remains open	GDT734+GDT736	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_FORM	0	3	1	1	0	0	0	0
ol dain	EXACT_MEDIAL_TWO_WHOLE_SPAN	Wert: Stufe II	Wertslot II	VALUE_AMOUNT	C0	2	2	2	GDT734 exact whole and two medial targets	new context exceeds named-field scope; dose versus value open	GDT734	EXACT_MEDIAL_OL_SPAN_EXTRAPOLATION	AMOUNT_OR_DEGREE	0	0	1	1	0	0	0	0
ol dy	EXACT_MEDIAL_TWO_WHOLE_SPAN	[FELDENDE]	Feldende	FIELD_CLOSE	C1	2	2	2	two medial targets plus two GDT734 structural whole cards	punctuation, clause close, and work-step boundary remain rivals	GDT734	EXACT_MEDIAL_OL_SPAN_EXPLORATORY	FIELD_OR_ENTRY_CLOSE	0	2	0	1	0	0	0	0
ol kor	EXACT_MEDIAL_TWO_WHOLE_SPAN	Portion: heiß	heiße Portion	HEATED_PART	C0	2	2	2	GDT734 weak exact whole and two medial targets	heat, portion, and morphology remain weakly grounded	GDT734	EXACT_MEDIAL_OL_SPAN_EXPLORATORY	MATERIAL_PART	0	0	0	1	0	0	0	0
ol oiin	EXACT_MEDIAL_TWO_WHOLE_SPAN	Zubereitungsform: Index III	Zubereitungsform, Index III	PREPARATION_FORM	C1	2	2	2	GDT734 exact whole plus GDT736 preparation-form body and two medial targets	form versus value dimension remains open	GDT734+GDT736	EXACT_MEDIAL_OL_SPAN	PREPARATION_FORM	0	1	1	1	0	0	0	0
