surface_id	visible_surface	register_status	common_atom_sequences	common_nucleus_de	prose_master_card_id	prose_short_value_de	prose_occurrences	astro_short_values_de	astro_occurrences	astro_owner_count	astro_owners	reading_rule_de
SF0001	a	ASTRO_ONLY	NONE	GELERNTES LOKALES GANZWORT	NONE	NONE	0	Hauptwert	1	1	A3_RIGHT_WHEEL_RING_TEXT	lies den registrierten Werkstattwert dieses Registers
SF0002	aiin	PROSE_AND_ASTRO	AIIN	SOLLWERT	MC039	Sollmaß	3	Sollwert oder Grad des bezeichneten Himmelsplatzes	6	6	A1_LEFT_LOCAL_FIELD_27|A1_LEFT_LOCAL_FIELD_43|A1_LEFT_LOCAL_FIELD_44|A1_LEFT_LOCAL_FIELD_49|A1_PAIRED_WHEEL_LEGEND_UNRESOLVED|A3_MIDDLE_WHEEL_RING_TEXT	lies gemeinsamen Kern; Besitzer/Register liefert lokale Expansion
SF0003	ain	ASTRO_ONLY	AIN	PORTION	NONE	NONE	0	gezaehlter Teil oder Unterabschnitt	2	2	A1_LEFT_LOCAL_FIELD_19|A1_RIGHT_RING_BAND_01	lies den registrierten Werkstattwert dieses Registers
SF0004	air	ASTRO_ONLY	AIR	LAUF/BAHN	NONE	NONE	0	Himmels-, Ring- oder Zeigerlauf	4	4	A1_LEFT_LOCAL_FIELD_32|A1_PAIRED_WHEEL_LEGEND_UNRESOLVED|A1_RIGHT_PHASE_STATION_01|A3_RIGHT_WHEEL_RING_TEXT	lies den registrierten Werkstattwert dieses Registers
SF0005	airchy	ASTRO_ONLY	AIR	LAUF/BAHN	NONE	NONE	0	Himmels-, Ring- oder Zeigerlauf	1	1	A3_MIDDLE_WHEEL_RING_TEXT	lies den registrierten Werkstattwert dieses Registers
SF0006	al	PROSE_ONLY	AL	ZIEL	MC154	dorthin	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0007	alaiin	ASTRO_ONLY	AL+AIIN	ZIEL + SOLLWERT	NONE	NONE	0	Ziel-Sollwert	1	1	A1_LEFT_LOCAL_FIELD_32	lies den registrierten Werkstattwert dieses Registers
SF0008	aldaiin	ASTRO_ONLY	AL+AIIN	Ziel-Sollwert	NONE	NONE	0	Ziel-Sollwert	1	1	A1_LEFT_OUTER_RING_TEXT	registrierten Renderer-Rahmen abziehen; produktive Kerne lesen
SF0009	aldy	ASTRO_ONLY	AL	ZIEL	NONE	NONE	0	Zielsektor, Zielstern oder Zielfeld	1	1	A1_RIGHT_RING_BAND_01	lies den registrierten Werkstattwert dieses Registers
SF0010	alys	ASTRO_ONLY	AL	ZIEL	NONE	NONE	0	Zielsektor, Zielstern oder Zielfeld	1	1	A3_LEFT_RADIAL_SLOT_28	lies den registrierten Werkstattwert dieses Registers
SF0011	am	ASTRO_ONLY	AM	ASPEKT	NONE	NONE	0	ASPEKT	3	3	A1_LEFT_LOCAL_FIELD_21|A1_LEFT_LOCAL_FIELD_27|A1_LEFT_LOCAL_FIELD_28	lies lokalen Tabellenkörper und füge bekannte Quelle/Wert/Grad/Auswahl an
SF0012	amy	ASTRO_ONLY	AM+Y	aktueller Aspekt	NONE	NONE	0	aktueller Aspekt	1	1	A1_LEFT_LOCAL_FIELD_19	lies lokalen Tabellenkörper und füge bekannte Quelle/Wert/Grad/Auswahl an
SF0013	ar	ASTRO_ONLY	AR	QUELLE	NONE	NONE	0	Ausgangssektor, Ursprung oder Bezugswert	9	7	A1_LEFT_LOCAL_FIELD_19|A1_LEFT_LOCAL_FIELD_21|A1_LEFT_LOCAL_FIELD_24|A1_PAIRED_WHEEL_LEGEND_UNRESOLVED|A1_RIGHT_OUTER_RING_TEXT|A3_LEFT_WHEEL_RING_TEXT|A3_RIGHT_WHEEL_RING_TEXT	lies den registrierten Werkstattwert dieses Registers
SF0014	aram	ASTRO_ONLY	AR+AM	Quellaspekt	NONE	NONE	0	Quellaspekt	1	1	A1_RIGHT_SECTOR_SLOT_01	lies lokalen Tabellenkörper und füge bekannte Quelle/Wert/Grad/Auswahl an
SF0015	ay	ASTRO_ONLY	NONE	GELERNTES LOKALES GANZWORT	NONE	NONE	0	aktueller Hauptwert	2	2	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED|A1_RIGHT_PHASE_STATION_06	lies den registrierten Werkstattwert dieses Registers
SF0016	cfhy	PROSE_ONLY	CFH+Y	CFH + AKTUELLER POSTEN	MC129	aktuellen Posten auswringen	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0017	ch	ASTRO_ONLY	NONE	GELERNTES LOKALES GANZWORT	NONE	NONE	0	Zustand	1	1	A3_MIDDLE_WHEEL_RING_TEXT	lies den registrierten Werkstattwert dieses Registers
SF0018	chaiin	PROSE_ONLY	AIIN	SOLLWERT	MC039	Sollmaß	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0019	chair	PROSE_ONLY	AIR	LAUF/BAHN	MC014	Wasserzulauf	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0020	chal	PROSE_ONLY	AL	ZIEL	MC154	dorthin	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0021	char	PROSE_AND_ASTRO	AR	Quelle	MC055	aus dem Ansatz	2	Quelle	1	1	A3_LEFT_WHEEL_RING_TEXT	registrierten Renderer-Rahmen abziehen; produktive Kerne lesen
SF0022	chary	PROSE_ONLY	AR+Y	QUELLE + AKTUELLER POSTEN	MC009	aus diesem Posten	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0023	chckhal	PROSE_ONLY	CKH+AL	DURCHLAUF + ZIEL	MC022	zur Zielstelle durchleiten	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0024	chckhy	PROSE_ONLY	CKH+Y	DURCHLAUF + AKTUELLER POSTEN	MC035	durchleiten	3	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0025	chda	ASTRO_ONLY	CHD	UMSETZEN	NONE	NONE	0	Wert oder Platzbezug uebertragen	1	1	A3_RIGHT_WHEEL_RING_TEXT	lies den registrierten Werkstattwert dieses Registers
SF0026	chdal	PROSE_ONLY	CHD+AL	UMSETZEN + ZIEL	MC001	dort umsetzen	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0027	chdy	PROSE_AND_ASTRO	CHD+Y	UMSETZEN + AKTUELLER POSTEN	MC074	laufenden Posten umsetzen	1	auf den bezeichneten Diagrammplatz uebertragen	1	1	A3_RIGHT_WHEEL_RING_TEXT	lies gemeinsamen Kern; Besitzer/Register liefert lokale Expansion
SF0028	cheal	PROSE_AND_ASTRO	AL	Ziel	MC154	dorthin	1	Ziel	1	1	A3_MIDDLE_WHEEL_RING_TEXT	registrierten Renderer-Rahmen abziehen; produktive Kerne lesen
SF0029	chealror	PROSE_ONLY	AL+OR	ZIEL + SATZ/ANSATZ	MC146	Ansatz von dort zur Zielstelle	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0030	chear	ASTRO_ONLY	AR	Quelle	NONE	NONE	0	Quelle	1	1	A3_MIDDLE_WHEEL_RING_TEXT	registrierten Renderer-Rahmen abziehen; produktive Kerne lesen
SF0031	checthy	PROSE_ONLY	CTH+Y	BEREIT + AKTUELLER POSTEN	MC161	bereit	2	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0032	chedaiin	ASTRO_ONLY	CHD+AIIN	UMSETZEN + SOLLWERT	NONE	NONE	0	ZUM SOLLWERT UMSETZEN	1	1	A1_LEFT_LOCAL_FIELD_39	lies den registrierten Werkstattwert dieses Registers
SF0033	chedain	PROSE_ONLY	CHD+AIN	UMSETZEN + PORTION	MC145	Portion umsetzen	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
SF0034	chedchy	PROSE_ONLY	CHD+Y	UMSETZEN + AKTUELLER POSTEN	MC064	diesen Posten überführen	1	NONE	0	0	NONE	lies den registrierten Werkstattwert dieses Registers
