visible_surface	astro_groups	previous_autonomy	revised_atom_sequence	grade_value_de	spoken_value_de	registered_frame_rule
chees	1	NONE	EE	EE=LÄNGER; EEE=VOLLSTÄNDIG	lange Tabellenstufe	leading/trailing scribal frame is ignored only around visible EE/EEE grade
cheeteey	1	NONE	EE+EE	EE=LÄNGER; EEE=VOLLSTÄNDIG	zwei lange Tabellenstufen	leading/trailing scribal frame is ignored only around visible EE/EEE grade
cheteeser	1	NONE	EE	EE=LÄNGER; EEE=VOLLSTÄNDIG	lange Tabellenstufe	leading/trailing scribal frame is ignored only around visible EE/EEE grade
choctheeey	1	PARTIAL	HO+CTH+EEE	EE=LÄNGER; EEE=VOLLSTÄNDIG	Eingangsposten vollständig bereit	leading/trailing scribal frame is ignored only around visible EE/EEE grade
choeea	1	PARTIAL	HO+EE	EE=LÄNGER; EEE=VOLLSTÄNDIG	Eingangsposten länger halten	leading/trailing scribal frame is ignored only around visible EE/EEE grade
choteey	1	PARTIAL	HO+OT+EE	EE=LÄNGER; EEE=VOLLSTÄNDIG	nächsten Eingangsposten länger halten	leading/trailing scribal frame is ignored only around visible EE/EEE grade
chteey	1	NONE	EE	EE=LÄNGER; EEE=VOLLSTÄNDIG	lange Tabellenstufe	leading/trailing scribal frame is ignored only around visible EE/EEE grade
cpheey	1	NONE	EE	EE=LÄNGER; EEE=VOLLSTÄNDIG	lange Tabellenstufe	leading/trailing scribal frame is ignored only around visible EE/EEE grade
eesydy	1	NONE	EE+DY	EE=LÄNGER; EEE=VOLLSTÄNDIG	lange Tabellenstufe festhalten	leading/trailing scribal frame is ignored only around visible EE/EEE grade
iokeeor	1	PARTIAL	OK+EE+OR	EE=LÄNGER; EEE=VOLLSTÄNDIG	Tabellensatz länger aktivieren	leading/trailing scribal frame is ignored only around visible EE/EEE grade
oeesy	1	NONE	EE+Y	EE=LÄNGER; EEE=VOLLSTÄNDIG	diesen Posten länger halten	leading/trailing scribal frame is ignored only around visible EE/EEE grade
opcheeol	1	PARTIAL	EE+OL	EE=LÄNGER; EEE=VOLLSTÄNDIG	in langer Stufe fortsetzen	leading/trailing scribal frame is ignored only around visible EE/EEE grade
oteeal	1	PARTIAL	OT+EE+AL	EE=LÄNGER; EEE=VOLLSTÄNDIG	am nächsten Ziel länger halten	leading/trailing scribal frame is ignored only around visible EE/EEE grade
oteeo	1	PARTIAL	OT+EE	EE=LÄNGER; EEE=VOLLSTÄNDIG	nächste lange Stufe	leading/trailing scribal frame is ignored only around visible EE/EEE grade
oteeys	1	PARTIAL	OT+EE	EE=LÄNGER; EEE=VOLLSTÄNDIG	nächste lange Stufe	leading/trailing scribal frame is ignored only around visible EE/EEE grade
otokeeey	1	PARTIAL	OT+OK+EEE	EE=LÄNGER; EEE=VOLLSTÄNDIG	nächsten Posten vollständig aktivieren	leading/trailing scribal frame is ignored only around visible EE/EEE grade
qeykeey	1	NONE	EE	EE=LÄNGER; EEE=VOLLSTÄNDIG	lange Tabellenstufe	leading/trailing scribal frame is ignored only around visible EE/EEE grade
shees	1	NONE	EE	EE=LÄNGER; EEE=VOLLSTÄNDIG	lange Tabellenstufe	leading/trailing scribal frame is ignored only around visible EE/EEE grade
soeey	1	NONE	EE	EE=LÄNGER; EEE=VOLLSTÄNDIG	lange Tabellenstufe	leading/trailing scribal frame is ignored only around visible EE/EEE grade
teeo	1	NONE	EE	EE=LÄNGER; EEE=VOLLSTÄNDIG	lange Tabellenstufe	leading/trailing scribal frame is ignored only around visible EE/EEE grade
yekees	1	NONE	EE	EE=LÄNGER; EEE=VOLLSTÄNDIG	lange Tabellenstufe	leading/trailing scribal frame is ignored only around visible EE/EEE grade
