paragraph	locus	index	raw	D	H	status	U	R	C	row_status
f6v|f6v.6-f6v.21	f6v.6	1	tchody	Bereitung	Bereitung	ASSUMED	Bereitung	Bereitung	Bereitung	recorded
f6v|f6v.6-f6v.21	f6v.6	2	shocthol	benetztes Krautpulver	benetztes Krautpulver	ASSUMED	benetztes Krautpulver	benetztes Krautpulver	benetztes Krautpulver	recorded
f6v|f6v.6-f6v.21	f6v.6	3	cho{cthh}y	[ungelesen: cho{cthh}y]	[ungelesen: cho{cthh}y]	UNREAD	[ungelesen: cho{cthh}y]	[ungelesen: cho{cthh}y]	[ungelesen: cho{cthh}y]	recorded
f6v|f6v.6-f6v.21	f6v.6	4	s	jeweils	jeweils	ASSUMED	jeweils	jeweils	jeweils	recorded
f6v|f6v.6-f6v.21	f6v.7	1	ychos	zerkleinere	zerkleinere	ASSUMED	zerkleinere	zerkleinere	zerkleinere	recorded
f6v|f6v.6-f6v.21	f6v.7	2	ychol	trockne	trockne	ASSUMED	trockne	trockne	trockne	recorded
f6v|f6v.6-f6v.21	f6v.7	3	daiin	Dosis Q	Dosis Q	ASSUMED	Dosis Q	Dosis Q	Dosis Q	recorded
f6v|f6v.6-f6v.21	f6v.7	4	cthol	Krautpulver	Krautpulver	ASSUMED	Krautpulver	Krautpulver	Krautpulver	recorded
f6v|f6v.6-f6v.21	f6v.7	5	dol	Portion	Portion	ASSUMED	Portion	Portion	Portion	recorded
f6v|f6v.6-f6v.21	f6v.8	1	ychor	nimm	nimm	TARGET_HYPOTHESES	nimm	nimm	nimm	recorded
f6v|f6v.6-f6v.21	f6v.8	2	chor	Blüten	Blüten	ASSUMED	Blüten	Blüten	Blüten	recorded
f6v|f6v.6-f6v.21	f6v.8	3	okchey	zerstoße fein	zerstoße fein	ASSUMED	zerstoße fein	zerstoße fein	zerstoße fein	recorded
f6v|f6v.6-f6v.21	f6v.8	4	qokom	erwärme portionsweise	erwärme portionsweise	ASSUMED	erwärme portionsweise	erwärme portionsweise	erwärme portionsweise	recorded
f6v|f6v.6-f6v.21	f6v.9	1	oeeo	miss ab	miss ab	ASSUMED	miss ab	miss ab	miss ab	recorded
f6v|f6v.6-f6v.21	f6v.9	2	dal	Maß	Maß	ASSUMED	Maß	Maß	Maß	recorded
f6v|f6v.6-f6v.21	f6v.9	3	chor	Blüten	Blüten	ASSUMED	Blüten	Blüten	Blüten	recorded
f6v|f6v.6-f6v.21	f6v.9	4	cthom	Kräuterportion	Kräuterportion	ASSUMED	Kräuterportion	Kräuterportion	Kräuterportion	recorded
f6v|f6v.6-f6v.21	f6v.9	5	s	jeweils	jeweils	ASSUMED	jeweils	jeweils	jeweils	recorded
f6v|f6v.6-f6v.21	f6v.10	1	qokchod	trockne vollständig	trockne vollständig	ASSUMED	trockne vollständig	trockne vollständig	trockne vollständig	recorded
