edition	model	paragraph	locus	raw	reading	row_status
ZL3b	U	f99r|f99r.47-f99r.52	f99r.47	tol keey ctheey	kühles Material [nominale Qualität: Stoffkonstitution] · [ungelesen: keey] · Krautzubereitung	recorded
ZL3b	U	f99r|f99r.47-f99r.52	f99r.48	ykeol okeol ockhey chol cheodal okeo r alcheeg orar	[ungelesen: ykeol] · warme Flüssigkeit [nominale Qualität: Stoffkonstitution] · [ungelesen: ockhey] · erhitze · [ungelesen: cheodal] · [ungelesen: okeo] · darauf · [ungelesen: alcheeg] · [ungelesen: orar]	recorded
ZL3b	U	f99r|f99r.47-f99r.52	f99r.49	okeeey keey keear okeey daiin okeol s aiin olaiir oolsal	[ungelesen: okeeey] · [ungelesen: keey] · [ungelesen: keear] · erwärme vorsichtig · Dosis Q · warme Flüssigkeit [nominale Qualität: Stoffkonstitution] · jeweils · Maßzahl Q · [ungelesen: olaiir] · [ungelesen: oolsal]	recorded
ZL3b	U	f99r|f99r.47-f99r.52	f99r.50	qokeeo okeey qokeey okesy qokeeo sar sheseky or al	[ungelesen: qokeeo] · erwärme vorsichtig · erhitze anhaltend · [ungelesen: okesy] · [ungelesen: qokeeo] · je Teil · [ungelesen: sheseky] · Anteil · davon	recorded
ZL3b	U	f99r|f99r.47-f99r.52	f99r.51	yshaiin {ykh}ey octhey dy daiin okor okeey sh{cty}sh	[ungelesen: yshaiin] · [ungelesen: {ykh}ey] · [ungelesen: octhey] · fertig · Dosis Q · [ungelesen: okor] · erwärme vorsichtig · [ungelesen: sh{cty}sh]	recorded
ZL3b	U	f99r|f99r.47-f99r.52	f99r.52	ychor ols or agairom	nimm · Endzubereitung · Anteil · [ungelesen: agairom]	recorded
ZL3b	R	f99r|f99r.47-f99r.52	f99r.47	tol keey ctheey	kühles Material [nominale Qualität: Stoffkonstitution] · [ungelesen: keey] · Krautzubereitung	recorded
ZL3b	R	f99r|f99r.47-f99r.52	f99r.48	ykeol okeol ockhey chol cheodal okeo r alcheeg orar	[ungelesen: ykeol] · warme Flüssigkeit [nominale Qualität: Stoffkonstitution] · [ungelesen: ockhey] · erhitze · [ungelesen: cheodal] · [ungelesen: okeo] · darauf · [ungelesen: alcheeg] · [ungelesen: orar]	recorded
ZL3b	R	f99r|f99r.47-f99r.52	f99r.49	okeeey keey keear okeey daiin okeol s aiin olaiir oolsal	[ungelesen: okeeey] · [ungelesen: keey] · [ungelesen: keear] · erwärme vorsichtig · Dosis Q · warme Flüssigkeit [nominale Qualität: Stoffkonstitution] · jeweils · Maßzahl Q · [ungelesen: olaiir] · [ungelesen: oolsal]	recorded
ZL3b	R	f99r|f99r.47-f99r.52	f99r.50	qokeeo okeey qokeey okesy qokeeo sar sheseky or al	rühre · erwärme vorsichtig · erhitze anhaltend · [ungelesen: okesy] · rühre · je Teil · [ungelesen: sheseky] · Anteil · davon	recorded
