edition	model	variant	paragraph	position	mention	form	meaning	patient	antecedent	debts	row_status
ZL3b	U	B	f99r|f99r.47-f99r.52	6	f99r.48:4	chol	erhitze	f99r.48:2		UNREAD_BETWEEN:f99r.48:3	recorded
ZL3b	U	B	f99r|f99r.47-f99r.52	15	f99r.49:4	okeey	erwärme vorsichtig	f99r.49:6			recorded
ZL3b	U	B	f99r|f99r.47-f99r.52	22	f99r.50:1	qokeeo	[ungelesen: qokeeo]			UNREAD_WORD	recorded
ZL3b	U	B	f99r|f99r.47-f99r.52	23	f99r.50:2	okeey	erwärme vorsichtig	f99r.49:6		UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:1;IMPLICIT_SUBJECT_CONTINUATION	recorded
ZL3b	U	B	f99r|f99r.47-f99r.52	24	f99r.50:3	qokeey	erhitze anhaltend	f99r.49:6		UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:1;IMPLICIT_SUBJECT_CONTINUATION	recorded
ZL3b	U	B	f99r|f99r.47-f99r.52	26	f99r.50:5	qokeeo	[ungelesen: qokeeo]			UNREAD_WORD	recorded
ZL3b	U	B	f99r|f99r.47-f99r.52	37	f99r.51:7	okeey	erwärme vorsichtig	f99r.49:6		UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:1;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:5;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;UNREAD_BETWEEN:f99r.51:6;IMPLICIT_SUBJECT_CONTINUATION	recorded
ZL3b	U	J	f99r|f99r.47-f99r.52	6	f99r.48:4	chol	erhitze	f99r.48:2		UNREAD_BETWEEN:f99r.48:3	recorded
ZL3b	U	J	f99r|f99r.47-f99r.52	15	f99r.49:4	okeey	erwärme vorsichtig	f99r.49:6			recorded
ZL3b	U	J	f99r|f99r.47-f99r.52	22	f99r.50:1	qokeeo	[ungelesen: qokeeo]			UNREAD_WORD	recorded
ZL3b	U	J	f99r|f99r.47-f99r.52	23	f99r.50:2	okeey	erwärme vorsichtig	f99r.49:6		UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:1;IMPLICIT_SUBJECT_CONTINUATION	recorded
ZL3b	U	J	f99r|f99r.47-f99r.52	24	f99r.50:3	qokeey	erhitze anhaltend	f99r.49:6		UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:1;IMPLICIT_SUBJECT_CONTINUATION	recorded
ZL3b	U	J	f99r|f99r.47-f99r.52	26	f99r.50:5	qokeeo	[ungelesen: qokeeo]			UNREAD_WORD	recorded
ZL3b	U	J	f99r|f99r.47-f99r.52	37	f99r.51:7	okeey	erwärme vorsichtig	f99r.49:6		UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:1;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:5;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;UNREAD_BETWEEN:f99r.51:6;IMPLICIT_SUBJECT_CONTINUATION	recorded
ZL3b	U	M	f99r|f99r.47-f99r.52	6	f99r.48:4	chol	erhitze	f99r.48:2		UNREAD_BETWEEN:f99r.48:3	recorded
ZL3b	U	M	f99r|f99r.47-f99r.52	15	f99r.49:4	okeey	erwärme vorsichtig	f99r.49:6			recorded
ZL3b	U	M	f99r|f99r.47-f99r.52	22	f99r.50:1	qokeeo	[ungelesen: qokeeo]			UNREAD_WORD	recorded
ZL3b	U	M	f99r|f99r.47-f99r.52	23	f99r.50:2	okeey	erwärme vorsichtig	f99r.49:6		UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:1;IMPLICIT_SUBJECT_CONTINUATION	recorded
ZL3b	U	M	f99r|f99r.47-f99r.52	24	f99r.50:3	qokeey	erhitze anhaltend	f99r.49:6		UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:1;IMPLICIT_SUBJECT_CONTINUATION	recorded
ZL3b	U	M	f99r|f99r.47-f99r.52	26	f99r.50:5	qokeeo	[ungelesen: qokeeo]			UNREAD_WORD	recorded
