patch_id	page	row_id	source_ordinal	column	valid	reason	ink_json	nuisance_json	core_samples	patch_width	patch_height
f76r:R001:W00	f76r	f76r:R001	1	0	1	PASS	[0.376806985084,0.46537986851,0.557671481993]	[0.337439903846,5.003946305945,6.614864864865,2.240667277086,0.548148148148,0.92196967676,0.832535680939,0.755854341737,0.019309172299,0.018197277433,0.01765416147,-0.020347850679,-0.020670720211,-0.02087811086,-0.000827205882,0.00435520362,0.004993872549,0.22305764411,0.09976120987]	148	128	52
f76r:R001:W01	f76r	f76r:R001	1	1	1	PASS	[0.261533809547,0.292367884034,0.347437941422]	[0.334284855769,4.890349128222,5.204545454545,2.712872335467,0.447457627119,0.931735853899,0.852560170988,0.781455078082,0.022990127885,0.021746363412,0.021772645591,0.031280637255,0.030738593514,0.027335501508,-0.004510746606,0.002538178733,-0.001194852941,0.268886501969,0.09976120987]	132	128	52
f76r:R001:W02	f76r	f76r:R001	1	2	1	PASS	[0.242105987624,0.251340230935,0.286772606851]	[0.413912259615,4.96284463026,4.788732394366,2.561444866013,0.423880597015,0.924605556142,0.842608481485,0.770178586687,0.022994858315,0.020458362166,0.021636279689,-0.003982843137,-0.002648944193,-0.007944475867,0.020904034691,0.021476715686,0.016598322021,0.314715359828,0.09976120987]	142	128	52
f76r:R001:W03	f76r	f76r:R001	1	3	1	PASS	[0.237512040078,0.256124085182,0.290244705539]	[0.529597355769,5.017279836815,5.233333333333,2.666874991863,0.404312668464,0.93697684759,0.859760397292,0.789531628685,0.020329437883,0.019311301717,0.019630608449,-0.010206919306,-0.004385840875,-0.004070041478,-0.006231146305,-0.01256127451,-0.016122266214,0.360544217687,0.09976120987]	150	128	52
f76r:R001:W04	f76r	f76r:R001	1	4	1	PASS	[0.387337723516,0.478892576663,0.564529802738]	[0.472956730769,4.927253685157,5.715328467153,2.843737915151,0.34335839599,0.937890983075,0.854364254254,0.784148277327,0.018520704977,0.016213046684,0.015347779253,-0.015914875566,-0.013082107843,-0.016197680995,0.014005938914,0.008269702112,0.004607371795,0.406373075546,0.09976120987]	137	128	52
f76r:R001:W05	f76r	f76r:R001	1	5	1	PASS	[0.21643847101,0.243415465067,0.272543843686]	[0.500901442308,5.176149732574,5.301136363636,2.793091896992,0.399092970522,0.936883049427,0.851943667292,0.776920352729,0.02156998292,0.0219092507,0.020696407059,0.000808352187,-0.009617741327,-0.015014611614,0.009601244344,0.015361048265,0.016341440422,0.452201933405,0.09976120987]	176	128	52
f76r:R001:W06	f76r	f76r:R001	1	6	1	PASS	[0.248029643359,0.287627474782,0.320193004363]	[0.533203125,5.351858133476,5.290476190476,2.458494460302,0.502392344498,0.923475769452,0.834500211414,0.758676486365,0.023211315576,0.023888873761,0.02434071506,-0.003560991704,-0.003240478884,0.005882352941,-0.007110199849,-0.004150169683,0.001018099548,0.498030791264,0.09976120987]	210	128	52
f76r:R001:W07	f76r	f76r:R001	1	7	1	PASS	[0.226743084676,0.251951221556,0.2860878636]	[0.523888221154,5.252273428047,5.131578947368,2.381629833711,0.439814814815,0.938183010661,0.854403257043,0.786348139761,0.018185567073,0.020684907384,0.023688624624,0.001253770739,0.006219362745,0.006733125943,0.004209087481,0.006735482655,0.012113499246,0.543859649123,0.09976120987]	190	128	52
f76r:R001:W08	f76r	f76r:R001	1	8	1	PASS	[0.208901194599,0.22767870648,0.26898993944]	[0.597806490385,5.446737371666,5.012987012987,2.353004010683,0.506578947368,0.947646985578,0.859848967603,0.781741340541,0.025108922123,0.024911143832,0.026577508882,0.013605297888,0.004892533937,-0.01496040724,0.025468985671,0.022801187783,0.033682126697,0.589688506982,0.09976120987]	231	128	52
f76r:R001:W09	f76r	f76r:R001	1	9	1	PASS	[0.200671799096,0.222551484934,0.262371442361]	[0.575721153846,5.476463551932,4.714285714286,2.387442135839,0.443202979516,0.938386657779,0.843278897961,0.759160973171,0.015086321767,0.017720092391,0.01857396061,-0.000596248115,-0.004539027149,-0.013037330317,0.009457484917,0.016242458522,0.021219834087,0.635517364841,0.09976120987]	238	128	52
