exact_card_id	surfaces	component_recipe	events	old_reading_de	new_reading_de	changed_components
PROC004	chety|chty	T+Y	2	ANWENDEN · DIES	BEARBEITEN · DIES	T
PROC007	otytchol	OT+Y+T+CH+OL	1	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	DANACH · DIES · BEARBEITEN · ENTNEHMEN · WEITER	T
PROC010	etyd	E+T+Y	1	KURZ · ANWENDEN · DIES	KURZ · BEARBEITEN · DIES	T
PROC026	tshol	T+SH+OL	1	ANWENDEN · HALTEN · WEITER	BEARBEITEN · HALTEN · WEITER	T
PROC030	cphy	P+Y	1	EINFUELLEN · DIES	EINBRINGEN · DIES	P
PROC032	tchody	T+CH+O+DY	1	ANWENDEN · ENTNEHMEN · VORGANG · SCHLUSS	BEARBEITEN · ENTNEHMEN · VORGANG · SCHLUSS	T
PROC033	shoyty	SH+O+Y+T+Y	1	HALTEN · VORGANG · DIES · ANWENDEN · DIES	HALTEN · VORGANG · DIES · BEARBEITEN · DIES	T
PROC049	oltchy	OL+T+Y	1	WEITER · ANWENDEN · DIES	WEITER · BEARBEITEN · DIES	T
PROC087	qolky	SOLK+Y	1	SAMMELSTELLE · DIES	SAMMELN · DIES	SOLK
PROC090	ytey	T+E+Y	1	ANWENDEN · KURZ · DIES	BEARBEITEN · KURZ · DIES	T
PROC098	olkeedy|solkeedy	SOLK+EE+DY	3	SAMMELSTELLE · LANG · SCHLUSS	SAMMELN · LANG · SCHLUSS	SOLK
PROC105	solkaiin	SOLK+AIIN	1	SAMMELSTELLE · SOLLMASS	SAMMELN · SOLLMASS	SOLK
PROC125	pchedy	P+CHD+DY	1	EINFUELLEN · UMSETZEN · SCHLUSS	EINBRINGEN · UMSETZEN · SCHLUSS	P
PROC134	pchedal	P+CHD+AL	1	EINFUELLEN · UMSETZEN · ZIELSTELLE	EINBRINGEN · UMSETZEN · ZIELSTELLE	P
PROC149	cheeety	EEE+T+Y	1	VOLL · ANWENDEN · DIES	VOLL · BEARBEITEN · DIES	T
PROC164	solkey	SOLK+E+Y	1	SAMMELSTELLE · KURZ · DIES	SAMMELN · KURZ · DIES	SOLK
PROC170	solkeey	SOLK+EE+Y	1	SAMMELSTELLE · LANG · DIES	SAMMELN · LANG · DIES	SOLK
