surface	truth_recipe	candidate_is_truth	gdt517_compiler_rank	gdt523_rank	gdt524_rank	candidate_recipe	gdt523_score	consensus_feature	gdt524_score	positive_independent_base_count	consensus_trace
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	1	1	1	AIIN+CH+T+Y	5.733798402	0.000000000	5.733798402	0	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	2	2	2	IIN+CH+T+Y	7.289902821	0.000000000	7.289902821	0	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	3	3	3	AIIN+LOCAL_C+T+Y	8.617469433	0.000000000	8.617469433	0	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	7	4	4	A_ADDR+LOCAL_CHAR_I+CH+T+Y	9.220129716	0.000000000	9.220129716	0	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	5	5	5	A_ADDR+IIN+CH+T+Y	9.367548780	0.000000000	9.367548780	0	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	4	6	6	IIN+LOCAL_C+T+Y	9.768108744	0.000000000	9.768108744	0	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	10	7	7	AIN+LOCAL_CHAR_I+CH+T+Y	10.220366781	0.000000000	10.220366781	0	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	9	8	8	A_ADDR+AIIN+CH+T+Y	10.497129704	0.000000000	10.497129704	0	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	YES	6	9	9	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	10.745123160	0.000000000	10.745123160	0	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	8	10	10	A_ADDR+IIN+LOCAL_CHAR_I+CH+T+Y	11.750230939	0.000000000	11.750230939	0	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	19	11	11	A_ADDR+LOCAL_CHAR_I+LOCAL_C+T+Y	12.001055398	0.000000000	12.001055398	0	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	17	12	12	A_ADDR+IIN+LOCAL_C+T+Y	12.373721064	0.000000000	12.373721064	0	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS
chady	CH+A_ADDR+DY	NO	2	1	1	CH+DY	4.887151731	0.000000000	4.887151731	0	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS
