surface	candidate_recipe	candidate_is_truth	gdt523_rank	gdt524_rank	positive_base_count	base_support_rank	base_surface	visible_insert	atom_insert	signature_support	license_bonus	route_trace
chckhedy	CH+CH+K+E+D_ADDR+Y	NO	7	4	2	1	chckhdy	e	E	78	0.626746633	chckhdy+e=>E@INNER/INNER;n=78/117;p=0.633065;r=0.975000;b=0.626747
chckhedy	CH+CH+K+E+D_ADDR+Y	NO	7	4	2	2	chckhey	d	D_ADDR	29	0.388565863	chckhey+d=>D_ADDR@INNER/INNER;n=29/56;p=0.504274;r=0.935484;b=0.388566
cheod	CH+E+O+D_ADDR	YES	1	1	2	1	cheo	d	D_ADDR	10	0.707237976	cheo+d=>D_ADDR@RIGHT/RIGHT;n=10/12;p=0.777778;r=0.833333;b=0.707238
cheod	CH+E+O+D_ADDR	YES	1	1	2	2	chod	e	E	78	0.626746633	chod+e=>E@INNER/INNER;n=78/117;p=0.633065;r=0.975000;b=0.626747
choraly	CH+OR+AL+Y	YES	1	1	2	1	oraly	ch	CH	44	0.373176759	oraly+ch=>CH@LEFT/LEFT;n=44/88;p=0.491713;r=0.956522;b=0.373177
choraly	CH+OR+AL+Y	YES	1	1	2	2	chaly	or	OR	4	0.168468093	chaly+or=>OR@INNER/INNER;n=4/8;p=0.428571;r=0.666667;b=0.168468
ckhochy	CH+K+O+CH+Y	YES	1	1	2	1	ckho	chy	CH+Y	12	0.348730988	ckho+chy=>CH+Y@RIGHT/RIGHT;n=12/23;p=0.500000;r=0.857143;b=0.348731
ckhochy	CH+K+O+CH+Y	YES	1	1	2	2	ckhy	och	O+CH	3	0.336602100	ckhy+och=>O+CH@INNER/INNER;n=3/5;p=0.583333;r=0.600000;b=0.336602
dairody	D_ADDR+AIR+O+DY	YES	1	1	2	1	dair	ody	O+DY	9	0.499460543	dair+ody=>O+DY@RIGHT/RIGHT;n=9/14;p=0.612903;r=0.818182;b=0.499461
dairody	D_ADDR+AIR+O+DY	YES	1	1	2	2	dody	air	AIR	1	0.135617606	dody+air=>AIR@INNER/INNER;n=1/2;p=0.500000;r=0.333333;b=0.135618
dcheol	D_ADDR+CH+E+O+L	YES	1	1	2	1	dcheo	l	L	12	0.942857143	dcheo+l=>L@RIGHT/RIGHT;n=12/12;p=1.000000;r=0.857143;b=0.942857
dcheol	D_ADDR+CH+E+O+L	YES	1	1	2	2	cheol	d	D_ADDR	32	0.639310513	cheol+d=>D_ADDR@LEFT/LEFT;n=32/47;p=0.656566;r=0.941176;b=0.639311
dkar	D_ADDR+K+AR	YES	1	1	2	1	kar	d	D_ADDR	32	0.639310513	kar+d=>D_ADDR@LEFT/LEFT;n=32/47;p=0.656566;r=0.941176;b=0.639311
dkar	D_ADDR+K+AR	YES	1	1	2	2	dar	k	K	30	0.577269388	dar+k=>K@INNER/INNER;n=30/45;p=0.616162;r=0.937500;b=0.577269
doiiin	D_ADDR+O+IIN	YES	1	1	2	1	oiiin	d	D_ADDR	32	0.639310513	oiiin+d=>D_ADDR@LEFT/LEFT;n=32/47;p=0.656566;r=0.941176;b=0.639311
doiiin	D_ADDR+O+IIN	YES	1	1	2	2	doiin	i	NULL	5	0.258857898	doiin+i=>NULL@INNER/NULL;n=5/10;p=0.478261;r=0.714286;b=0.258858
dyky	D_ADDR+Y+K+Y	YES	1	1	2	1	yky	d	D_ADDR	32	0.639310513	yky+d=>D_ADDR@LEFT/LEFT;n=32/47;p=0.656566;r=0.941176;b=0.639311
dyky	D_ADDR+Y+K+Y	YES	1	1	2	2	dky	y	Y	6	0.540382784	dky+y=>Y@INNER/INNER;n=6/8;p=0.684211;r=0.750000;b=0.540383
