surface	occurrence_count	physical_pages	truth_recipe	candidate_count_capped	gdt523_rank	gdt523_top1	gdt524_rank	gdt524_top1	gdt524_top5	truth_gdt523_score	truth_consensus_feature	truth_gdt524_score	truth_consensus_trace	top1_gdt523_score	top1_consensus_feature	top1_gdt524_score	top1_consensus_trace	top1_alignment_trace	decision_change_class	working_policy
aiicthy	1	f31r	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	48	9	AIIN+CH+T+Y	9	AIIN+CH+T+Y	AIIN+CH+T+Y | IIN+CH+T+Y | AIIN+LOCAL_C+T+Y | A_ADDR+LOCAL_CHAR_I+CH+T+Y | A_ADDR+IIN+CH+T+Y	10.745123160	0.000000000	10.745123160	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	5.733798402	0.000000000	5.733798402	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	aii=>aiin~AIIN@edit2+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501	GDT523_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__TWO_DISTINCT_OLD_BASES_MUST_POSITIVELY_SUPPORT_THE_SAME_CANDIDATE
akar	1	f66r	A_ADDR+K+AR	11	1	A_ADDR+K+AR	1	A_ADDR+K+AR	A_ADDR+K+AR | K+A_ADDR+AR | A_ADDR+K+R | A_ADDR+A_ADDR+K+AR | A_ADDR+K+A_ADDR+R	3.830351983	0.000000000	3.830351983	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	3.830351983	0.000000000	3.830351983	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	a=>a~A_ADDR@edit0+alias0.000 | k=>k~K@edit0+alias0.000 | ar=>ar~AR@edit0+alias0.000	GDT523_CORRECT_PRESERVED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__TWO_DISTINCT_OLD_BASES_MUST_POSITIVELY_SUPPORT_THE_SAME_CANDIDATE
alkey	1	f66r	AL+K+E+Y	6	1	AL+K+E+Y	1	AL+K+E+Y	AL+K+E+Y | A_ADDR+L+K+E+Y | A_ADDR+AL+K+E+Y | AL+CH+Y+K+E | A_ADDR+L+CH+Y+K+E	3.942539772	0.000000000	3.942539772	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	3.942539772	0.000000000	3.942539772	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	al=>al~AL@edit0+alias0.000 | k=>k~K@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	GDT523_CORRECT_PRESERVED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__TWO_DISTINCT_OLD_BASES_MUST_POSITIVELY_SUPPORT_THE_SAME_CANDIDATE
axor	1	f66r	A_ADDR+LOCAL_X+OR	3	1	A_ADDR+LOCAL_X+OR	1	A_ADDR+LOCAL_X+OR	A_ADDR+LOCAL_X+OR | A_ADDR+LOCAL_X+O+R | A_ADDR+LOCAL_X+O+AR	3.377113959	0.000000000	3.377113959	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	3.377113959	0.000000000	3.377113959	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	a=>a~A_ADDR@edit0+alias0.000 | x=>x~LOCAL_X@edit0+alias0.000 | or=>or~OR@edit0+alias0.000	GDT523_CORRECT_PRESERVED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__TWO_DISTINCT_OLD_BASES_MUST_POSITIVELY_SUPPORT_THE_SAME_CANDIDATE
c	1	f66r	LOCAL_C	2	1	LOCAL_C	1	LOCAL_C	LOCAL_C | CH	3.334871375	0.000000000	3.334871375	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	3.334871375	0.000000000	3.334871375	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	c=>c~LOCAL_C@edit0+alias0.000	GDT523_CORRECT_PRESERVED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__TWO_DISTINCT_OLD_BASES_MUST_POSITIVELY_SUPPORT_THE_SAME_CANDIDATE
chady	1	f66r	CH+A_ADDR+DY	23	3	CH+DY	3	CH+DY	CH+DY | CH+A_ADDR+Y | CH+A_ADDR+DY | CH+D_ADDR+Y | CH+Y	6.072581093	0.000000000	6.072581093	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	4.887151731	0.000000000	4.887151731	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	cha=>cha~CH@edit0+alias0.268 | dy=>dy~DY@edit0+alias0.000	GDT523_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__TWO_DISTINCT_OLD_BASES_MUST_POSITIVELY_SUPPORT_THE_SAME_CANDIDATE
chap	1	f66r	CH+A_ADDR+P	5	2	CH+P	2	CH+P	CH+P | CH+A_ADDR+P | LOCAL_C+A_ADDR+P | LOCAL_C+SH+A_ADDR+P | CH+SH+A_ADDR+P	4.394574143	0.000000000	4.394574143	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	3.642233122	0.000000000	3.642233122	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	cha=>cha~CH@edit0+alias0.268 | p=>p~P@edit0+alias0.000	GDT523_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__TWO_DISTINCT_OLD_BASES_MUST_POSITIVELY_SUPPORT_THE_SAME_CANDIDATE
chckhedy	1	f66r	CH+CH+K+E+DY	100	1	CH+CH+K+E+DY	1	CH+CH+K+E+DY	CH+CH+K+E+DY | CH+K+E+DY | CH+CH+K+E+Y | CH+CH+K+E+D_ADDR+Y | CH+LOCAL_C+K+E+DY	4.042052192	0.000000000	4.042052192	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	4.042052192	0.000000000	4.042052192	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	ch=>ch~CH@edit0+alias0.000 | ckhe=>ckhe~CH+K+E@edit0+alias0.514 | dy=>dy~DY@edit0+alias0.000	GDT523_CORRECT_PRESERVED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__TWO_DISTINCT_OLD_BASES_MUST_POSITIVELY_SUPPORT_THE_SAME_CANDIDATE
chcpheor	1	f66r	CH+CH+P+E+OR	90	1	CH+CH+P+E+OR	1	CH+CH+P+E+OR	CH+CH+P+E+OR | CH+CH+P+E+O+R | CH+P+E+OR | LOCAL_C+CH+CH+P+E+OR | LOCAL_C+CH+P+E+OR	4.197994858	0.000000000	4.197994858	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	4.197994858	0.000000000	4.197994858	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	chcph=>chcph~CH+CH+P@edit0+alias0.500 | e=>e~E@edit0+alias0.000 | or=>or~OR@edit0+alias0.000	GDT523_CORRECT_PRESERVED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__TWO_DISTINCT_OLD_BASES_MUST_POSITIVELY_SUPPORT_THE_SAME_CANDIDATE
chctho	1	f66r	CH+CH+T+O	31	1	CH+CH+T+O	1	CH+CH+T+O	CH+CH+T+O | CH+T+O | CH+CH+T+SH+O | CH+LOCAL_C+T+O | CH+CH+T+O+D_ADDR	3.070681291	0.000000000	3.070681291	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	3.070681291	0.000000000	3.070681291	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	chcth=>chcth~CH+CH+T@edit0+alias0.507 | o=>o~O@edit0+alias0.000	GDT523_CORRECT_PRESERVED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__TWO_DISTINCT_OLD_BASES_MUST_POSITIVELY_SUPPORT_THE_SAME_CANDIDATE
