statement_id	page	record	owner_noun_de	clean_instruction_de	recoded_family_sequence	packed_recipe_sequence	packed_canonical_card_ids	predicted_cards	attested_packed_cards	unpacked_components	observed_recipe_sequence_after_reveal	observed_card_ids_after_reveal	observed_cards	card_count_delta	exact_recipe_sequence	exact_recipe_multiset	generation_contract
H1-S001	f10r	H1	die breite gezahnte Bluetenpflanze	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; Wasser entnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz anwenden.	Y+E+CH+OR+O+CTH+AR+T+AIR+CH+OT+Y+OL+AIIN+OK+E+T	CH+E+Y | CTH+O+OR | AR | UNPACKED(T) | CH+AIR | OT+Y | OL | OK+AIIN | UNPACKED(E) | UNPACKED(T)	PROC001 | PROC002 | PROC003 | NONE | PROC006 | PROC065 | PROC013 | PROC038 | NONE | NONE	10	7	T+E+T	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	PROC001 | PROC002 | PROC003 | PROC004 | PROC005 | PROC006 | PROC007 | PROC008 | PROC009 | PROC010	10	0	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
H1-S002	f10r	H1	die breite gezahnte Bluetenpflanze	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	Y+OK+OT+CH+OL+OL+CTH+SH	OK+Y | OT+CH+OL | OL | UNPACKED(CTH) | SH	PROC008 | PROC012 | PROC013 | NONE | PROC058	5	4	CTH	OK+Y | OT+CH+OL | OL | CTH+Y	PROC011 | PROC012 | PROC013 | PROC014	4	1	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
H2-S001	f10r	H2	die breite gezahnte Bluetenpflanze	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.	OR+E+CH+Y+CTH+SH+OR+AIIN+OL+Y	Y+CH+E+OR | UNPACKED(CTH) | SH | OR | AIIN | OL+Y	PROC015 | NONE | PROC058 | PROC016 | PROC009 | PROC154	6	5	CTH	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	PROC015 | PROC014 | PROC016 | PROC017 | PROC018 | PROC019 | PROC019 | PROC009 | PROC019	9	-3	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
H2-S002	f10r	H2	die breite gezahnte Bluetenpflanze	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren.	OT+OR+CH+OR+OL+AIIN+AR+OL	OT+CH+OR | OL+OR | AIIN | AR | OL	PROC020 | PROC022 | PROC009 | PROC003 | PROC013	5	5	NONE	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	PROC020 | PROC016 | PROC021 | PROC013 | PROC022 | PROC013 | PROC009 | PROC003	8	-3	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
H2-S003	f10r	H2	die breite gezahnte Bluetenpflanze	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Arbeitsstufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.	O+OR+K+OR+Y+IIN+OL+K+OT+O+AIIN+CH	UNPACKED(O) | OR | UNPACKED(K) | OR | Y | UNPACKED(IIN) | K+OL | UNPACKED(OT) | CH+O+AIIN	NONE | PROC016 | NONE | PROC016 | PROC019 | NONE | PROC054 | NONE | PROC025	9	5	O+K+IIN+OT	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	PROC023 | PROC016 | PROC016 | PROC019 | PROC024 | PROC019 | PROC025	7	2	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
H3-S001	f11r	H3	die dicht bluehende Kronenpflanze	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle weiter halten; auswringen, bis zum Sollmass halten, in den Empfaenger fuellen, laenger halten, entnehmen und den Schritt schliessen.	OR+AL+OL+SH+CFH+AIIN+SH+P+EE+SH+CH+DY	OR | AL | OL | SH | UNPACKED(CFH) | AIIN | SH | UNPACKED(P) | UNPACKED(EE) | SH | UNPACKED(CH) | UNPACKED(DY)	PROC016 | PROC055 | PROC013 | PROC058 | NONE | PROC009 | PROC058 | NONE | NONE | PROC058 | NONE | NONE	12	7	CFH+P+EE+CH+DY	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	PROC026 | PROC027 | PROC028 | PROC029 | PROC030 | PROC031 | PROC032	7	5	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
H3-S002	f11r	H3	die dicht bluehende Kronenpflanze	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und anwenden.	Y+O+SH+T	Y | UNPACKED(O) | SH | UNPACKED(T)	PROC019 | NONE | PROC058 | NONE	4	2	O+T	SH+O+Y+T+Y	PROC033	1	3	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
H3-S003	f11r	H3	die dicht bluehende Kronenpflanze	Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.	RESUME_CARD+Y+K+AIIN+OL	RESUME_CARD | Y+K+AIIN | OL	PROC034 | PROC044 | PROC013	3	3	NONE	RESUME_CARD | Y | K+Y | Y | AIIN	PROC034 | PROC019 | PROC035 | PROC019 | PROC009	5	-2	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
H3-S004	f11r	H3	die dicht bluehende Kronenpflanze	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.	OT+Y+OL+OK+CTH+SH	OT+Y | OK+OL | UNPACKED(CTH) | SH	PROC065 | PROC037 | NONE | PROC058	4	3	CTH	OT+Y | OK+OL | CTH+Y | Y	PROC036 | PROC037 | PROC014 | PROC019	4	0	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
H4-S001	f55v	H4	die breitblaettrige rispige Pflanze	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.	AIIN+OK+Y+AIN+OT+AN+K+O+DY	AIIN | OK+Y | AIN | UNPACKED(OT) | UNPACKED(AN) | UNPACKED(K) | O+DY	PROC009 | PROC008 | PROC156 | NONE | NONE | NONE | PROC041	7	4	OT+AN+K	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	PROC038 | PROC009 | PROC039 | PROC040 | PROC041	5	2	NO	NO	RECODED_COMPONENTS_PLUS_ATTESTED_173_CARD_DECK_ONLY
