statement_id	page	record	predicted_cards	observed_cards	card_count_delta	unpacked_components	packed_recipe_sequence	observed_recipe_sequence	repair_class
H1-S001	f10r	H1	10	10	0	T+E+T	CH+E+Y | CTH+O+OR | AR | UNPACKED(T) | CH+AIR | OT+Y | OL | OK+AIIN | UNPACKED(E) | UNPACKED(T)	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	SEMANTIC_CUE_GAP
H1-S002	f10r	H1	5	4	1	CTH	OK+Y | OT+CH+OL | OL | UNPACKED(CTH) | SH	OK+Y | OT+CH+OL | OL | CTH+Y	SEMANTIC_CUE_GAP
H2-S001	f10r	H2	6	9	-3	CTH	Y+CH+E+OR | UNPACKED(CTH) | SH | OR | AIIN | OL+Y	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	SEMANTIC_CUE_GAP
H2-S002	f10r	H2	5	8	-3	NONE	OT+CH+OR | OL+OR | AIIN | AR | OL	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	ALTERNATIVE_ATTESTED_PACKING
H2-S003	f10r	H2	9	7	2	O+K+IIN+OT	UNPACKED(O) | OR | UNPACKED(K) | OR | Y | UNPACKED(IIN) | K+OL | UNPACKED(OT) | CH+O+AIIN	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	SEMANTIC_CUE_GAP
H3-S001	f11r	H3	12	7	5	CFH+P+EE+CH+DY	OR | AL | OL | SH | UNPACKED(CFH) | AIIN | SH | UNPACKED(P) | UNPACKED(EE) | SH | UNPACKED(CH) | UNPACKED(DY)	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	SEMANTIC_CUE_GAP
H3-S002	f11r	H3	4	1	3	O+T	Y | UNPACKED(O) | SH | UNPACKED(T)	SH+O+Y+T+Y	SEMANTIC_CUE_GAP
H3-S003	f11r	H3	3	5	-2	NONE	RESUME_CARD | Y+K+AIIN | OL	RESUME_CARD | Y | K+Y | Y | AIIN	ALTERNATIVE_ATTESTED_PACKING
H3-S004	f11r	H3	4	4	0	CTH	OT+Y | OK+OL | UNPACKED(CTH) | SH	OT+Y | OK+OL | CTH+Y | Y	SEMANTIC_CUE_GAP
H4-S001	f55v	H4	7	5	2	OT+AN+K	AIIN | OK+Y | AIN | UNPACKED(OT) | UNPACKED(AN) | UNPACKED(K) | O+DY	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	SEMANTIC_CUE_GAP
