statement_id	packed_ordinal	input_span	packed_recipe	packed_card_id	attested	order_changed_inside_card
H1-S001	1	Y+E+CH	CH+E+Y	PROC001	YES	YES
H1-S001	2	OR+O+CTH	CTH+O+OR	PROC002	YES	YES
H1-S001	3	AR	AR	PROC003	YES	NO
H1-S001	4	T	UNPACKED(T)	NONE	NO	NO
H1-S001	5	AIR+CH	CH+AIR	PROC006	YES	YES
H1-S001	6	OT+Y	OT+Y	PROC065	YES	NO
H1-S001	7	OL	OL	PROC013	YES	NO
H1-S001	8	AIIN+OK	OK+AIIN	PROC038	YES	YES
H1-S001	9	E	UNPACKED(E)	NONE	NO	NO
H1-S001	10	T	UNPACKED(T)	NONE	NO	NO
H1-S002	1	Y+OK	OK+Y	PROC008	YES	YES
H1-S002	2	OT+CH+OL	OT+CH+OL	PROC012	YES	NO
H1-S002	3	OL	OL	PROC013	YES	NO
H1-S002	4	CTH	UNPACKED(CTH)	NONE	NO	NO
H1-S002	5	SH	SH	PROC058	YES	NO
H2-S001	1	OR+E+CH+Y	Y+CH+E+OR	PROC015	YES	YES
H2-S001	2	CTH	UNPACKED(CTH)	NONE	NO	NO
H2-S001	3	SH	SH	PROC058	YES	NO
H2-S001	4	OR	OR	PROC016	YES	NO
H2-S001	5	AIIN	AIIN	PROC009	YES	NO
H2-S001	6	OL+Y	OL+Y	PROC154	YES	NO
H2-S002	1	OT+OR+CH	OT+CH+OR	PROC020	YES	YES
H2-S002	2	OR+OL	OL+OR	PROC022	YES	YES
H2-S002	3	AIIN	AIIN	PROC009	YES	NO
H2-S002	4	AR	AR	PROC003	YES	NO
H2-S002	5	OL	OL	PROC013	YES	NO
H2-S003	1	O	UNPACKED(O)	NONE	NO	NO
H2-S003	2	OR	OR	PROC016	YES	NO
H2-S003	3	K	UNPACKED(K)	NONE	NO	NO
H2-S003	4	OR	OR	PROC016	YES	NO
H2-S003	5	Y	Y	PROC019	YES	NO
H2-S003	6	IIN	UNPACKED(IIN)	NONE	NO	NO
H2-S003	7	OL+K	K+OL	PROC054	YES	YES
H2-S003	8	OT	UNPACKED(OT)	NONE	NO	NO
H2-S003	9	O+AIIN+CH	CH+O+AIIN	PROC025	YES	YES
H3-S001	1	OR	OR	PROC016	YES	NO
