component_bag	canonical_recipe	canonical_card_id	canonical_events	alternative_recipes	exact_cards_with_bag	packing_rule
AIIN	AIIN	PROC009	20	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIN	AIN	PROC156	2	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL	AL	PROC055	10	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AR	AR	PROC003	5	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
HO	HO	PROC052	4	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
L	L	PROC072	2	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
OL	OL	PROC013	19	NONE	2	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
OR	OR	PROC016	7	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
OS	OS	PROC005	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
RESUME_CARD	RESUME_CARD	PROC034	2	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
SH	SH	PROC058	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
TALAM	TALAM	PROC043	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
Y	Y	PROC019	18	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+DY	AL+DY	PROC127	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AR+Y	AR+Y	PROC137	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CFH+Y	CFH+Y	PROC028	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIR+CH	CH+AIR	PROC006	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIN+CHD	CHD+AIN	PROC151	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIR+CHD	CHD+AIR	PROC150	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+CHD	CHD+AL	PROC168	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CHD+DY	CHD+DY	PROC076	4	NONE	2	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CHD+Y	CHD+Y	PROC042	11	NONE	2	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CKH+Y	CKH+Y	PROC075	4	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIIN+CTH	CTH+AIIN	PROC017	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CTH+Y	CTH+Y	PROC014	7	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
DA+IIN	DA+IIN	PROC169	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
E+OL	E+OL	PROC093	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AR+EE	EE+AR	PROC146	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
HO+Y	HO+Y	PROC056	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIN+K	K+AIN	PROC069	3	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIR+K	K+AIR	PROC068	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+K	K+AL	PROC062	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AR+K	K+AR	PROC165	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
IIN+K	K+IIN	PROC024	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
K+OL	K+OL	PROC054	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
K+Y	K+Y	PROC035	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIIN+L	L+AIIN	PROC147	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AR+L	L+AR	PROC121	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CHD+L	L+CHD	PROC102	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
DY+L	L+DY	PROC108	2	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
L+O	L+O	PROC140	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
L+OL	L+OL	PROC167	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
L+Y	L+Y	PROC095	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
LSH+O	LSH+O	PROC084	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
DY+O	O+DY	PROC041	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
IIN+O	O+IIN	PROC097	2	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIIN+OK	OK+AIIN	PROC038	9	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIN+OK	OK+AIN	PROC080	7	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIR+OK	OK+AIR	PROC138	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+OK	OK+AL	PROC048	6	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AR+OK	OK+AR	PROC113	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
OK+OL	OK+OL	PROC037	1	NONE	2	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
OK+Y	OK+Y	PROC008	10	NONE	2	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
DY+OL	OL+DY	PROC047	2	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
OL+OR	OL+OR	PROC022	2	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
OL+Y	OL+Y	PROC154	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIN+OR	OR+AIN	PROC050	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIIN+OT	OT+AIIN	PROC112	3	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+OT	OT+AL	PROC131	3	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AR+OT	OT+AR	PROC089	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
OL+OT	OT+OL	PROC021	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
OT+Y	OT+Y	PROC065	2	NONE	2	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
P+Y	P+Y	PROC030	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+R	R+AL	PROC081	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
OL+R	R+OL	PROC071	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+SHED	SHED+AL	PROC142	2	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
DY+SHED	SHED+DY	PROC078	12	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIIN+SOLK	SOLK+AIIN	PROC105	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
SOLK+Y	SOLK+Y	PROC087	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
T+Y	T+Y	PROC004	2	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIR+DY+Y	AIR+Y+DY	PROC162	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+CHD+DY	AL+CHD+DY	PROC144	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+OR+R	AL+R+OR	PROC148	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AL+CH+CKH	CH+CKH+AL	PROC163	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CH+E+S	CH+E+S	PROC124	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CH+E+Y	CH+E+Y	PROC001	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
AIIN+CH+O	CH+O+AIIN	PROC025	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CHK+E+Y	CHK+E+Y	PROC083	3	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CHK+DY+EE	CHK+EE+DY	PROC132	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CHK+EE+Y	CHK+EE+Y	PROC046	2	NONE	2	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CTH+E+Y	CTH+E+Y	PROC117	2	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
CTH+O+OR	CTH+O+OR	PROC002	1	NONE	1	ORDER_INSIDE_CARD_FROM_LEARNED_DECK__MEANING_CUES_MATCH_AS_MULTISET
