deck_order	component_id	short_value_de	reach_class	herbal_events	bio_events	astro_groups	prose_card_types	register_signature	teaching_status
1	OK	EINSETZEN	HERBAL_BIO_ASTRO_CORE	11	69	58	24	HERBAL|BIO|ASTRO	COMMON_CORE
2	OL	WEITER_GLEICHER_LAUF	HERBAL_BIO_ASTRO_CORE	9	33	17	19	HERBAL|BIO|ASTRO	COMMON_CORE
3	OT	FOLGEPOSTEN	HERBAL_BIO_ASTRO_CORE	8	18	32	16	HERBAL|BIO|ASTRO	COMMON_CORE
4	AR	VON_QUELLE	HERBAL_BIO_ASTRO_CORE	2	10	46	8	HERBAL|BIO|ASTRO	COMMON_CORE
5	AL	ZU_ZIEL	HERBAL_BIO_ASTRO_CORE	2	34	22	19	HERBAL|BIO|ASTRO	COMMON_CORE
6	L	AB	BIO_SPECIALIST	0	23	0	15	BIO	SECTION_ADDENDUM
7	P	ZU	BIO_SPECIALIST	0	2	0	2	BIO	SECTION_ADDENDUM
8	AIN	PORTION	HERBAL_BIO_ASTRO_CORE	2	13	8	6	HERBAL|BIO|ASTRO	COMMON_CORE
9	AN	ZWEITE_PORTION	HERBAL_ASTRO_BRIDGE	1	0	3	1	HERBAL|ASTRO	BRIDGE
10	AIIN	SOLLWERT	HERBAL_BIO_ASTRO_CORE	14	25	24	10	HERBAL|BIO|ASTRO	COMMON_CORE
11	IIN	STUFE	HERBAL_BIO_PROSE_CORE	1	3	0	3	HERBAL|BIO	BRIDGE
12	E	KURZ	BIO_ASTRO_BRIDGE	0	38	15	15	BIO|ASTRO	BRIDGE
13	EE	LANG	HERBAL_BIO_ASTRO_CORE	1	32	15	13	HERBAL|BIO|ASTRO	COMMON_CORE
14	EEE	VOLL	BIO_ASTRO_BRIDGE	0	2	3	2	BIO|ASTRO	BRIDGE
15	Y	DIES_AKTUELLER_POSTEN	HERBAL_BIO_ASTRO_CORE	29	70	97	39	HERBAL|BIO|ASTRO	COMMON_CORE
16	DY	SCHLUSS	HERBAL_BIO_ASTRO_CORE	1	64	43	27	HERBAL|BIO|ASTRO	COMMON_CORE
17	OR	BEDINGUNGSANSATZ	HERBAL_BIO_ASTRO_CORE	12	4	20	8	HERBAL|BIO|ASTRO	COMMON_CORE
18	HO	ZUTAT	HERBAL_ASTRO_BRIDGE	8	0	2	5	HERBAL|ASTRO	BRIDGE
19	CHEO	AUSZUG	HERBAL_SPECIALIST	3	0	0	3	HERBAL	SECTION_ADDENDUM
20	AIR	LAUF_BAHN	HERBAL_BIO_ASTRO_CORE	1	4	12	5	HERBAL|BIO|ASTRO	COMMON_CORE
21	CHED	ÜBERFÜHREN	HERBAL_BIO_ASTRO_CORE	1	39	9	16	HERBAL|BIO|ASTRO	COMMON_CORE
22	CHD	ÜBERFÜHREN	BIO_ASTRO_BRIDGE	0	7	1	5	BIO|ASTRO	BRIDGE
23	CTH	BEREIT	HERBAL_BIO_PROSE_CORE	5	9	0	7	HERBAL|BIO	BRIDGE
24	SHED	ABSETZEN	BIO_SPECIALIST	0	17	0	5	BIO	SECTION_ADDENDUM
25	CHK	WÄRMEN	HERBAL_BIO_ASTRO_CORE	1	6	2	4	HERBAL|BIO|ASTRO	COMMON_CORE
26	CKH	DURCHLASS	BIO_ASTRO_BRIDGE	0	9	5	6	BIO|ASTRO	BRIDGE
27	CKHE	SEIHEN	BIO_SPECIALIST	0	4	0	2	BIO	SECTION_ADDENDUM
28	SOLK	SAMMELN	BIO_SPECIALIST	0	6	0	4	BIO	SECTION_ADDENDUM
29	LSH	WASCHEN	BIO_SPECIALIST	0	3	0	2	BIO	SECTION_ADDENDUM
30	TY	TEIL	HERBAL_BIO_ASTRO_CORE	1	2	5	2	HERBAL|BIO|ASTRO	COMMON_CORE
31	CHO_INPUT	EINGABE	HERBAL_ASTRO_BRIDGE	8	0	22	5	HERBAL|ASTRO	BRIDGE
32	O_WITHDRAW	ZURUECKNEHMEN	BIO_SPECIALIST	0	2	0	2	BIO	SECTION_ADDENDUM
33	OS_RECEIVER	AUFNAHME	HERBAL_ASTRO_BRIDGE	1	0	2	1	HERBAL|ASTRO	BRIDGE
34	CH_POUR	ZUGIESSEN	HERBAL_SPECIALIST	1	0	0	1	HERBAL	SECTION_ADDENDUM
35	TCH_PREPARATION	BEREITUNG	HERBAL_SPECIALIST	1	0	0	1	HERBAL	SECTION_ADDENDUM
36	OYK_VESSEL	GEFAESS	HERBAL_SPECIALIST	1	0	0	1	HERBAL	SECTION_ADDENDUM
37	K_BINDER	ARGUMENTBINDER	HERBAL_BIO_ASTRO_CORE	7	1	2	8	HERBAL|BIO|ASTRO	COMMON_CORE
38	YTY_PART	FOLGETEIL	HERBAL_SPECIALIST	2	0	0	2	HERBAL	SECTION_ADDENDUM
39	SHFY_DURATION	STEHZEIT	HERBAL_SPECIALIST	1	0	0	1	HERBAL	SECTION_ADDENDUM
40	D_PREVIOUS	VORIGER	HERBAL_SPECIALIST	2	0	0	1	HERBAL	SECTION_ADDENDUM
