surface	candidate_recipe	gdt529_rank	exact_card_tiling_route_count	preferred_surface_tiling	preserves_exact_terminal_odas	nested_das_odas_certificate	decision
dairykodas	D_ADDR+AIR+Y+K+O+DA+S	1	4	dair|y|k|odas	YES	YES	SELECT_NESTED_EXACT_ODAS_TAIL
dairykodas	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	2	8	dair|y|kod|as	NO	NO	REPLACE_RIVAL_SPLITS_EXACT_ODAS_TAIL
dairykodas	AIR+Y+K+O+DA+S	3	0	NONE	NO	NO	RETAIN_ALTERNATIVE
dairykodas	D_ADDR+AIR+Y+K+O+D_ADDR+S	4	0	NONE	NO	NO	RETAIN_ALTERNATIVE
dairykodas	AIR+Y+K+O+D_ADDR+A_ADDR+S	5	0	NONE	NO	NO	RETAIN_ALTERNATIVE
dairykodas	D_ADDR+AIR+Y+K+O+DA+SH	6	0	NONE	NO	NO	RETAIN_ALTERNATIVE
dairykodas	AIR+Y+K+O+D_ADDR+S	7	0	NONE	NO	NO	RETAIN_ALTERNATIVE
dairykodas	D_ADDR+AIR+A_ADDR+Y+K+O+DA+S	8	0	NONE	NO	NO	RETAIN_ALTERNATIVE
dairykodas	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR	9	0	NONE	NO	NO	RETAIN_ALTERNATIVE
dairykodas	D_ADDR+AIR+Y+K+O+D_ADDR+Y	10	0	NONE	NO	NO	RETAIN_ALTERNATIVE
dairykodas	AIR+Y+K+O+D_ADDR+A_ADDR	11	0	NONE	NO	NO	RETAIN_ALTERNATIVE
dairykodas	D_ADDR+AIR+Y+K+O+DA+LOCAL_CHAR_I+S	12	0	NONE	NO	NO	RETAIN_ALTERNATIVE
