event_id	physical_page	locus	card_ordinal_in_statement	surface	recipe	literal_reading_de	relation
G515-E0358	f66r	f66r.57	1	tocpheey	T+O+CH+P+EE+Y	EINSTELLEN · [O:STEUERUNG=AUSFÜHRUNG] · NEHMEN · EINSETZEN · [EE:STEUERUNG=GRAD II] · POSTEN	CONTEXT
G515-E0359	f66r	f66r.57	2	dol	D_ADDR+OL	[D_ADDR:STEUERUNG=HIER] · FORTSETZEN	CONTEXT
G515-E0360	f66r	f66r.57	3	kchody	K+CH+O+D_ADDR+Y	GEBEN · NEHMEN · [O:STEUERUNG=AUSFÜHRUNG] · [D_ADDR:STEUERUNG=HIER] · POSTEN	CONTEXT
G515-E0361	f66r	f66r.57	4	qokeody	OK+E+O+D_ADDR+Y	SETZEN · [E:STEUERUNG=GRAD I] · [O:STEUERUNG=AUSFÜHRUNG] · [D_ADDR:STEUERUNG=HIER] · POSTEN	CONTEXT
G515-E0362	f66r	f66r.57	5	qokshy	OK+SH+Y	SETZEN · HALTEN · POSTEN	CONTEXT
G515-E0363	f66r	f66r.57	6	qopaiin	CARRIER_Q+O+P+AIIN	[CARRIER_Q:STEUERUNG=BEGINNMARKER] · [O:STEUERUNG=AUSFÜHRUNG] · EINSETZEN · WERT	CONTEXT
G515-E0364	f66r	f66r.57	7	dairykodas	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	[D_ADDR:STEUERUNG=HIER] · BAHN · POSTEN · GEBEN · [O:STEUERUNG=AUSFÜHRUNG] · [D_ADDR:STEUERUNG=HIER] · [A_ADDR:STEUERUNG=HIER] · WÄHLEN	TARGET
G515-E0365	f66r	f66r.57	8	okyd	OK+Y+D_ADDR	SETZEN · POSTEN · [D_ADDR:STEUERUNG=HIER]	CONTEXT
G515-E0366	f66r	f66r.58	9	dsholdaiir	D_ADDR+SH+OL+D_ADDR+IIN+R	[D_ADDR:STEUERUNG=HIER] · HALTEN · FORTSETZEN · [D_ADDR:STEUERUNG=HIER] · [IIN:STEUERUNG=STUFE] · MARKIEREN	CONTEXT
G515-E0367	f66r	f66r.58	10	dalky	AL+K+Y	ZIELORT · GEBEN · POSTEN	CONTEXT
G515-E0368	f66r	f66r.58	11	shky	SH+K+Y	HALTEN · GEBEN · POSTEN	CONTEXT
G515-E0369	f66r	f66r.58	12	qoky	OK+Y	SETZEN · POSTEN	CONTEXT
G515-E0370	f66r	f66r.58	13	shekair	SH+E+K+AIR	HALTEN · [E:STEUERUNG=GRAD I] · GEBEN · BAHN	CONTEXT
G515-E0371	f66r	f66r.58	14	choty	CH+OT+Y	NEHMEN · DANACH · POSTEN	CONTEXT
G515-E0372	f66r	f66r.58	15	dar	D_ADDR+AR	[D_ADDR:STEUERUNG=HIER] · AUSGANG	CONTEXT
G515-E0373	f66r	f66r.58	16	okeey	OK+EE+Y	SETZEN · [EE:STEUERUNG=GRAD II] · POSTEN	CONTEXT
G515-E0374	f66r	f66r.58	17	shdy	SH+D_ADDR+Y	HALTEN · [D_ADDR:STEUERUNG=HIER] · POSTEN	CONTEXT
G515-E0375	f66r	f66r.58	18	ykol	Y+K+OL	POSTEN · GEBEN · FORTSETZEN	CONTEXT
G515-E0376	f66r	f66r.59	19	qo	O	[O:STEUERUNG=AUSFÜHRUNG]	CONTEXT
G515-E0377	f66r	f66r.59	20	cheky	CH+K+E+Y	NEHMEN · GEBEN · [E:STEUERUNG=GRAD I] · POSTEN	CONTEXT
G515-E0378	f66r	f66r.59	21	shcthy	SH+CH+T+Y	HALTEN · NEHMEN · EINSTELLEN · POSTEN	CONTEXT
G515-E0379	f66r	f66r.59	22	dalalshedy	AL+AL+SH+E+DY	ZIELORT · ZIELORT · HALTEN · [E:STEUERUNG=GRAD I] · [DY:STEUERUNG=SCHLUSS]	CONTEXT
