family	contrast_pair	frozen_frame	left_root	left_meaning_de	left_event_count	left_page_count	left_pages	left_registers	left_surfaces	right_root	right_meaning_de	right_event_count	right_page_count	right_pages	right_registers	right_surfaces	reading_rule_de
SELECT	CH~S	@ACTION	CH	NEHMEN	2	2	f55v|f75r	BIOLOGICAL|HERBAL	ch	S	WÄHLEN	38	17	f11r|f13r|f1r|f55v|f56r|f67r2|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	s	Gleicher Rahmen; CH liest NEHMEN, S liest WÄHLEN
SELECT	CH~S	@ACTION+AIIN	CH	NEHMEN	5	4	f10r|f11r|f55v|f89r	HERBAL|PHARMA	chaiin|chtaii	S	WÄHLEN	21	10	f67r2|f72r|f75r|f76r|f77r|f81v|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	saii|saiin	Gleicher Rahmen; CH liest NEHMEN, S liest WÄHLEN
SELECT	CH~S	@ACTION+AIR	CH	NEHMEN	1	1	f10r	HERBAL	chair	S	WÄHLEN	2	2	f1r|f83r	BIOLOGICAL|SOURCE_SECTION_T	sair	Gleicher Rahmen; CH liest NEHMEN, S liest WÄHLEN
SELECT	CH~S	@ACTION+AL	CH	NEHMEN	8	7	f1r|f56r|f71v|f72r|f75r|f76r|f81v	BIOLOGICAL|CELESTIAL|HERBAL|SOURCE_SECTION_T	chal	S	WÄHLEN	10	7	f67r2|f72r|f75r|f76r|f77r|f81v|f82r	BIOLOGICAL|CELESTIAL	sal	Gleicher Rahmen; CH liest NEHMEN, S liest WÄHLEN
SELECT	CH~S	@ACTION+AM_ADDR	CH	NEHMEN	2	2	f77r|f89r	BIOLOGICAL|PHARMA	cham|cheamy	S	WÄHLEN	3	2	f83r|f88r	BIOLOGICAL|PHARMA	sam	Gleicher Rahmen; CH liest NEHMEN, S liest WÄHLEN
SELECT	CH~S	@ACTION+A_ADDR	CH	NEHMEN	1	1	f1r	SOURCE_SECTION_T	cha	S	WÄHLEN	1	1	f77r	BIOLOGICAL	sa	Gleicher Rahmen; CH liest NEHMEN, S liest WÄHLEN
SELECT	CH~S	@ACTION+CH+K+E+Y	CH	NEHMEN	4	3	f76r|f77r|f82r	BIOLOGICAL	chckheed|chckhey	S	WÄHLEN	1	1	f1r	SOURCE_SECTION_T	sckhey	Gleicher Rahmen; CH liest NEHMEN, S liest WÄHLEN
SELECT	CH~S	@ACTION+K+AL	CH	NEHMEN	3	3	f72r|f75r|f81v	BIOLOGICAL|CELESTIAL	chekal|chkal|ckhal	S	WÄHLEN	1	1	f83r	BIOLOGICAL	skal	Gleicher Rahmen; CH liest NEHMEN, S liest WÄHLEN
SELECT	CH~S	@ACTION+L	CH	NEHMEN	1	1	f77r	BIOLOGICAL	chl	S	WÄHLEN	2	2	f55v|f77r	BIOLOGICAL|HERBAL	sl	Gleicher Rahmen; CH liest NEHMEN, S liest WÄHLEN
SELECT	CH~S	@ACTION+OR	CH	NEHMEN	23	10	f10r|f13r|f17r|f18r|f1r|f24v|f56r|f88r|f88v|f89r	HERBAL|PHARMA|SOURCE_SECTION_T	chor	S	WÄHLEN	9	7	f10r|f67r2|f72r|f75r|f76r|f81r|f83r	BIOLOGICAL|CELESTIAL|HERBAL	sor|sosor	Gleicher Rahmen; CH liest NEHMEN, S liest WÄHLEN
SELECT	CH~S	@ACTION+OT+Y	CH	NEHMEN	4	4	f11r|f1r|f56r|f72r	CELESTIAL|HERBAL|SOURCE_SECTION_T	choty	S	WÄHLEN	1	1	f13r	HERBAL	sotchy	Gleicher Rahmen; CH liest NEHMEN, S liest WÄHLEN
SELECT	CH~S	OK+@ACTION+Y	CH	NEHMEN	2	2	f18r|f56r	HERBAL	chokchy	S	WÄHLEN	1	1	f56r	HERBAL	choksy	Gleicher Rahmen; CH liest NEHMEN, S liest WÄHLEN
MOVE_SET	K~OK	@ACTION	K	GEBEN	4	3	f13r|f24v|f95v	HERBAL	k	OK	SETZEN	5	4	f1r|f24v|f56r|f75r	BIOLOGICAL|HERBAL|SOURCE_SECTION_T	chok|ok	Gleicher Rahmen; K liest GEBEN, OK liest SETZEN
