attachment_contact_id	window_id	dispatch_id	patch_id	page	locus	target_ordinal	target_surface	opaque_head_id	line_position	target_family	target_level	target_favored_axis	target_dimension	target_prior_state_mode	selected_roles	side	signed_offset	distance	neighbor_ordinal	neighbor_surface	formal_role_direction_match	guarded_reader_exact_pair_occurrences	guarded_reader_exact_full_frame_occurrences	intervening_surface	intervening_emits_own_unit	intervening_strict_initial_head	intervening_another_gdt738_target	target_wanted_carrier_set	host_quality_set	host_carrier_set	host_scalar_class_set	host_boundary_set	host_axis_signature	middle_quality_set	middle_carrier_set	middle_scalar_class_set	middle_boundary_set	middle_axis_signature	middle_reader_exact	middle_known	middle_positive_host_eligible	middle_ineligibility_reasons	middle_barrier	axis_continuity	carrier_continuity	predicted_axis_role_retained	predicted_carrier_role_retained	gdt742_axis_role_retained	gdt742_carrier_role_retained	gdt742_renderer_role_retained	common_frame_recomputed	full_carrier_continuity_recomputed	gdt742_rule_trace	axis_changed_from_gdt741	carrier_changed_from_gdt741	role_changed_from_gdt741	dispatcher_uses_dispatch_id_or_locus	literal_plaintext_claimed	component_export_credit
G740-C0001	G739-N00004	G739-D0001	G738-P0001	f111v	f111v.31	5	lain	H4	MIDDLE	SCALAR	II	OPEN	QUALITY_DEGREE	NOT_APPLICABLE	AXIS+CARRIER	L	-1	1	4	cheal	1	1	1	NONE	0	0	0	MATERIAL	DRY	MATERIAL	QUALITY_DEGREE	NONE	QUALITY:DRY	NA	NA	NA	NA	NA	NA	0	NA	NA	NOT_APPLICABLE	NONE	NONE	1	1	1	1	1	0	1	GDT741_DIRECT_INHERITED	0	0	0	0	0	0
G740-C0002	G739-N00017	G739-D0003	G738-P0003	f116r	f116r.17	5	lain	H4	MIDDLE	SCALAR	II	OPEN	QUALITY_DEGREE	NOT_APPLICABLE	AXIS	L	-2	2	3	qokeey	1	1	1	okeey	1	0	0	NONE	HOT	NONE	QUALITY_DEGREE	NONE	QUALITY:HOT	HOT	PREPARATION	QUALITY_DEGREE	NONE	QUALITY:HOT	1	1	0	BELOW_W2_OR_NA	OPEN	EXACT_SINGLE	NONE	1	0	1	0	1	1	0	STRICT_AXIS_RELAY	0	0	0	0	0	0
G740-C0003	G739-N00026	G739-D0004	G738-P0004	f46r	f46r.13	8	lain	H4	MIDDLE	SCALAR	II	OPEN	OPEN_SCALAR	NOT_APPLICABLE	CARRIER	L	-1	1	7	ols	1	1	1	NONE	0	0	0	MATERIAL	NONE	MATERIAL	NONE	NONE	NONE	NA	NA	NA	NA	NA	NA	0	NA	NA	NOT_APPLICABLE	NONE	NONE	0	1	0	1	1	0	1	GDT741_DIRECT_INHERITED	0	0	0	0	0	0
G740-C0004	G739-N00032	G739-D0005	G738-P0005	f103r	f103r.47	6	lcheedy	H4	MIDDLE	STATE_RESULT	II	DRY	PROCESS_RESULT_AXIS_OPEN	PROCESS_RESULT	CARRIER	L	-1	1	5	qokaly	1	1	1	NONE	0	0	0	MATERIAL	HOT	MATERIAL	NONE	PROCESS	NONE	NA	NA	NA	NA	NA	NA	0	NA	NA	NOT_APPLICABLE	NONE	NONE	0	1	0	1	1	0	1	GDT741_DIRECT_INHERITED	0	0	0	0	0	0
G740-C0005	G739-N00035	G739-D0006	G738-P0006	f104v	f104v.20	3	lcheedy	H4	MIDDLE	STATE_RESULT	II	DRY	PROCESS_RESULT_AXIS_OPEN	PROCESS_RESULT	CARRIER	L	-1	1	2	sheeo	1	1	1	NONE	0	0	0	PREPARATION	NONE	PREPARATION	NONE	NONE	NONE	NA	NA	NA	NA	NA	NA	0	NA	NA	NOT_APPLICABLE	NONE	NONE	0	1	0	1	1	0	1	GDT741_DIRECT_INHERITED	0	0	0	0	0	0
G740-C0006	G739-N00078	G739-D0013	G738-P0013	f111v	f111v.23	6	lcheol	H4	MIDDLE	STATE	NA	DRY	QUALITY_STATE_DRY_LOCAL	QUALITY_STATE	AXIS+CARRIER	L	-1	1	5	chckhedy	1	1	1	NONE	0	0	0	PREPARATION	DRY	PREPARATION	QUALITY_DEGREE	CLOSE	STATE:DRY	NA	NA	NA	NA	NA	NA	0	NA	NA	NOT_APPLICABLE	NONE	NONE	0	1	0	1	1	0	1	GDT741_DIRECT_INHERITED	0	0	0	0	0	0
G740-C0007	G739-N00091	G739-D0015	G738-P0015	f78v	f78v.17	4	lcheol	H4	MIDDLE	STATE	NA	DRY	QUALITY_STATE_DRY_LOCAL	QUALITY_STATE	AXIS+CARRIER	R	2	2	6	dchdy	0	1	0	lchdy	1	1	0	MATERIAL	DRY	MATERIAL	AMOUNT_DOSE	CLOSE|PROCESS	STATE:DRY	DRY	MATERIAL	NONE	NONE	STATE:DRY	0	1	0	READER_VARIANT|OPAQUE_INITIAL_HEAD|RETIRED_LITERAL_PATIENT	STRICT_HEAD	NONE	FULL_WANTED	0	0	0	0	0	0	1	R2_HOLD	0	0	0	0	0	0
G740-C0008	G739-N00095	G739-D0016	G738-P0016	f79r	f79r.34	1	lcheol	H4	FIRST	STATE	NA	DRY	QUALITY_STATE_DRY_LOCAL	QUALITY_STATE	AXIS	R	1	1	2	kchedy	0	1	1	NONE	0	0	0	NONE	DRY|HOT	NONE	QUALITY_DEGREE	CLOSE	STATE:DRY	NA	NA	NA	NA	NA	NA	0	NA	NA	NOT_APPLICABLE	NONE	NONE	1	0	1	0	1	0	0	GDT741_DIRECT_INHERITED	0	0	0	0	0	0
G740-C0009	G739-N00161	G739-D0025	G738-P0025	f104v	f104v.13	8	lkaiin	H4	MIDDLE	SCALAR	III	HOT	OPEN_SCALAR	NOT_APPLICABLE	CARRIER	L	-1	1	7	cheo	1	1	1	NONE	0	0	0	PREPARATION	DRY	PREPARATION	NONE	NONE	NONE	NA	NA	NA	NA	NA	NA	0	NA	NA	NOT_APPLICABLE	NONE	NONE	0	1	0	1	1	0	1	GDT741_DIRECT_INHERITED	0	0	0	0	0	0
G740-C0010	G739-N00168	G739-D0026	G738-P0026	f105r	f105r.15	7	lkaiin	H4	MIDDLE	SCALAR	III	HOT	QUALITY_DEGREE	NOT_APPLICABLE	AXIS	L	-2	2	5	okeedy	1	1	1	olkeeody	1	0	0	MATERIAL|PREPARATION	HOT	PREPARATION	QUALITY_DEGREE	CLOSE	QUALITY:HOT	NONE	MATERIAL	NONE	NONE	NONE	1	1	0	RETIRED_LITERAL_PATIENT	OPEN	NONE	NONE	0	0	0	0	0	1	0	R2_HOLD	0	0	0	0	0	0
G740-C0011	G739-N00170	G739-D0026	G738-P0026	f105r	f105r.15	7	lkaiin	H4	MIDDLE	SCALAR	III	HOT	QUALITY_DEGREE	NOT_APPLICABLE	CARRIER	R	1	1	8	okeeol	0	1	1	NONE	0	0	0	MATERIAL|PREPARATION	HOT	MATERIAL|PREPARATION	NONE	NONE	NONE	NA	NA	NA	NA	NA	NA	0	NA	NA	NOT_APPLICABLE	NONE	NONE	0	1	0	1	1	0	1	GDT741_DIRECT_INHERITED	0	0	0	0	0	0
