feature_class_id	feature_signature	contacts	targets	member_contact_ids_audit_only	member_dispatch_ids_audit_only	gdt741_role_patterns	gdt742_role_patterns	new_carrier_promotions	class_status	repeated_feature_class	literal_plaintext_claimed
G742-K01	selected_roles=AXIS;formal_role_direction_match=0;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=0;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=UNKNOWN;axis_continuity=NONE;carrier_continuity=NONE	1	1	G740-C0101	G739-D0201	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K02	selected_roles=AXIS;formal_role_direction_match=0;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=CLOSE;axis_continuity=CONFLICT;carrier_continuity=NONE	1	1	G740-C0024	G739-D0044	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K03	selected_roles=AXIS;formal_role_direction_match=0;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=CLOSE;axis_continuity=NONE;carrier_continuity=NONE	1	1	G740-C0080	G739-D0158	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K04	selected_roles=AXIS;formal_role_direction_match=0;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=OPEN;axis_continuity=NONE;carrier_continuity=NONE	1	1	G740-C0067	G739-D0135	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K05	selected_roles=AXIS;formal_role_direction_match=1;guarded_reader_exact_full_frame_occurrences=0;middle_reader_exact=0;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=CLOSE;axis_continuity=EXACT_SINGLE;carrier_continuity=NONE	1	1	G740-C0016	G739-D0031	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K06	selected_roles=AXIS;formal_role_direction_match=1;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=0;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=UNKNOWN;axis_continuity=NONE;carrier_continuity=NONE	1	1	G740-C0091	G739-D0183	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K07	selected_roles=AXIS;formal_role_direction_match=1;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=OPEN;axis_continuity=CONFLICT;carrier_continuity=NONE	2	2	G740-C0073|G740-C0083	G739-D0142|G739-D0161	A0C0	A0C0	0	REPEATED_HOLD_CLASS	1	0
G742-K08	selected_roles=AXIS;formal_role_direction_match=1;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=OPEN;axis_continuity=EXACT_SINGLE;carrier_continuity=NONE	1	1	G740-C0002	G739-D0003	A1C0	A1C0	0	ACTIVE_STRICT_CLASS	0	0
G742-K09	selected_roles=AXIS;formal_role_direction_match=1;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=OPEN;axis_continuity=NONE;carrier_continuity=FULL_WANTED	1	1	G740-C0027	G739-D0054	A0C0	A0C0	0	SINGLETON_HOLD_CLASS	0	0
G742-K10	selected_roles=AXIS;formal_role_direction_match=1;guarded_reader_exact_full_frame_occurrences=1;middle_reader_exact=1;middle_known=1;intervening_emits_own_unit=1;intervening_strict_initial_head=0;intervening_another_gdt738_target=0;middle_barrier=OPEN;axis_continuity=NONE;carrier_continuity=NONE	4	4	G740-C0010|G740-C0046|G740-C0075|G740-C0096	G739-D0026|G739-D0084|G739-D0144|G739-D0193	A0C0	A0C0	0	REPEATED_HOLD_CLASS	1	0
