field_id	pair_position	left_card_id	left_value_de	left_drawer	right_card_id	right_value_de	right_drawer	exact_bigram_occurrences	exact_example_statement	drawer_bigram_occurrences	drawer_example_statement	support_class
N01	1	MC071	Wurzel	GANZKARTE	MC159	Aufnahmegefäß	GANZKARTE	0	NONE	2	H3-S001	THIN_DRAWER_RECOMBINATION
N01	2	MC159	Aufnahmegefäß	GANZKARTE	MC034	weitere Zutat	STOFF_POSTEN	0	NONE	3	H2-S003	SUPPORTED_DRAWER_RECOMBINATION
N01	3	MC034	weitere Zutat	STOFF_POSTEN	MC080	Ansatz	STOFF_POSTEN	0	NONE	2	H2-S003	THIN_DRAWER_RECOMBINATION
N01	4	MC080	Ansatz	STOFF_POSTEN	MC039	Sollmaß	MENGE_STUFE	0	NONE	2	H2-S001	THIN_DRAWER_RECOMBINATION
N01	5	MC039	Sollmaß	MENGE_STUFE	MC147	kurz wärmen	ZUSTAND_DAUER	1	B4-S011	8	H1-S001	DIRECT_EXACT_BIGRAM
N01	6	MC147	kurz wärmen	ZUSTAND_DAUER	MC128	kurz absetzen; Schluss	ABSCHLUSS	0	NONE	12	B1-S012	SUPPORTED_DRAWER_RECOMBINATION
N02	1	MC142	vom vorigen	GANZKARTE	MC055	davon	WEG_QUELLE_ZIEL	0	NONE	3	H1-S001	SUPPORTED_DRAWER_RECOMBINATION
N02	2	MC055	davon	WEG_QUELLE_ZIEL	MC105	Portion	MENGE_STUFE	0	NONE	9	H5-S001	SUPPORTED_DRAWER_RECOMBINATION
N02	3	MC105	Portion	MENGE_STUFE	MC154	dorthin	WEG_QUELLE_ZIEL	0	NONE	17	H2-S002	SUPPORTED_DRAWER_RECOMBINATION
N02	4	MC154	dorthin	WEG_QUELLE_ZIEL	MC025	überführen; Schluss	ABSCHLUSS	0	NONE	12	B1-S002	SUPPORTED_DRAWER_RECOMBINATION
N03	1	MC157	derselbe Ansatz	REIHENFOLGE	MC097	weiterer Anteil	MENGE_STUFE	0	NONE	8	H2-S002	SUPPORTED_DRAWER_RECOMBINATION
N03	2	MC097	weiterer Anteil	MENGE_STUFE	MC153	weiter	REIHENFOLGE	0	NONE	5	H2-S001	SUPPORTED_DRAWER_RECOMBINATION
N03	3	MC153	weiter	REIHENFOLGE	MC103	weiterbearbeiten	HANDLUNG_VERWEIS	0	NONE	3	H1-S001	SUPPORTED_DRAWER_RECOMBINATION
N03	4	MC103	weiterbearbeiten	HANDLUNG_VERWEIS	MC161	bereit	ZUSTAND_DAUER	0	NONE	1	B1-S012	THIN_DRAWER_RECOMBINATION
N04	1	MC013	Folgeansatz	REIHENFOLGE	MC017	Anteil zugeben	MENGE_STUFE	0	NONE	8	H2-S002	SUPPORTED_DRAWER_RECOMBINATION
N04	2	MC017	Anteil zugeben	MENGE_STUFE	MC120	bemessen	MENGE_STUFE	0	NONE	7	H4-S001	SUPPORTED_DRAWER_RECOMBINATION
N04	3	MC120	bemessen	MENGE_STUFE	MC040	dorthin einsetzen	WEG_QUELLE_ZIEL	0	NONE	17	H2-S002	SUPPORTED_DRAWER_RECOMBINATION
N04	4	MC040	dorthin einsetzen	WEG_QUELLE_ZIEL	MC005	einführen; Schluss	ABSCHLUSS	0	NONE	12	B1-S002	SUPPORTED_DRAWER_RECOMBINATION
N05	1	MC129	auswringen	GANZKARTE	MC111	Stehzeit	MENGE_STUFE	1	H3-S001	3	H3-S001	DIRECT_EXACT_BIGRAM
N05	2	MC111	Stehzeit	MENGE_STUFE	MC156	nachseihen	GANZKARTE	1	H3-S001	3	H3-S001	DIRECT_EXACT_BIGRAM
N05	3	MC156	nachseihen	GANZKARTE	MC119	Klarlauf	GANZKARTE	1	H3-S001	2	H3-S001	DIRECT_EXACT_BIGRAM
N05	4	MC119	Klarlauf	GANZKARTE	MC045	lange sammeln; Schluss	ABSCHLUSS	0	NONE	1	B1-S015	THIN_DRAWER_RECOMBINATION
N06	1	MC138	Frischwasser zugeben; Schluss	GANZKARTE	MC093	danach dorthin	WEG_QUELLE_ZIEL	0	NONE	3	H1-S001	SUPPORTED_DRAWER_RECOMBINATION
N06	2	MC093	danach dorthin	WEG_QUELLE_ZIEL	MC035	durchleiten	WEG_QUELLE_ZIEL	0	NONE	13	H3-S001	SUPPORTED_DRAWER_RECOMBINATION
N06	3	MC035	durchleiten	WEG_QUELLE_ZIEL	MC002	lange einwirken	ZUSTAND_DAUER	0	NONE	6	H4-S003	SUPPORTED_DRAWER_RECOMBINATION
N06	4	MC002	lange einwirken	ZUSTAND_DAUER	MC057	Folgetransfer; Schluss	ABSCHLUSS	0	NONE	12	B1-S012	SUPPORTED_DRAWER_RECOMBINATION
