dataset	language	condition	category	category_types	all_member_stable_types	all_member_stable_type_fraction	mean_oracle_type_accuracy	mean_oracle_held_weighted_accuracy
synthetic_control	latin_control	coupled	L	42	38	0.9047619047619048	0.9246031746031746	0.9290252314394628
synthetic_control	latin_control	coupled	D	4	4	1.0	1.0	1.0
synthetic_control	latin_control	coupled	S	34	20	0.5882352941176471	0.7696078431372549	0.6792624180683883
synthetic_control	latin_control	coupled	N	7	7	1.0	1.0	1.0
synthetic_control	latin_control	coupled	W	11	11	1.0	0.0	0.0
target	latin	uncoupled	L	42	9	0.21428571428571427	<NA>	<NA>
target	latin	uncoupled	D	4	2	0.5	<NA>	<NA>
target	latin	uncoupled	S	34	0	0.0	<NA>	<NA>
target	latin	uncoupled	N	7	7	1.0	<NA>	<NA>
target	latin	uncoupled	W	11	1	0.09090909090909091	<NA>	<NA>
target	latin	coupled	L	42	11	0.2619047619047619	<NA>	<NA>
target	latin	coupled	D	4	3	0.75	<NA>	<NA>
target	latin	coupled	S	34	1	0.029411764705882353	<NA>	<NA>
target	latin	coupled	N	7	7	1.0	<NA>	<NA>
target	latin	coupled	W	11	11	1.0	<NA>	<NA>
target	old_italian	uncoupled	L	42	3	0.07142857142857142	<NA>	<NA>
target	old_italian	uncoupled	D	4	2	0.5	<NA>	<NA>
target	old_italian	uncoupled	S	34	0	0.0	<NA>	<NA>
target	old_italian	uncoupled	N	7	7	1.0	<NA>	<NA>
target	old_italian	uncoupled	W	11	1	0.09090909090909091	<NA>	<NA>
target	old_italian	coupled	L	42	11	0.2619047619047619	<NA>	<NA>
target	old_italian	coupled	D	4	4	1.0	<NA>	<NA>
target	old_italian	coupled	S	34	0	0.0	<NA>	<NA>
target	old_italian	coupled	N	7	7	1.0	<NA>	<NA>
target	old_italian	coupled	W	11	9	0.8181818181818182	<NA>	<NA>
target	middle_high_german	uncoupled	L	42	8	0.19047619047619047	<NA>	<NA>
target	middle_high_german	uncoupled	D	4	2	0.5	<NA>	<NA>
target	middle_high_german	uncoupled	S	34	1	0.029411764705882353	<NA>	<NA>
target	middle_high_german	uncoupled	N	7	7	1.0	<NA>	<NA>
target	middle_high_german	uncoupled	W	11	1	0.09090909090909091	<NA>	<NA>
target	middle_high_german	coupled	L	42	14	0.3333333333333333	<NA>	<NA>
target	middle_high_german	coupled	D	4	2	0.5	<NA>	<NA>
target	middle_high_german	coupled	S	34	2	0.058823529411764705	<NA>	<NA>
target	middle_high_german	coupled	N	7	7	1.0	<NA>	<NA>
target	middle_high_german	coupled	W	11	11	1.0	<NA>	<NA>
