unit	category	category_rank	occurrences	frequency_quantile	standalone_fraction	start_fraction	end_fraction	internal_fraction	left_entropy	right_entropy	word_anchor_score	null_anchor_score	double_anchor_score	syllable_anchor_score
ol	D	3	1825	1.0	0.12054794520547946	0.3698630136986301	0.5271232876712328	0.22356164383561644	0.676790457909618	0.5605883111297226	0.5731506849315069	0.8472299332312969	0.4426397599865647	0.9296282878628382
y	S	2	1554	0.9897959183673469	0.043758043758043756	0.2728442728442728	0.711068211068211	0.059845559845559844	0.7597744757865107	0.40204313469198466	0.23708953851810993	0.81611295919347	0.39106105947621245	0.8734900897847497
C	D	1	1445	0.9795918367346939	0.004152249134948097	0.6906574394463668	0.010380622837370242	0.30311418685121105	0.41661341783447886	0.867531999405689	0.000131346656309584	1.0609197746051984	0.4522436630159804	0.9388869659878398
ar	S	1	1423	0.9693877551020408	0.09838369641602249	0.1595221363316936	0.7477160927617709	0.19114546732255797	0.7915488020294529	0.3453990253367917	0.4220036714615572	0.7782159714728804	0.4295220047640811	0.8885219658937946
or	S	3	1322	0.9591836734693877	0.12859304084720122	0.24735249621785174	0.7307110438729199	0.15052950075642965	0.7562295438193071	0.36088368098684304	0.5693942387847726	0.7119388438797666	0.4126693619519911	0.8687314527717632
s	S	5	1322	0.9591836734693877	0.09757942511346444	0.5915279878971256	0.3615733736762481	0.14447806354009077	0.4842169671120438	0.645209781988708	0.47960603908734445	0.7581193515996735	0.4087043302820822	0.8684499458971386
aN	S	12	1169	0.9387755102040817	0.14285714285714285	0.15397775876817793	0.9563729683490163	0.032506415739948676	0.8047524330999555	0.09838804557069152	0.5988463888549431	0.46502000284317657	0.39223270432062995	0.8025222844551132
d	S	6	1144	0.9285714285714286	0.019230769230769232	0.6354895104895105	0.19143356643356643	0.19230769230769232	0.4481719928635047	0.7782609807739231	0.1157817182817183	0.9623061597901685	0.3940570319763639	0.8671487918692373
o	D	2	1126	0.9183673469387755	0.03108348134991119	0.33570159857904086	0.23268206039076378	0.4626998223801066	0.705059005112983	0.7542280108726517	0.17577119657809837	1.2543296052124602	0.44815392625151873	0.9503791673976718
ok	S	10	1084	0.9081632653061225	0.005535055350553505	0.8228782287822878	0.01107011070110701	0.17158671586715868	0.24945343775865683	0.8295849992572034	0.007297989306423676	0.8429152243858913	0.3976893809194939	0.8319229716479675
ot	S	11	1033	0.8979591836734694	0.003872216844143272	0.8760890609874153	0.007744433688286544	0.12003872216844143	0.19609444533914003	0.8230794738218622	-0.00014698619041033506	0.7750315830561908	0.38301501590521236	0.8053964602133127
