unit	category	oracle_output	train_usage
ol	N		6933
y	N		6636
C	W	in	3033
ar	W	et	2864
or	N		2758
s	N		2182
aN	W	ad	1890
d	W	cum	1454
o	W	quod	1338
ok	W	se	1172
ot	W	ex	1153
k	S	se	1145
al	W	qui	1024
S	W	ut	1022
t	W	non	1015
Ce	S	qu	1029
qok	S	es	930
daN	L	a	945
Cedy	L	a	945
qot	L	a	944
e	L	d	926
Cy	S	si	879
E	W	atque	794
l	L	b	809
ody	L	c	771
dy	S	is	734
aI	S	um	713
p	S	er	686
Se	L	p	706
Col	S	re	666
Cey	S	ne	608
Ey	S	os	622
ey	L	h	590
Edy	S	at	565
edy	L	e	550
od	L	e	543
Sedy	L	o	501
am	L	o	500
olk	L	e	480
yk	L	m	469
Cor	L	e	452
yt	L	m	460
r	L	e	449
qo	S	us	426
Co	D	ii	379
dal	L	l	344
T	L	i	327
dar	L	i	325
Cdy	L	v	307
a	L	i	317
Ky	L	i	298
ai	S	te	288
air	L	u	293
Ty	S	it	285
K	L	u	275
Sey	L	x	275
N	L	s	274
f	S	ti	262
ky	L	s	270
So	S	ta	241
qokaI	L	u	253
i	S	di	249
op	S	in	239
Sol	S	ar	235
qokaN	L	s	242
qokEdy	S	st	247
qokal	L	q	227
qokedy	S	an	219
CE	S	nt	202
Sy	L	f	192
eol	S	or	165
q	L	t	170
CEy	L	t	159
Ceol	L	t	157
daI	S	ue	166
os	S	ni	150
qol	L	n	121
lk	L	n	118
qokEy	S	et	114
okaN	S	en	109
okal	L	g	118
m	S	ra	113
otal	D	ll	102
oky	S	co	105
oty	S	li	89
P	S	ri	95
n	S	tu	81
g	S	ci	75
F	N		70
I	L	r	72
x	L	r	60
b	D	ss	61
j	S	on	46
u	L	r	49
c	D	cc	30
h	N		20
z	N		20
v	L	y	3
